id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	7fb52f0d-5359-4ac1-9f4e-0539245ec061	std	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.538 < 1.7	0.205527	0.038282	0.242103	0.121	0.121	12	17	4	15.5	0.110597	1.538286	0.999793	1.395301e-04	15.7087	15.7087	1.589554	0.059132	8.394108e-05	15.6940	1.586051	0.058820	8.686150e-05	15.6949	1.594231	0.025426	8.020479e-05	15.6928	1.594097	0.025872	8.030942e-05	15.6928	1.589554	0.059132	8.394108e-05	15.6940	1.586051	0.058820	8.686150e-05	15.6949	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
2	A2	7fb52f0d-5359-4ac1-9f4e-0539245ec061	std	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.554 < 1.7	0.189940	0.038282	0.242103	0.121	0.121	11	17	4	15.5	0.099180	1.554498	0.999740	1.063594e-04	15.9508	15.9508	1.589554	0.059132	7.527569e-05	15.9291	1.586051	0.058820	7.789463e-05	15.9311	1.594231	0.025426	7.192510e-05	15.9264	1.594097	0.025872	7.201893e-05	15.9264	1.589554	0.059132	7.527569e-05	15.9291	1.586051	0.058820	7.789463e-05	15.9311	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	53bb37a3-0702-4e9e-a153-dab27fec3435	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		baseline error;instable baseline;no plateau	0.064616	0.038282	0.242103	0.121	0.121	11	35	0	nan	nan	nan	nan	nan	nan	nan	1.589554	0.059132	nan	nan	1.586051	0.058820	nan	nan	1.594231	0.025426	nan	nan	1.594097	0.025872	nan	nan	1.589554	0.059132	nan	nan	1.586051	0.058820	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
4	A4	53bb37a3-0702-4e9e-a153-dab27fec3435	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no plateau	0.065312	0.038282	0.242103	0.121	0.121	7	35	0	nan	nan	nan	nan	nan	nan	nan	1.589554	0.059132	nan	nan	1.586051	0.058820	nan	nan	1.594231	0.025426	nan	nan	1.594097	0.025872	nan	nan	1.589554	0.059132	nan	nan	1.586051	0.058820	nan	nan	Yes	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
5	A5	68b81361-5956-45b9-9721-da9235f268c2	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.498 < 1.7	0.060050	0.038282	0.242103	0.121	0.121	11	25	4	22.5	0.100489	1.498434	0.999861	1.122724e-05	22.9593	22.9593	1.589554	0.059132	2.974552e-06	22.9008	1.586051	0.058820	3.125951e-06	22.9027	1.594231	0.025426	2.784307e-06	22.8983	1.594097	0.025872	2.789581e-06	22.8983	1.589554	0.059132	2.974552e-06	22.9008	1.586051	0.058820	3.125951e-06	22.9027	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	68b81361-5956-45b9-9721-da9235f268c2	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.504 < 1.7	0.063088	0.038282	0.242103	0.121	0.121	11	25	4	22.5	0.095151	1.504383	0.999877	9.724123e-06	23.0885	23.0885	1.589554	0.059132	2.816540e-06	23.0186	1.586051	0.058820	2.959896e-06	23.0210	1.594231	0.025426	2.636400e-06	23.0153	1.594097	0.025872	2.641394e-06	23.0154	1.589554	0.059132	2.816540e-06	23.0186	1.586051	0.058820	2.959896e-06	23.0210	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	e8cf983a-905e-4d2c-862c-e7aa74725b3b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.464 < 1.7	0.057054	0.038282	0.242103	0.121	0.121	11	24	5	22.0	0.104245	1.463709	0.999781	2.388067e-05	22.3912	22.3912	1.589554	0.059132	3.890408e-06	22.3216	1.586051	0.058820	4.083913e-06	22.3231	1.594231	0.025426	3.646939e-06	22.3196	1.594097	0.025872	3.653693e-06	22.3196	1.589554	0.059132	3.890408e-06	22.3216	1.586051	0.058820	4.083913e-06	22.3231	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	e8cf983a-905e-4d2c-862c-e7aa74725b3b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.446 < 1.7	0.058264	0.038282	0.242103	0.121	0.121	12	24	5	21.0	0.102214	1.446408	0.999900	4.399530e-05	21.4571	21.4571	1.589554	0.059132	6.063564e-06	21.3640	1.586051	0.058820	6.351131e-06	21.3658	1.594231	0.025426	5.700816e-06	21.3618	1.594097	0.025872	5.710894e-06	21.3618	1.589554	0.059132	6.063564e-06	21.3640	1.586051	0.058820	6.351131e-06	21.3658	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	4a4e5147-5972-4ca3-ba51-3fbe0af2d4eb	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.554 < 1.7	0.058694	0.038282	0.242103	0.121	0.121	12	26	5	24.0	0.097965	1.554211	0.999610	2.482180e-06	24.4789	24.4789	1.589554	0.059132	1.446984e-06	24.4557	1.586051	0.058820	1.525673e-06	24.4578	1.594231	0.025426	1.348483e-06	24.4528	1.594097	0.025872	1.351208e-06	24.4529	1.589554	0.059132	1.446984e-06	24.4557	1.586051	0.058820	1.525673e-06	24.4578	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	4a4e5147-5972-4ca3-ba51-3fbe0af2d4eb	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.585 < 1.7	0.063284	0.038282	0.242103	0.121	0.121	11	27	4	24.5	0.091614	1.585430	0.999841	1.143811e-06	25.1037	25.1037	1.589554	0.059132	1.073282e-06	25.1003	1.586051	0.058820	1.132898e-06	25.1032	1.594231	0.025426	9.987519e-07	25.0965	1.594097	0.025872	1.000812e-06	25.0966	1.589554	0.059132	1.073282e-06	25.1003	1.586051	0.058820	1.132898e-06	25.1032	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
11	A11	f9e220c9-2767-4f04-ba2f-9edba2bbac08	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.675 < 1.7	0.064530	0.038282	0.242103	0.121	0.121	12	28	3	26.0	0.097591	1.675119	0.999752	1.459556e-07	26.4168	26.4168	1.589554	0.059132	5.704931e-07	26.4639	1.586051	0.058820	6.041778e-07	26.4661	1.594231	0.025426	5.285434e-07	26.4610	1.594097	0.025872	5.297005e-07	26.4611	1.589554	0.059132	5.704931e-07	26.4639	1.586051	0.058820	6.041778e-07	26.4661	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
12	A12	f9e220c9-2767-4f04-ba2f-9edba2bbac08	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.656 < 1.7	0.062295	0.038282	0.242103	0.121	0.121	12	28	4	26.5	0.104437	1.655880	0.999443	1.639037e-07	26.7919	26.7919	1.589554	0.059132	4.842364e-07	26.8176	1.586051	0.058820	5.133941e-07	26.8191	1.594231	0.025426	4.479709e-07	26.8156	1.594097	0.025872	4.489705e-07	26.8157	1.589554	0.059132	4.842364e-07	26.8176	1.586051	0.058820	5.133941e-07	26.8191	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
13	B1	d918f82e-e90a-488e-98e0-af366a211cea	std	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.608 < 1.7	0.107486	0.038282	0.242103	0.121	0.121	11	19	4	17.5	0.098835	1.607869	0.999748	2.429529e-05	17.9261	17.9261	1.589554	0.059132	2.968861e-05	17.9366	1.586051	0.058820	3.085739e-05	17.9387	1.594231	0.025426	2.820097e-05	17.9338	1.594097	0.025872	2.824251e-05	17.9339	1.589554	0.059132	2.968861e-05	17.9366	1.586051	0.058820	3.085739e-05	17.9387	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
14	B2	d918f82e-e90a-488e-98e0-af366a211cea	std	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.618 < 1.7	0.101923	0.038282	0.242103	0.121	0.121	11	20	4	17.5	0.086152	1.617536	0.999591	1.906855e-05	18.2063	18.2063	1.589554	0.059132	2.587885e-05	18.2329	1.586051	0.058820	2.689764e-05	18.2364	1.594231	0.025426	2.458211e-05	18.2283	1.594097	0.025872	2.461832e-05	18.2284	1.589554	0.059132	2.587885e-05	18.2329	1.586051	0.058820	2.689764e-05	18.2364	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
15	B3	18375da5-5287-4843-96f2-1f674b66ac66	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.580 < 1.7	0.063502	0.038282	0.242103	0.121	0.121	11	28	4	26.5	0.122907	1.580383	0.999475	6.643154e-07	26.4658	26.4658	1.589554	0.059132	5.698718e-07	26.4663	1.586051	0.058820	6.041860e-07	26.4661	1.594231	0.025426	5.271930e-07	26.4665	1.594097	0.025872	5.283693e-07	26.4665	1.589554	0.059132	5.698718e-07	26.4663	1.586051	0.058820	6.041860e-07	26.4661	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
16	B4	18375da5-5287-4843-96f2-1f674b66ac66	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.588 < 1.7	0.062268	0.038282	0.242103	0.121	0.121	12	28	4	26.5	0.115298	1.588291	0.999742	5.459728e-07	26.6043	26.6043	1.589554	0.059132	5.345935e-07	26.6042	1.586051	0.058820	5.667835e-07	26.6047	1.594231	0.025426	4.945568e-07	26.6035	1.594097	0.025872	4.956603e-07	26.6035	1.589554	0.059132	5.345935e-07	26.6042	1.586051	0.058820	5.667835e-07	26.6047	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
