id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	de6f6199-b9eb-451c-a250-155ce7bab6de	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.549 < 1.7	0.040154	0.023768	0.139959	0.07000000000000002	0.07	11	22	4	20.5	0.062017	1.548752	0.999607	7.904672e-06	20.7768	20.7768	1.557460	0.050290	7.046347e-06	20.7733	1.557959	0.050907	7.000191e-06	20.7731	1.565873	0.026134	6.309620e-06	20.7700	1.566888	0.026061	6.226306e-06	20.7696	1.557460	0.050290	7.046347e-06	20.7733	1.557959	0.050907	7.000191e-06	20.7731	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	de6f6199-b9eb-451c-a250-155ce7bab6de	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.562 < 1.7	0.042643	0.023768	0.139959	0.07000000000000002	0.07	12	22	4	20.5	0.064833	1.561772	0.999433	6.960378e-06	20.6720	20.6720	1.557460	0.050290	7.366321e-06	20.6731	1.557959	0.050907	7.318070e-06	20.6729	1.565873	0.026134	6.596140e-06	20.6710	1.566888	0.026061	6.509042e-06	20.6707	1.557460	0.050290	7.366321e-06	20.6731	1.557959	0.050907	7.318070e-06	20.6729	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	c7e7e04a-5ffb-455c-98a8-be6f78813382	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.604 < 1.7	0.061844	0.023768	0.139959	0.07000000000000002	0.07	11	20	4	19.5	0.050261	1.604343	0.998215	4.988105e-06	20.2008	20.2008	1.557460	0.050290	8.894080e-06	20.2477	1.557959	0.050907	8.838654e-06	20.2471	1.565873	0.026134	8.007184e-06	20.2387	1.566888	0.026061	7.906579e-06	20.2376	1.557460	0.050290	8.894080e-06	20.2477	1.557959	0.050907	8.838654e-06	20.2471	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	c7e7e04a-5ffb-455c-98a8-be6f78813382	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.658 < 1.7	0.064452	0.023768	0.139959	0.07000000000000002	0.07	9	17	4	16.5	0.060517	1.657842	0.997966	1.443502e-05	16.7880	16.7880	1.557460	0.050290	4.045775e-05	16.8285	1.557959	0.050907	4.024431e-05	16.8283	1.565873	0.026134	3.701682e-05	16.8246	1.566888	0.026061	3.662290e-05	16.8241	1.557460	0.050290	4.045775e-05	16.8285	1.557959	0.050907	4.024431e-05	16.8283	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	aa31122a-bcb8-4801-999a-354a8f289ed7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.057227	0.023768	0.139959	0.07000000000000002	0.07	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.557460	0.050290	nan	nan	1.557959	0.050907	nan	nan	1.565873	0.026134	nan	nan	1.566888	0.026061	nan	nan	1.557460	0.050290	nan	nan	1.557959	0.050907	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
6	A6	aa31122a-bcb8-4801-999a-354a8f289ed7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.058164	0.023768	0.139959	0.07000000000000002	0.07	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.557460	0.050290	nan	nan	1.557959	0.050907	nan	nan	1.565873	0.026134	nan	nan	1.566888	0.026061	nan	nan	1.557460	0.050290	nan	nan	1.557959	0.050907	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
7	A7	519677b7-4029-435d-9003-2c841ca0922b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.584 < 1.7	0.069126	0.023768	0.139959	0.07000000000000002	0.07	8	12	4	9.5	0.053309	1.584062	0.999773	6.744775e-04	10.0922	10.0922	1.557460	0.050290	7.922136e-04	10.1148	1.557959	0.050907	7.898046e-04	10.1143	1.565873	0.026134	7.526907e-04	10.1074	1.566888	0.026061	7.480685e-04	10.1065	1.557460	0.050290	7.922136e-04	10.1148	1.557959	0.050907	7.898046e-04	10.1143	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	519677b7-4029-435d-9003-2c841ca0922b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.632 < 1.7	0.063177	0.023768	0.139959	0.07000000000000002	0.07	11	12	3	10.0	0.058592	1.631806	0.999606	4.376772e-04	10.3633	10.3633	1.557460	0.050290	6.977026e-04	10.4015	1.557959	0.050907	6.954695e-04	10.4012	1.565873	0.026134	6.611117e-04	10.3967	1.566888	0.026061	6.568389e-04	10.3961	1.557460	0.050290	6.977026e-04	10.4015	1.557959	0.050907	6.954695e-04	10.4012	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	4de4aa51-914f-400e-bb7b-5ac6a3fe43d1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.514 < 1.7	0.051400	0.023768	0.139959	0.07000000000000002	0.07	11	12	5	10.0	0.058869	1.513534	0.999437	9.331742e-04	10.4179	10.4179	1.557460	0.050290	7.009963e-04	10.3909	1.557959	0.050907	6.987526e-04	10.3906	1.565873	0.026134	6.642326e-04	10.3862	1.566888	0.026061	6.599396e-04	10.3856	1.557460	0.050290	7.009963e-04	10.3909	1.557959	0.050907	6.987526e-04	10.3906	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	4de4aa51-914f-400e-bb7b-5ac6a3fe43d1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.511 < 1.7	0.052105	0.023768	0.139959	0.07000000000000002	0.07	11	12	5	10.0	0.059444	1.511016	0.999452	9.581195e-04	10.3960	10.3960	1.557460	0.050290	7.078511e-04	10.3689	1.557959	0.050907	7.055855e-04	10.3687	1.565873	0.026134	6.707279e-04	10.3645	1.566888	0.026061	6.663930e-04	10.3640	1.557460	0.050290	7.078511e-04	10.3689	1.557959	0.050907	7.055855e-04	10.3687	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
