id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	310c45d3-3633-48f6-ab44-7fadd486ccc5	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no plateau	0.049426	0.031333	0.163305	0.0815	0.0815	8	35	0	nan	nan	nan	nan	nan	nan	nan	1.512833	0.073037	nan	nan	1.510367	0.069813	nan	nan	1.519623	0.027815	nan	nan	1.519623	0.027815	nan	nan	1.512833	0.073037	nan	nan	1.510367	0.069813	nan	nan	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
2	A2	310c45d3-3633-48f6-ab44-7fadd486ccc5	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.621 < 1.7	0.044704	0.031333	0.163305	0.0815	0.0815	12	26	4	24.5	0.066935	1.621218	0.999807	4.836563e-07	24.9075	24.9075	1.512833	0.073037	2.634951e-06	24.9756	1.510367	0.069813	2.742436e-06	24.9775	1.519623	0.027815	2.361152e-06	24.9705	1.519623	0.027815	2.361152e-06	24.9705	1.512833	0.073037	2.634951e-06	24.9756	1.510367	0.069813	2.742436e-06	24.9775	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	b21bbacd-2376-4c20-9c31-a19103795027	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.587 < 1.7	0.045118	0.031333	0.163305	0.0815	0.0815	11	27	4	25.5	0.081464	1.587045	0.999842	6.250825e-07	25.5010	25.5010	1.512833	0.073037	2.119789e-06	25.5011	1.510367	0.069813	2.209862e-06	25.5011	1.519623	0.027815	1.891033e-06	25.5011	1.519623	0.027815	1.891033e-06	25.5011	1.512833	0.073037	2.119789e-06	25.5011	1.510367	0.069813	2.209862e-06	25.5011	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	b21bbacd-2376-4c20-9c31-a19103795027	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.440 < 1.7	0.049567	0.031333	0.163305	0.0815	0.0815	11	19	4	16.5	0.069072	1.439921	0.999914	1.685436e-04	16.9538	16.9538	1.512833	0.073037	7.460130e-05	16.8997	1.510367	0.069813	7.663734e-05	16.9013	1.519623	0.027815	6.928776e-05	16.8954	1.519623	0.027815	6.928776e-05	16.8954	1.512833	0.073037	7.460130e-05	16.8997	1.510367	0.069813	7.663734e-05	16.9013	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	adab4ea0-53e6-4fcf-bcf2-1dd88a04d9bf	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.562 < 1.7	0.048563	0.031333	0.163305	0.0815	0.0815	11	19	4	17.5	0.083800	1.562177	0.999442	3.411659e-05	17.4376	17.4376	1.512833	0.073037	5.982749e-05	17.4328	1.510367	0.069813	6.156069e-05	17.4325	1.519623	0.027815	5.531795e-05	17.4335	1.519623	0.027815	5.531795e-05	17.4335	1.512833	0.073037	5.982749e-05	17.4328	1.510367	0.069813	6.156069e-05	17.4325	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	adab4ea0-53e6-4fcf-bcf2-1dd88a04d9bf	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.579 < 1.7	0.048511	0.031333	0.163305	0.0815	0.0815	11	19	3	18.0	0.078579	1.579085	0.999813	2.108668e-05	18.0799	18.0799	1.512833	0.073037	4.561074e-05	18.0882	1.510367	0.069813	4.697040e-05	18.0885	1.519623	0.027815	4.207848e-05	18.0872	1.519623	0.027815	4.207848e-05	18.0872	1.512833	0.073037	4.561074e-05	18.0882	1.510367	0.069813	4.697040e-05	18.0885	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	2d76b3e1-ac22-45e0-8e09-860f56ef4da7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.437 < 1.7	0.047202	0.031333	0.163305	0.0815	0.0815	12	19	4	16.5	0.072615	1.437049	0.999984	1.831251e-04	16.8183	16.8183	1.512833	0.073037	7.842867e-05	16.7788	1.510367	0.069813	8.056916e-05	16.7799	1.519623	0.027815	7.284252e-05	16.7758	1.519623	0.027815	7.284252e-05	16.7758	1.512833	0.073037	7.842867e-05	16.7788	1.510367	0.069813	8.056916e-05	16.7799	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	2d76b3e1-ac22-45e0-8e09-860f56ef4da7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.431 < 1.7	0.045464	0.031333	0.163305	0.0815	0.0815	11	19	4	16.5	0.077270	1.431307	0.999926	2.081712e-04	16.6486	16.6486	1.512833	0.073037	8.345603e-05	16.6287	1.510367	0.069813	8.573374e-05	16.6293	1.519623	0.027815	7.751181e-05	16.6274	1.519623	0.027815	7.751181e-05	16.6274	1.512833	0.073037	8.345603e-05	16.6287	1.510367	0.069813	8.573374e-05	16.6293	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	ee688a66-4b54-41a4-b2e6-c48c2ab04a33	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.609 < 1.7	0.043917	0.031333	0.163305	0.0815	0.0815	12	21	4	19.5	0.075598	1.608607	0.999242	7.124169e-06	19.6581	19.6581	1.512833	0.073037	2.358211e-05	19.6816	1.510367	0.069813	2.434462e-05	19.6823	1.519623	0.027815	2.161018e-05	19.6796	1.519623	0.027815	2.161018e-05	19.6796	1.512833	0.073037	2.358211e-05	19.6816	1.510367	0.069813	2.434462e-05	19.6823	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	ee688a66-4b54-41a4-b2e6-c48c2ab04a33	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.610 < 1.7	0.045603	0.031333	0.163305	0.0815	0.0815	11	20	3	19.0	0.068985	1.609974	0.999837	8.113291e-06	19.3501	19.3501	1.512833	0.073037	2.646834e-05	19.4027	1.510367	0.069813	2.730188e-05	19.4043	1.519623	0.027815	2.430943e-05	19.3984	1.519623	0.027815	2.430943e-05	19.3984	1.512833	0.073037	2.646834e-05	19.4027	1.510367	0.069813	2.730188e-05	19.4043	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
