id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	db25d48e-9b60-41e6-af99-7699b99ba48f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.437 < 1.7	0.049244	0.036475	0.184077	0.09200000000000001	0.092	11	18	5	16.0	0.085412	1.437478	0.999840	2.569798e-04	16.2048	16.2048	1.498704	0.072044	1.318451e-04	16.1836	1.498704	0.072044	1.318451e-04	16.1836	1.485729	0.028755	1.515248e-04	16.1877	1.485729	0.028755	1.515248e-04	16.1877	1.498704	0.072044	1.318451e-04	16.1836	1.498704	0.072044	1.318451e-04	16.1836	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
2	A2	db25d48e-9b60-41e6-af99-7699b99ba48f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.449 < 1.7	0.054052	0.036475	0.184077	0.09200000000000001	0.092	11	18	5	16.0	0.088066	1.449282	0.999931	2.324653e-04	16.1178	16.1178	1.498704	0.072044	1.359412e-04	16.1080	1.498704	0.072044	1.359412e-04	16.1080	1.485729	0.028755	1.562323e-04	16.1104	1.485729	0.028755	1.562323e-04	16.1104	1.498704	0.072044	1.359412e-04	16.1080	1.498704	0.072044	1.359412e-04	16.1080	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	b111cade-aa21-4f80-9f41-5cfce2bdbdef	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.504 < 1.7	0.054015	0.036475	0.184077	0.09200000000000001	0.092	11	18	4	16.5	0.083253	1.504369	0.999852	9.864042e-05	16.7446	16.7446	1.498704	0.072044	1.049758e-04	16.7469	1.498704	0.072044	1.049758e-04	16.7469	1.485729	0.028755	1.211705e-04	16.7523	1.485729	0.028755	1.211705e-04	16.7523	1.498704	0.072044	1.049758e-04	16.7469	1.498704	0.072044	1.049758e-04	16.7469	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	b111cade-aa21-4f80-9f41-5cfce2bdbdef	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.511 < 1.7	0.056045	0.036475	0.184077	0.09200000000000001	0.092	11	18	4	16.5	0.085981	1.511470	0.999901	9.425608e-05	16.6638	16.6638	1.498704	0.072044	1.084148e-04	16.6672	1.498704	0.072044	1.084148e-04	16.6672	1.485729	0.028755	1.251401e-04	16.6709	1.485729	0.028755	1.251401e-04	16.6709	1.498704	0.072044	1.084148e-04	16.6672	1.498704	0.072044	1.084148e-04	16.6672	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	d1cf3704-532c-4a6f-ae2d-733daa541f58	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.412 < 1.7	0.055481	0.036475	0.184077	0.09200000000000001	0.092	12	17	5	14.0	0.079402	1.411725	0.999985	6.358099e-04	14.4271	14.4271	1.498704	0.072044	2.753000e-04	14.3640	1.498704	0.072044	2.753000e-04	14.3640	1.485729	0.028755	3.109378e-04	14.3720	1.485729	0.028755	3.109378e-04	14.3720	1.498704	0.072044	2.753000e-04	14.3640	1.498704	0.072044	2.753000e-04	14.3640	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	d1cf3704-532c-4a6f-ae2d-733daa541f58	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.422 < 1.7	0.057100	0.036475	0.184077	0.09200000000000001	0.092	12	17	4	14.5	0.082095	1.422294	0.999984	4.965589e-04	14.8234	14.8234	1.498704	0.072044	2.325059e-04	14.7816	1.498704	0.072044	2.325059e-04	14.7816	1.485729	0.028755	2.637480e-04	14.7877	1.485729	0.028755	2.637480e-04	14.7877	1.498704	0.072044	2.325059e-04	14.7816	1.498704	0.072044	2.325059e-04	14.7816	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	23f96f68-03a2-4fc4-9d42-9264bb42d868	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.410 < 1.7	0.054608	0.036475	0.184077	0.09200000000000001	0.092	12	17	5	15.0	0.090239	1.409739	0.999982	5.227726e-04	15.0563	15.0563	1.498704	0.072044	2.087636e-04	15.0478	1.498704	0.072044	2.087636e-04	15.0478	1.485729	0.028755	2.378473e-04	15.0488	1.485729	0.028755	2.378473e-04	15.0488	1.498704	0.072044	2.087636e-04	15.0478	1.498704	0.072044	2.087636e-04	15.0478	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	23f96f68-03a2-4fc4-9d42-9264bb42d868	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.455 < 1.7	0.053452	0.036475	0.184077	0.09200000000000001	0.092	11	18	5	16.0	0.087318	1.455424	0.999933	2.154124e-04	16.1392	16.1392	1.498704	0.072044	1.347875e-04	16.1291	1.498704	0.072044	1.347875e-04	16.1291	1.485729	0.028755	1.549064e-04	16.1319	1.485729	0.028755	1.549064e-04	16.1319	1.498704	0.072044	1.347875e-04	16.1291	1.498704	0.072044	1.347875e-04	16.1291	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	a1b3fa18-0f24-4d76-afd6-2a005bd142c7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.529 < 1.7	0.051463	0.036475	0.184077	0.09200000000000001	0.092	11	19	4	17.5	0.089965	1.528803	0.999573	5.344684e-05	17.5527	17.5527	1.498704	0.072044	7.569097e-05	17.5553	1.498704	0.072044	7.569097e-05	17.5553	1.485729	0.028755	8.813087e-05	17.5565	1.485729	0.028755	8.813087e-05	17.5565	1.498704	0.072044	7.569097e-05	17.5553	1.498704	0.072044	7.569097e-05	17.5553	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	a1b3fa18-0f24-4d76-afd6-2a005bd142c7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.547 < 1.7	0.052239	0.036475	0.184077	0.09200000000000001	0.092	11	19	4	17.5	0.074820	1.547468	0.999784	3.594508e-05	17.9734	17.9734	1.498704	0.072044	6.294927e-05	18.0109	1.498704	0.072044	6.294927e-05	18.0109	1.485729	0.028755	7.329505e-05	18.0221	1.485729	0.028755	7.329505e-05	18.0221	1.498704	0.072044	6.294927e-05	18.0109	1.498704	0.072044	6.294927e-05	18.0109	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
11	A11	b714255d-76a9-46f4-b9ae-8c74f21f7f6d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.316 < 1.7	0.046239	0.036475	0.184077	0.09200000000000001	0.092	12	16	6	12.5	0.074505	1.316187	0.999982	2.402781e-03	13.2677	13.2677	1.498704	0.072044	4.739528e-04	13.0213	1.498704	0.072044	4.739528e-04	13.0213	1.485729	0.028755	5.283697e-04	13.0328	1.485729	0.028755	5.283697e-04	13.0328	1.498704	0.072044	4.739528e-04	13.0213	1.498704	0.072044	4.739528e-04	13.0213	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
12	A12	b714255d-76a9-46f4-b9ae-8c74f21f7f6d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.386 < 1.7	0.051085	0.036475	0.184077	0.09200000000000001	0.092	12	17	5	15.0	0.085038	1.385792	0.999984	6.370047e-04	15.2412	15.2412	1.498704	0.072044	1.967325e-04	15.1945	1.498704	0.072044	1.967325e-04	15.1945	1.485729	0.028755	2.241401e-04	15.1987	1.485729	0.028755	2.241401e-04	15.1987	1.498704	0.072044	1.967325e-04	15.1945	1.498704	0.072044	1.967325e-04	15.1945	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
13	B1	2a434bb1-dfa1-4743-b6da-78208d61f9df	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.373 < 1.7	0.050986	0.036475	0.184077	0.09200000000000001	0.092	12	19	5	16.0	0.075678	1.373132	0.999984	4.737761e-04	16.6159	16.6159	1.498704	0.072044	1.168191e-04	16.4827	1.498704	0.072044	1.168191e-04	16.4827	1.485729	0.028755	1.342559e-04	16.4933	1.485729	0.028755	1.342559e-04	16.4933	1.498704	0.072044	1.168191e-04	16.4827	1.498704	0.072044	1.168191e-04	16.4827	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
