id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	a73929ed-e8ef-4840-9c66-60905ad6a80e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.463 < 1.7	0.045839	0.041687	0.189234	0.09450000000000001	0.0945	11	19	4	17.5	0.098134	1.462655	0.999810	1.264254e-04	17.4008	17.4008	1.459349	0.046963	1.315327e-04	17.4002	1.459349	0.046963	1.315327e-04	17.4002	1.444855	0.024855	1.566357e-04	17.3975	1.444855	0.024855	1.566357e-04	17.3975	1.459349	0.046963	1.315327e-04	17.4002	1.459349	0.046963	1.315327e-04	17.4002	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	a73929ed-e8ef-4840-9c66-60905ad6a80e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.472 < 1.7	0.048841	0.041687	0.189234	0.09450000000000001	0.0945	12	19	3	17.0	0.089696	1.472103	0.999965	1.252629e-04	17.1349	17.1349	1.459349	0.046963	1.452344e-04	17.1380	1.459349	0.046963	1.452344e-04	17.1380	1.444855	0.024855	1.720913e-04	17.1418	1.444855	0.024855	1.720913e-04	17.1418	1.459349	0.046963	1.452344e-04	17.1380	1.459349	0.046963	1.452344e-04	17.1380	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	3115f912-4fde-43f4-a7b2-f7cb8124019d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.383 < 1.7	0.052324	0.041687	0.189234	0.09450000000000001	0.0945	12	20	5	17.0	0.089862	1.383286	0.999929	3.614720e-04	17.1551	17.1551	1.459349	0.046963	1.455035e-04	17.1331	1.459349	0.046963	1.455035e-04	17.1331	1.444855	0.024855	1.724102e-04	17.1367	1.444855	0.024855	1.724102e-04	17.1367	1.459349	0.046963	1.455035e-04	17.1331	1.459349	0.046963	1.455035e-04	17.1331	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	3115f912-4fde-43f4-a7b2-f7cb8124019d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.386 < 1.7	0.052764	0.041687	0.189234	0.09450000000000001	0.0945	12	20	5	17.0	0.093664	1.385823	0.999977	3.652067e-04	17.0272	17.0272	1.459349	0.046963	1.516586e-04	17.0235	1.459349	0.046963	1.516586e-04	17.0235	1.444855	0.024855	1.797035e-04	17.0242	1.444855	0.024855	1.797035e-04	17.0242	1.459349	0.046963	1.516586e-04	17.0235	1.459349	0.046963	1.516586e-04	17.0235	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	c65f5337-34e1-47cb-bdc8-6668a1fe0756	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.415 < 1.7	0.051350	0.041687	0.189234	0.09450000000000001	0.0945	11	19	4	16.5	0.087065	1.414624	0.999999	2.846212e-04	16.7362	16.7362	1.459349	0.046963	1.703017e-04	16.7168	1.459349	0.046963	1.703017e-04	16.7168	1.444855	0.024855	2.007896e-04	16.7227	1.444855	0.024855	2.007896e-04	16.7227	1.459349	0.046963	1.703017e-04	16.7168	1.459349	0.046963	1.703017e-04	16.7168	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	c65f5337-34e1-47cb-bdc8-6668a1fe0756	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.415 < 1.7	0.052886	0.041687	0.189234	0.09450000000000001	0.0945	11	19	5	17.0	0.094220	1.414632	0.999946	2.589432e-04	17.0086	17.0086	1.459349	0.046963	1.525593e-04	17.0079	1.459349	0.046963	1.525593e-04	17.0079	1.444855	0.024855	1.807708e-04	17.0081	1.444855	0.024855	1.807708e-04	17.0081	1.459349	0.046963	1.525593e-04	17.0079	1.459349	0.046963	1.525593e-04	17.0079	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	3a5b6dc2-b56c-4f86-95d2-1967db5722ba	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.389 < 1.7	0.049575	0.041687	0.189234	0.09450000000000001	0.0945	12	20	5	17.0	0.090154	1.388631	0.999926	3.396297e-04	17.1434	17.1434	1.459349	0.046963	1.459751e-04	17.1246	1.459349	0.046963	1.459751e-04	17.1246	1.444855	0.024855	1.729691e-04	17.1279	1.444855	0.024855	1.729691e-04	17.1279	1.459349	0.046963	1.459751e-04	17.1246	1.459349	0.046963	1.459751e-04	17.1246	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	3a5b6dc2-b56c-4f86-95d2-1967db5722ba	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.386 < 1.7	0.047102	0.041687	0.189234	0.09450000000000001	0.0945	12	20	5	17.0	0.091630	1.385938	0.999909	3.567752e-04	17.0945	17.0945	1.459349	0.046963	1.483661e-04	17.0816	1.459349	0.046963	1.483661e-04	17.0816	1.444855	0.024855	1.758022e-04	17.0838	1.444855	0.024855	1.758022e-04	17.0838	1.459349	0.046963	1.483661e-04	17.0816	1.459349	0.046963	1.483661e-04	17.0816	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	50072bbf-b0c0-4ac5-a764-405742761a1e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.426 < 1.7	0.045311	0.041687	0.189234	0.09450000000000001	0.0945	11	20	4	18.5	0.098268	1.426013	0.999848	1.383972e-04	18.3898	18.3898	1.459349	0.046963	9.025450e-05	18.3966	1.459349	0.046963	9.025450e-05	18.3966	1.444855	0.024855	1.085577e-04	18.3938	1.444855	0.024855	1.085577e-04	18.3938	1.459349	0.046963	9.025450e-05	18.3966	1.459349	0.046963	9.025450e-05	18.3966	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	50072bbf-b0c0-4ac5-a764-405742761a1e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.429 < 1.7	0.047177	0.041687	0.189234	0.09450000000000001	0.0945	11	20	4	18.5	0.095504	1.428660	0.999912	1.299689e-04	18.4704	18.4704	1.459349	0.046963	8.771626e-05	18.4720	1.459349	0.046963	8.771626e-05	18.4720	1.444855	0.024855	1.055047e-04	18.4713	1.444855	0.024855	1.055047e-04	18.4713	1.459349	0.046963	8.771626e-05	18.4720	1.459349	0.046963	8.771626e-05	18.4720	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
