id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	bdb3e5f6-4743-467e-9675-b19a2f36b21b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.441 < 1.7	0.043478	0.040832	0.185353	0.09250000000000003	0.0925	12	19	4	17.5	0.085895	1.440892	0.999964	1.438537e-04	17.7028	17.7028	1.459850	0.051222	1.144393e-04	17.6958	1.459850	0.051222	1.144393e-04	17.6958	1.454992	0.026716	1.213132e-04	17.6975	1.454992	0.026716	1.213132e-04	17.6975	1.459850	0.051222	1.144393e-04	17.6958	1.459850	0.051222	1.144393e-04	17.6958	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	bdb3e5f6-4743-467e-9675-b19a2f36b21b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.442 < 1.7	0.048211	0.040832	0.185353	0.09250000000000003	0.0925	12	19	4	17.5	0.095658	1.441581	0.999919	1.588685e-04	17.4082	17.4082	1.459850	0.051222	1.274459e-04	17.4113	1.459850	0.051222	1.274459e-04	17.4113	1.454992	0.026716	1.351011e-04	17.4105	1.454992	0.026716	1.351011e-04	17.4105	1.459850	0.051222	1.274459e-04	17.4113	1.459850	0.051222	1.274459e-04	17.4113	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	43f3d7f7-cf5e-4666-82d6-eab202ceeafa	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.473 < 1.7	0.046209	0.040832	0.185353	0.09250000000000003	0.0925	11	20	4	18.5	0.098339	1.472641	0.999649	7.637255e-05	18.3418	18.3418	1.459850	0.051222	8.974816e-05	18.3382	1.459850	0.051222	8.974816e-05	18.3382	1.454992	0.026716	9.545663e-05	18.3368	1.454992	0.026716	9.545663e-05	18.3368	1.459850	0.051222	8.974816e-05	18.3382	1.459850	0.051222	8.974816e-05	18.3382	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	43f3d7f7-cf5e-4666-82d6-eab202ceeafa	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.492 < 1.7	0.049974	0.040832	0.185353	0.09250000000000003	0.0925	11	20	4	18.5	0.096090	1.492472	0.999700	5.826549e-05	18.4049	18.4049	1.459850	0.051222	8.769526e-05	18.3994	1.459850	0.051222	8.769526e-05	18.3994	1.454992	0.026716	9.327316e-05	18.3985	1.454992	0.026716	9.327316e-05	18.3985	1.459850	0.051222	8.769526e-05	18.3994	1.459850	0.051222	8.769526e-05	18.3994	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	5b159d11-293f-4b80-bbed-389e599b0e62	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.422 < 1.7	0.044822	0.040832	0.185353	0.09250000000000003	0.0925	11	19	5	17.0	0.090319	1.421984	0.999708	2.272847e-04	17.0678	17.0678	1.459850	0.051222	1.453918e-04	17.0631	1.459850	0.051222	1.453918e-04	17.0631	1.454992	0.026716	1.538683e-04	17.0636	1.454992	0.026716	1.538683e-04	17.0636	1.459850	0.051222	1.453918e-04	17.0631	1.459850	0.051222	1.453918e-04	17.0631	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	5b159d11-293f-4b80-bbed-389e599b0e62	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.445 < 1.7	0.050208	0.040832	0.185353	0.09250000000000003	0.0925	11	19	4	17.5	0.101175	1.445441	0.999825	1.603493e-04	17.2567	17.2567	1.459850	0.051222	1.347969e-04	17.2631	1.459850	0.051222	1.347969e-04	17.2631	1.454992	0.026716	1.428936e-04	17.2609	1.454992	0.026716	1.428936e-04	17.2609	1.459850	0.051222	1.347969e-04	17.2631	1.459850	0.051222	1.347969e-04	17.2631	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	b7ee9b40-aac2-4df7-a805-6e69635f9fff	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.497 < 1.7	0.047657	0.040832	0.185353	0.09250000000000003	0.0925	12	19	3	17.0	0.086948	1.496960	0.999916	9.134534e-05	17.1534	17.1534	1.459850	0.051222	1.399657e-04	17.1636	1.459850	0.051222	1.399657e-04	17.1636	1.454992	0.026716	1.481259e-04	17.1650	1.454992	0.026716	1.481259e-04	17.1650	1.459850	0.051222	1.399657e-04	17.1636	1.459850	0.051222	1.399657e-04	17.1636	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	b7ee9b40-aac2-4df7-a805-6e69635f9fff	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.453 < 1.7	0.040488	0.040832	0.185353	0.09250000000000003	0.0925	12	18	4	17.5	0.100912	1.453013	0.999260	1.459584e-04	17.2670	17.2670	1.459850	0.051222	1.344462e-04	17.2699	1.459850	0.051222	1.344462e-04	17.2699	1.454992	0.026716	1.425219e-04	17.2679	1.454992	0.026716	1.425219e-04	17.2679	1.459850	0.051222	1.344462e-04	17.2699	1.459850	0.051222	1.344462e-04	17.2699	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	eeb245e0-ebc6-4cfc-ba42-8cc6a0d292ce	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.378 < 1.7	0.044666	0.040832	0.185353	0.09250000000000003	0.0925	12	17	4	15.5	0.090571	1.378480	0.999881	6.255793e-04	15.5656	15.5656	1.459850	0.051222	2.571661e-04	15.5557	1.459850	0.051222	2.571661e-04	15.5557	1.454992	0.026716	2.708018e-04	15.5562	1.454992	0.026716	2.708018e-04	15.5562	1.459850	0.051222	2.571661e-04	15.5557	1.459850	0.051222	2.571661e-04	15.5557	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	eeb245e0-ebc6-4cfc-ba42-8cc6a0d292ce	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.375 < 1.7	0.045085	0.040832	0.185353	0.09250000000000003	0.0925	12	17	5	15.0	0.077715	1.375416	0.999863	6.516155e-04	15.5464	15.5464	1.459850	0.051222	2.666117e-04	15.4603	1.459850	0.051222	2.666117e-04	15.4603	1.454992	0.026716	2.802807e-04	15.4644	1.454992	0.026716	2.802807e-04	15.4644	1.459850	0.051222	2.666117e-04	15.4603	1.459850	0.051222	2.666117e-04	15.4603	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
