id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	e2cbf1cc-73b8-440a-b313-883d78082e2f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.375 < 1.7	0.078837	0.084918	0.325837	0.16299999999999998	0.163	12	21	4	18.5	0.156778	1.375098	0.999854	4.326228e-04	18.6222	18.6222	1.397098	0.052878	3.225411e-04	18.6164	1.397098	0.052878	3.225411e-04	18.6164	1.372402	0.021717	4.486197e-04	18.6230	1.372402	0.021717	4.486197e-04	18.6230	1.397098	0.052878	3.225411e-04	18.6164	1.397098	0.052878	3.225411e-04	18.6164	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	e2cbf1cc-73b8-440a-b313-883d78082e2f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.366 < 1.7	0.082014	0.084918	0.325837	0.16299999999999998	0.163	12	21	4	18.5	0.170908	1.365631	0.999756	5.359117e-04	18.3480	18.3480	1.397098	0.052878	3.516111e-04	18.3583	1.397098	0.052878	3.516111e-04	18.3583	1.372402	0.021717	4.890529e-04	18.3504	1.372402	0.021717	4.890529e-04	18.3504	1.397098	0.052878	3.516111e-04	18.3583	1.397098	0.052878	3.516111e-04	18.3583	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	88dd5ec6-dba9-4b89-8330-58aa089f02e5	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.354 < 1.7	0.082818	0.084918	0.325837	0.16299999999999998	0.163	12	21	4	18.5	0.182768	1.354157	0.999862	6.699196e-04	18.1224	18.1224	1.397098	0.052878	3.760115e-04	18.1577	1.397098	0.052878	3.760115e-04	18.1577	1.372402	0.021717	5.229911e-04	18.1384	1.372402	0.021717	5.229911e-04	18.1384	1.397098	0.052878	3.760115e-04	18.1577	1.397098	0.052878	3.760115e-04	18.1577	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	88dd5ec6-dba9-4b89-8330-58aa089f02e5	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.370 < 1.7	0.085348	0.084918	0.325837	0.16299999999999998	0.163	12	20	4	17.5	0.157590	1.370083	0.999788	6.374653e-04	17.6072	17.6072	1.397098	0.052878	4.529558e-04	17.6009	1.397098	0.052878	4.529558e-04	17.6009	1.372402	0.021717	6.188758e-04	17.6066	1.372402	0.021717	6.188758e-04	17.6066	1.397098	0.052878	4.529558e-04	17.6009	1.397098	0.052878	4.529558e-04	17.6009	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	3dd1c8aa-e123-45b3-b6b5-b4fd5d5f5480	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.371 < 1.7	0.086021	0.084918	0.325837	0.16299999999999998	0.163	12	20	4	17.5	0.159020	1.370837	0.999800	6.370876e-04	17.5784	17.5784	1.397098	0.052878	4.570667e-04	17.5739	1.397098	0.052878	4.570667e-04	17.5739	1.372402	0.021717	6.244925e-04	17.5781	1.372402	0.021717	6.244925e-04	17.5781	1.397098	0.052878	4.570667e-04	17.5739	1.397098	0.052878	4.570667e-04	17.5739	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	3dd1c8aa-e123-45b3-b6b5-b4fd5d5f5480	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.356 < 1.7	0.088438	0.084918	0.325837	0.16299999999999998	0.163	12	20	4	17.5	0.157867	1.356326	0.999956	7.619382e-04	17.6050	17.6050	1.397098	0.052878	4.537522e-04	17.5957	1.397098	0.052878	4.537522e-04	17.5957	1.372402	0.021717	6.199638e-04	17.6011	1.372402	0.021717	6.199638e-04	17.6011	1.397098	0.052878	4.537522e-04	17.5957	1.397098	0.052878	4.537522e-04	17.5957	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	3d716053-5593-4ad1-ab63-5e02babdc935	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.396 < 1.7	0.085918	0.084918	0.325837	0.16299999999999998	0.163	12	19	4	16.5	0.154039	1.396459	0.999755	6.232559e-04	16.6693	16.6693	1.397098	0.052878	6.185661e-04	16.6691	1.397098	0.052878	6.185661e-04	16.6691	1.372402	0.021717	8.302104e-04	16.6786	1.372402	0.021717	8.302104e-04	16.6786	1.397098	0.052878	6.185661e-04	16.6691	1.397098	0.052878	6.185661e-04	16.6691	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	3d716053-5593-4ad1-ab63-5e02babdc935	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.400 < 1.7	0.082114	0.084918	0.325837	0.16299999999999998	0.163	12	19	4	16.5	0.147794	1.400489	0.999767	5.702181e-04	16.7907	16.7907	1.397098	0.052878	5.934893e-04	16.7929	1.397098	0.052878	5.934893e-04	16.7929	1.372402	0.021717	7.965535e-04	16.8094	1.372402	0.021717	7.965535e-04	16.8094	1.397098	0.052878	5.934893e-04	16.7929	1.397098	0.052878	5.934893e-04	16.7929	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	9f4cec4e-644c-454e-a444-5075e9685e7f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.459 < 1.7	0.082222	0.084918	0.325837	0.16299999999999998	0.163	11	18	4	17.5	0.166790	1.459379	0.999336	2.234759e-04	17.4392	17.4392	1.397098	0.052878	4.794003e-04	17.4313	1.397098	0.052878	4.794003e-04	17.4313	1.372402	0.021717	6.550069e-04	17.4274	1.372402	0.021717	6.550069e-04	17.4274	1.397098	0.052878	4.794003e-04	17.4313	1.397098	0.052878	4.794003e-04	17.4313	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	9f4cec4e-644c-454e-a444-5075e9685e7f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.458 < 1.7	0.086153	0.084918	0.325837	0.16299999999999998	0.163	12	18	4	17.5	0.159657	1.458014	0.999487	2.174501e-04	17.5549	17.5549	1.397098	0.052878	4.588992e-04	17.5620	1.397098	0.052878	4.588992e-04	17.5620	1.372402	0.021717	6.269963e-04	17.5655	1.372402	0.021717	6.269963e-04	17.5655	1.397098	0.052878	4.588992e-04	17.5620	1.397098	0.052878	4.588992e-04	17.5620	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
