id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	29184e53-1e87-4954-9a98-84d3106d9d4f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.402 < 1.7	0.048695	0.043752	0.202302	0.10100000000000002	0.101	12	21	5	19.0	0.098117	1.402006	0.999472	1.597699e-04	19.0857	19.0857	1.445074	0.086389	8.991547e-05	19.0787	1.445074	0.086389	8.991547e-05	19.0787	1.438431	0.031342	9.814115e-05	19.0797	1.438431	0.031342	9.814115e-05	19.0797	1.445074	0.086389	8.991547e-05	19.0787	1.445074	0.086389	8.991547e-05	19.0787	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	29184e53-1e87-4954-9a98-84d3106d9d4f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.406 < 1.7	0.053718	0.043752	0.202302	0.10100000000000002	0.101	12	21	4	18.5	0.090380	1.405893	0.999793	1.655605e-04	18.8261	18.8261	1.445074	0.086389	9.956535e-05	18.8018	1.445074	0.086389	9.956535e-05	18.8018	1.438431	0.031342	1.084238e-04	18.8056	1.438431	0.031342	1.084238e-04	18.8056	1.445074	0.086389	9.956535e-05	18.8018	1.445074	0.086389	9.956535e-05	18.8018	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	f58d50b4-984a-41bc-b8f7-f886caf9ade6	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.383 < 1.7	0.049896	0.043752	0.202302	0.10100000000000002	0.101	11	19	4	16.5	0.097027	1.383339	0.999996	4.587446e-04	16.6237	16.6237	1.445074	0.086389	2.232064e-04	16.6090	1.445074	0.086389	2.232064e-04	16.6090	1.438431	0.031342	2.408358e-04	16.6104	1.438431	0.031342	2.408358e-04	16.6104	1.445074	0.086389	2.232064e-04	16.6090	1.445074	0.086389	2.232064e-04	16.6090	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	f58d50b4-984a-41bc-b8f7-f886caf9ade6	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.435 < 1.7	0.054148	0.043752	0.202302	0.10100000000000002	0.101	11	19	4	17.5	0.098630	1.434905	0.999914	1.776665e-04	17.5657	17.5657	1.445074	0.086389	1.570134e-04	17.5645	1.445074	0.086389	1.570134e-04	17.5645	1.438431	0.031342	1.701971e-04	17.5653	1.438431	0.031342	1.701971e-04	17.5653	1.445074	0.086389	1.570134e-04	17.5645	1.445074	0.086389	1.570134e-04	17.5645	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	92b3ad84-00ea-4c46-9766-3031f66e6360	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.017634	0.043752	0.202302	0.10100000000000002	0.101	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	1.438431	0.031342	nan	nan	1.438431	0.031342	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
6	A6	92b3ad84-00ea-4c46-9766-3031f66e6360	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.019382	0.043752	0.202302	0.10100000000000002	0.101	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	1.438431	0.031342	nan	nan	1.438431	0.031342	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
7	A7	92b3ad84-00ea-4c46-9766-3031f66e6360	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.019633	0.043752	0.202302	0.10100000000000002	0.101	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	1.438431	0.031342	nan	nan	1.438431	0.031342	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	No
8	A8	92b3ad84-00ea-4c46-9766-3031f66e6360	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.017617	0.043752	0.202302	0.10100000000000002	0.101	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	1.438431	0.031342	nan	nan	1.438431	0.031342	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
9	A9	92b3ad84-00ea-4c46-9766-3031f66e6360	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.016665	0.043752	0.202302	0.10100000000000002	0.101	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	1.438431	0.031342	nan	nan	1.438431	0.031342	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
10	A10	92b3ad84-00ea-4c46-9766-3031f66e6360	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.018444	0.043752	0.202302	0.10100000000000002	0.101	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	1.438431	0.031342	nan	nan	1.438431	0.031342	nan	nan	1.445074	0.086389	nan	nan	1.445074	0.086389	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
