id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.016373	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
2	A2	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.016214	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
3	A3	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.018591	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
4	A4	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.017388	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
5	A5	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.017034	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
6	A6	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.019308	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
7	A7	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.020733	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
8	A8	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.020651	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
9	A9	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.019056	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
10	A10	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.021284	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
11	A11	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.017650	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
12	A12	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.019965	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
13	B1	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.013651	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
14	B2	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.017202	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
15	B3	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.018027	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
16	B4	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.018878	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
17	B5	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.017815	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
18	B6	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.017384	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
19	B7	693fe28c-2c8f-4c9a-9e1d-c67830e1a6e9	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.020241	0.037844	0.184927	0.09250000000000003	0.0925	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.486838	0.110174	nan	nan	1.486838	0.110174	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
