id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	138d228b-9103-4190-aa75-00addc6ed2c3	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.456 < 1.7	0.078758	0.067453	0.281838	0.14100000000000001	0.141	12	19	4	17.5	0.138263	1.455612	0.999885	1.938239e-04	17.5522	17.5522	1.429801	0.042093	2.650831e-04	17.5548	1.429801	0.042093	2.650831e-04	17.5548	1.424460	0.024691	2.830269e-04	17.5554	1.424460	0.024691	2.830269e-04	17.5554	1.429801	0.042093	2.650831e-04	17.5548	1.429801	0.042093	2.650831e-04	17.5548	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	138d228b-9103-4190-aa75-00addc6ed2c3	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.460 < 1.7	0.085285	0.067453	0.281838	0.14100000000000001	0.141	12	19	4	17.5	0.144837	1.459794	0.999798	1.930980e-04	17.4290	17.4290	1.429801	0.042093	2.776867e-04	17.4249	1.429801	0.042093	2.776867e-04	17.4249	1.424460	0.024691	2.964836e-04	17.4241	1.424460	0.024691	2.964836e-04	17.4241	1.429801	0.042093	2.776867e-04	17.4249	1.429801	0.042093	2.776867e-04	17.4249	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	70ef7f57-3f03-4fac-a85a-af2b51bb0c73	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.436 < 1.7	0.084280	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	17.5	0.143644	1.436178	0.999799	2.547675e-04	17.4487	17.4487	1.429801	0.042093	2.753985e-04	17.4480	1.429801	0.042093	2.753985e-04	17.4480	1.424460	0.024691	2.940406e-04	17.4475	1.424460	0.024691	2.940406e-04	17.4475	1.429801	0.042093	2.753985e-04	17.4480	1.429801	0.042093	2.753985e-04	17.4480	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	70ef7f57-3f03-4fac-a85a-af2b51bb0c73	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.454 < 1.7	0.086448	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	17.5	0.139588	1.454370	0.999911	1.986261e-04	17.5269	17.5269	1.429801	0.042093	2.676229e-04	17.5281	1.429801	0.042093	2.676229e-04	17.5281	1.424460	0.024691	2.857385e-04	17.5284	1.424460	0.024691	2.857385e-04	17.5284	1.429801	0.042093	2.676229e-04	17.5281	1.429801	0.042093	2.676229e-04	17.5281	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	3c2e4d90-befb-4d08-b3f2-9f943059c073	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.462 < 1.7	0.088090	0.067453	0.281838	0.14100000000000001	0.141	12	19	3	17.0	0.142208	1.461686	0.999890	2.240815e-04	16.9775	16.9775	1.429801	0.042093	3.260139e-04	16.9761	1.429801	0.042093	3.260139e-04	16.9761	1.424460	0.024691	3.474314e-04	16.9759	1.424460	0.024691	3.474314e-04	16.9759	1.429801	0.042093	3.260139e-04	16.9761	1.429801	0.042093	3.260139e-04	16.9761	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	3c2e4d90-befb-4d08-b3f2-9f943059c073	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.453 < 1.7	0.088325	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	17.5	0.148310	1.453212	0.999725	2.140000e-04	17.3648	17.3648	1.429801	0.042093	2.843449e-04	17.3586	1.429801	0.042093	2.843449e-04	17.3586	1.424460	0.024691	3.035925e-04	17.3571	1.424460	0.024691	3.035925e-04	17.3571	1.429801	0.042093	2.843449e-04	17.3586	1.429801	0.042093	2.843449e-04	17.3586	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	004bcb1e-1589-4942-a845-f61e4d3f1648	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.391 < 1.7	0.086315	0.067453	0.281838	0.14100000000000001	0.141	11	20	4	17.5	0.129612	1.390807	0.999993	4.031578e-04	17.7553	17.7553	1.429801	0.042093	2.484956e-04	17.7356	1.429801	0.042093	2.484956e-04	17.7356	1.424460	0.024691	2.653165e-04	17.7380	1.424460	0.024691	2.653165e-04	17.7380	1.429801	0.042093	2.484956e-04	17.7356	1.429801	0.042093	2.484956e-04	17.7356	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	004bcb1e-1589-4942-a845-f61e4d3f1648	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.391 < 1.7	0.082532	0.067453	0.281838	0.14100000000000001	0.141	12	20	4	17.5	0.128555	1.391401	0.999993	3.968963e-04	17.7797	17.7797	1.429801	0.042093	2.464707e-04	17.7584	1.429801	0.042093	2.464707e-04	17.7584	1.424460	0.024691	2.631546e-04	17.7612	1.424460	0.024691	2.631546e-04	17.7612	1.429801	0.042093	2.464707e-04	17.7584	1.429801	0.042093	2.464707e-04	17.7584	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	47911c2a-6e91-40e3-89d1-f6c47e4bc8ac	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.429 < 1.7	0.079052	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	17.5	0.157662	1.428770	0.999652	3.061166e-04	17.1870	17.1870	1.429801	0.042093	3.022739e-04	17.1876	1.429801	0.042093	3.022739e-04	17.1876	1.424460	0.024691	3.227352e-04	17.1843	1.424460	0.024691	3.227352e-04	17.1843	1.429801	0.042093	3.022739e-04	17.1876	1.429801	0.042093	3.022739e-04	17.1876	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	47911c2a-6e91-40e3-89d1-f6c47e4bc8ac	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.425 < 1.7	0.081881	0.067453	0.281838	0.14100000000000001	0.141	11	18	4	16.5	0.124529	1.424976	0.999889	3.609472e-04	16.8508	16.8508	1.429801	0.042093	3.413662e-04	16.8474	1.429801	0.042093	3.413662e-04	16.8474	1.424460	0.024691	3.631121e-04	16.8511	1.424460	0.024691	3.631121e-04	16.8511	1.429801	0.042093	3.413662e-04	16.8474	1.429801	0.042093	3.413662e-04	16.8474	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
11	A11	a03deb51-b30f-4dae-8774-2ae74c6b35ac	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.450 < 1.7	0.071239	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	18.5	0.154255	1.450022	0.999337	1.595173e-04	18.2582	18.2582	1.429801	0.042093	2.068423e-04	18.2487	1.429801	0.042093	2.068423e-04	18.2487	1.424460	0.024691	2.216718e-04	18.2460	1.424460	0.024691	2.216718e-04	18.2460	1.429801	0.042093	2.068423e-04	18.2487	1.429801	0.042093	2.068423e-04	18.2487	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
12	A12	a03deb51-b30f-4dae-8774-2ae74c6b35ac	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.465 < 1.7	0.077651	0.067453	0.281838	0.14100000000000001	0.141	11	20	4	18.5	0.154976	1.465482	0.999464	1.317124e-04	18.2527	18.2527	1.429801	0.042093	2.078084e-04	18.2357	1.429801	0.042093	2.078084e-04	18.2357	1.424460	0.024691	2.227072e-04	18.2329	1.424460	0.024691	2.227072e-04	18.2329	1.429801	0.042093	2.078084e-04	18.2357	1.429801	0.042093	2.078084e-04	18.2357	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
13	B1	aa8f1570-6b5c-4fd1-9a4a-facebd977512	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.505 < 1.7	0.075540	0.067453	0.281838	0.14100000000000001	0.141	11	24	3	23.0	0.153150	1.504760	0.999728	1.268725e-05	22.7977	22.7977	1.429801	0.042093	4.109372e-05	22.7688	1.429801	0.042093	4.109372e-05	22.7688	1.424460	0.024691	4.478795e-05	22.7664	1.424460	0.024691	4.478795e-05	22.7664	1.429801	0.042093	4.109372e-05	22.7688	1.429801	0.042093	4.109372e-05	22.7688	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
14	B2	aa8f1570-6b5c-4fd1-9a4a-facebd977512	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.505 < 1.7	0.080843	0.067453	0.281838	0.14100000000000001	0.141	11	24	3	23.0	0.154060	1.504558	0.999731	1.280221e-05	22.7831	22.7831	1.429801	0.042093	4.133800e-05	22.7522	1.429801	0.042093	4.133800e-05	22.7522	1.424460	0.024691	4.505418e-05	22.7496	1.424460	0.024691	4.505418e-05	22.7496	1.429801	0.042093	4.133800e-05	22.7522	1.429801	0.042093	4.133800e-05	22.7522	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
15	B3	46c05eb8-af8c-40df-b6b6-abb2135ca970	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		baseline error;instable baseline;no plateau	0.075074	0.067453	0.281838	0.14100000000000001	0.141	9	19	0	nan	nan	nan	nan	nan	nan	nan	1.429801	0.042093	nan	nan	1.429801	0.042093	nan	nan	1.424460	0.024691	nan	nan	1.424460	0.024691	nan	nan	1.429801	0.042093	nan	nan	1.429801	0.042093	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
16	B4	46c05eb8-af8c-40df-b6b6-abb2135ca970	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.082326	0.067453	0.281838	0.14100000000000001	0.141	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.429801	0.042093	nan	nan	1.429801	0.042093	nan	nan	1.424460	0.024691	nan	nan	1.424460	0.024691	nan	nan	1.429801	0.042093	nan	nan	1.429801	0.042093	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
17	B5	25ad0204-b5f9-487b-90ad-e989fd4209dc	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.406 < 1.7	0.087201	0.067453	0.281838	0.14100000000000001	0.141	12	20	4	17.5	0.130573	1.405694	0.999997	3.371056e-04	17.7256	17.7256	1.429801	0.042093	2.503394e-04	17.7149	1.429801	0.042093	2.503394e-04	17.7149	1.424460	0.024691	2.672851e-04	17.7171	1.424460	0.024691	2.672851e-04	17.7171	1.429801	0.042093	2.503394e-04	17.7149	1.429801	0.042093	2.503394e-04	17.7149	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
18	B6	25ad0204-b5f9-487b-90ad-e989fd4209dc	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.412 < 1.7	0.086170	0.067453	0.281838	0.14100000000000001	0.141	11	20	4	18.5	0.149669	1.411543	0.999990	2.545614e-04	18.3269	18.3269	1.429801	0.042093	2.006924e-04	18.3331	1.429801	0.042093	2.006924e-04	18.3331	1.424460	0.024691	2.150810e-04	18.3314	1.424460	0.024691	2.150810e-04	18.3314	1.429801	0.042093	2.006924e-04	18.3331	1.429801	0.042093	2.006924e-04	18.3331	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
19	B7	27895f58-7241-4689-9fe7-f6c54a9c1b46	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.428 < 1.7	0.109381	0.067453	0.281838	0.14100000000000001	0.141	12	15	4	13.5	0.153581	1.428128	0.999696	1.250206e-03	13.2602	13.2602	1.429801	0.042093	1.230595e-03	13.2610	1.429801	0.042093	1.230595e-03	13.2610	1.424460	0.024691	1.294372e-03	13.2584	1.424460	0.024691	1.294372e-03	13.2584	1.429801	0.042093	1.230595e-03	13.2610	1.429801	0.042093	1.230595e-03	13.2610	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
20	B8	27895f58-7241-4689-9fe7-f6c54a9c1b46	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.449 < 1.7	0.087833	0.067453	0.281838	0.14100000000000001	0.141	12	17	4	15.5	0.146640	1.448901	0.999765	4.679022e-04	15.3942	15.3942	1.429801	0.042093	5.747514e-04	15.3903	1.429801	0.042093	5.747514e-04	15.3903	1.424460	0.024691	6.090805e-04	15.3891	1.424460	0.024691	6.090805e-04	15.3891	1.429801	0.042093	5.747514e-04	15.3903	1.429801	0.042093	5.747514e-04	15.3903	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
21	B9	9d338e63-d625-479d-b9b5-1c5f18bdc6ef	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.449 < 1.7	0.080682	0.067453	0.281838	0.14100000000000001	0.141	12	19	4	17.5	0.148339	1.448509	0.999817	2.265358e-04	17.3631	17.3631	1.429801	0.042093	2.844013e-04	17.3581	1.429801	0.042093	2.844013e-04	17.3581	1.424460	0.024691	3.036528e-04	17.3566	1.424460	0.024691	3.036528e-04	17.3566	1.429801	0.042093	2.844013e-04	17.3581	1.429801	0.042093	2.844013e-04	17.3581	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
22	B10	9d338e63-d625-479d-b9b5-1c5f18bdc6ef	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.416 < 1.7	0.083383	0.067453	0.281838	0.14100000000000001	0.141	12	17	4	15.5	0.142207	1.416225	0.999860	6.462022e-04	15.4755	15.4755	1.429801	0.042093	5.573736e-04	15.4762	1.429801	0.042093	5.573736e-04	15.4762	1.424460	0.024691	5.906648e-04	15.4759	1.424460	0.024691	5.906648e-04	15.4759	1.429801	0.042093	5.573736e-04	15.4762	1.429801	0.042093	5.573736e-04	15.4762	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
23	B11	6dfd95f3-1d24-4f3a-b039-162892ffd934	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.449 < 1.7	0.077186	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	17.5	0.124915	1.449205	0.999848	1.891652e-04	17.8265	17.8265	1.429801	0.042093	2.394910e-04	17.8388	1.429801	0.042093	2.394910e-04	17.8388	1.424460	0.024691	2.557025e-04	17.8424	1.424460	0.024691	2.557025e-04	17.8424	1.429801	0.042093	2.394910e-04	17.8388	1.429801	0.042093	2.394910e-04	17.8388	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
24	B12	6dfd95f3-1d24-4f3a-b039-162892ffd934	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.457 < 1.7	0.081549	0.067453	0.281838	0.14100000000000001	0.141	11	19	4	17.5	0.126053	1.457079	0.999838	1.736186e-04	17.7977	17.7977	1.429801	0.042093	2.416723e-04	17.8134	1.429801	0.042093	2.416723e-04	17.8134	1.424460	0.024691	2.580314e-04	17.8167	1.424460	0.024691	2.580314e-04	17.8167	1.429801	0.042093	2.416723e-04	17.8134	1.429801	0.042093	2.416723e-04	17.8134	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
