id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	3f555f6b-2bf4-4ff0-a363-13aefa89c6a8	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.477 < 1.7	0.064186	0.045394	0.219786	0.11	0.11	11	19	4	16.5	0.110310	1.476802	0.999960	1.773361e-04	16.4928	16.4928	1.479604	0.074979	1.718752e-04	16.4928	1.483657	0.065388	1.642906e-04	16.4929	1.445081	0.026180	2.537412e-04	16.4924	1.445081	0.026180	2.537412e-04	16.4924	1.483657	0.065388	1.642906e-04	16.4929	1.483657	0.065388	1.642906e-04	16.4929	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	3f555f6b-2bf4-4ff0-a363-13aefa89c6a8	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.468 < 1.7	0.062189	0.045394	0.219786	0.11	0.11	11	18	4	16.5	0.116690	1.468148	0.999855	2.066960e-04	16.3463	16.3463	1.479604	0.074979	1.818157e-04	16.3493	1.483657	0.065388	1.737924e-04	16.3504	1.445081	0.026180	2.684164e-04	16.3396	1.445081	0.026180	2.684164e-04	16.3396	1.483657	0.065388	1.737924e-04	16.3504	1.483657	0.065388	1.737924e-04	16.3504	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	06acb808-26d0-4e85-ae97-c875fcbbb54c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.492 < 1.7	0.065111	0.045394	0.219786	0.11	0.11	11	18	4	15.5	0.084181	1.491924	0.999975	1.706628e-04	16.1687	16.1687	1.479604	0.074979	1.940693e-04	16.1828	1.483657	0.065388	1.860134e-04	16.1781	1.445081	0.026180	2.798217e-04	16.2266	1.445081	0.026180	2.798217e-04	16.2266	1.483657	0.065388	1.860134e-04	16.1781	1.483657	0.065388	1.860134e-04	16.1781	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	06acb808-26d0-4e85-ae97-c875fcbbb54c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.484 < 1.7	0.060844	0.045394	0.219786	0.11	0.11	11	18	4	16.5	0.119632	1.483727	0.999852	1.780347e-04	16.2873	16.2873	1.479604	0.074979	1.864006e-04	16.2857	1.483657	0.065388	1.781751e-04	16.2872	1.445081	0.026180	2.751853e-04	16.2720	1.445081	0.026180	2.751853e-04	16.2720	1.483657	0.065388	1.781751e-04	16.2872	1.483657	0.065388	1.781751e-04	16.2872	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	b51df47f-f3bd-4211-8655-9d990ba5fab1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.604 < 1.7	0.063509	0.045394	0.219786	0.11	0.11	11	20	3	19.0	0.114128	1.603629	0.999715	1.446838e-05	18.9220	18.9220	1.479604	0.074979	6.677703e-05	18.9060	1.483657	0.065388	6.339527e-05	18.9066	1.445081	0.026180	1.045774e-04	18.8999	1.445081	0.026180	1.045774e-04	18.8999	1.483657	0.065388	6.339527e-05	18.9066	1.483657	0.065388	6.339527e-05	18.9066	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	b51df47f-f3bd-4211-8655-9d990ba5fab1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.601 < 1.7	0.064506	0.045394	0.219786	0.11	0.11	11	20	4	18.5	0.096470	1.600550	0.999414	1.604760e-05	18.7790	18.7790	1.479604	0.074979	6.865946e-05	18.8350	1.483657	0.065388	6.527157e-05	18.8327	1.445081	0.026180	1.062636e-04	18.8565	1.445081	0.026180	1.062636e-04	18.8565	1.483657	0.065388	6.527157e-05	18.8327	1.483657	0.065388	6.527157e-05	18.8327	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	f694f862-390a-4a2c-99d8-48259a86b170	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.466 < 1.7	0.057965	0.045394	0.219786	0.11	0.11	11	19	4	17.5	0.099518	1.466283	0.999977	1.227694e-04	17.7616	17.7616	1.479604	0.074979	1.047989e-04	17.7556	1.483657	0.065388	9.990065e-05	17.7538	1.445081	0.026180	1.584119e-04	17.7720	1.445081	0.026180	1.584119e-04	17.7720	1.483657	0.065388	9.990065e-05	17.7538	1.483657	0.065388	9.990065e-05	17.7538	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	f694f862-390a-4a2c-99d8-48259a86b170	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.469 < 1.7	0.063345	0.045394	0.219786	0.11	0.11	11	19	4	17.5	0.108482	1.468813	0.999982	1.298503e-04	17.5361	17.5361	1.479604	0.074979	1.142385e-04	17.5355	1.483657	0.065388	1.088991e-04	17.5352	1.445081	0.026180	1.726806e-04	17.5377	1.445081	0.026180	1.726806e-04	17.5377	1.483657	0.065388	1.088991e-04	17.5352	1.483657	0.065388	1.088991e-04	17.5352	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	9f3f19e1-61da-4d7d-9e9f-5015cfff026c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.524 < 1.7	0.063981	0.045394	0.219786	0.11	0.11	11	20	3	18.0	0.102557	1.523991	0.999991	5.215342e-05	18.1663	18.1663	1.479604	0.074979	8.878615e-05	18.1788	1.483657	0.065388	8.452066e-05	18.1776	1.445081	0.026180	1.358010e-04	18.1903	1.445081	0.026180	1.358010e-04	18.1903	1.483657	0.065388	8.452066e-05	18.1776	1.483657	0.065388	8.452066e-05	18.1776	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	9f3f19e1-61da-4d7d-9e9f-5015cfff026c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.511 < 1.7	0.068443	0.045394	0.219786	0.11	0.11	11	20	4	17.5	0.085130	1.511476	1.000000	6.173939e-05	18.1204	18.1204	1.479604	0.074979	8.964728e-05	18.1542	1.483657	0.065388	8.545721e-05	18.1497	1.445081	0.026180	1.355090e-04	18.1962	1.445081	0.026180	1.355090e-04	18.1962	1.483657	0.065388	8.545721e-05	18.1497	1.483657	0.065388	8.545721e-05	18.1497	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
11	A11	eadf49f7-31ce-4b35-b265-a477c07efd76	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.437 < 1.7	0.065573	0.045394	0.219786	0.11	0.11	11	18	5	16.0	0.102368	1.436973	0.999971	3.097341e-04	16.1983	16.1983	1.479604	0.074979	1.940155e-04	16.1835	1.483657	0.065388	1.857077e-04	16.1823	1.445081	0.026180	2.830659e-04	16.1953	1.445081	0.026180	2.830659e-04	16.1953	1.483657	0.065388	1.857077e-04	16.1823	1.483657	0.065388	1.857077e-04	16.1823	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
12	A12	eadf49f7-31ce-4b35-b265-a477c07efd76	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.432 < 1.7	0.063428	0.045394	0.219786	0.11	0.11	11	18	5	16.0	0.103665	1.431903	0.999931	3.319079e-04	16.1652	16.1652	1.479604	0.074979	1.964741e-04	16.1514	1.483657	0.065388	1.880610e-04	16.1503	1.445081	0.026180	2.866530e-04	16.1611	1.445081	0.026180	2.866530e-04	16.1611	1.483657	0.065388	1.880610e-04	16.1503	1.483657	0.065388	1.880610e-04	16.1503	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
13	B1	2f7d22cd-2516-4297-945f-db935537ba74	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.487 < 1.7	0.061676	0.045394	0.219786	0.11	0.11	11	20	4	17.5	0.084865	1.487275	0.999998	8.163550e-05	18.1535	18.1535	1.479604	0.074979	8.936806e-05	18.1622	1.483657	0.065388	8.519105e-05	18.1576	1.445081	0.026180	1.350869e-04	18.2046	1.445081	0.026180	1.350869e-04	18.2046	1.483657	0.065388	8.519105e-05	18.1576	1.483657	0.065388	8.519105e-05	18.1576	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
14	B2	2f7d22cd-2516-4297-945f-db935537ba74	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.492 < 1.7	0.065429	0.045394	0.219786	0.11	0.11	12	20	4	17.5	0.083541	1.492384	0.999996	7.568146e-05	18.1872	18.1872	1.479604	0.074979	8.797388e-05	18.2023	1.483657	0.065388	8.386203e-05	18.1974	1.445081	0.026180	1.329795e-04	18.2473	1.445081	0.026180	1.329795e-04	18.2473	1.483657	0.065388	8.386203e-05	18.1974	1.483657	0.065388	8.386203e-05	18.1974	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
15	B3	d17586d0-af0e-492d-9031-ef36c60c71d7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.449 < 1.7	0.064827	0.045394	0.219786	0.11	0.11	11	18	5	16.0	0.104925	1.448714	0.999921	2.787108e-04	16.1274	16.1274	1.479604	0.074979	1.988609e-04	16.1206	1.483657	0.065388	1.903456e-04	16.1197	1.445081	0.026180	2.901354e-04	16.1283	1.445081	0.026180	2.901354e-04	16.1283	1.483657	0.065388	1.903456e-04	16.1197	1.483657	0.065388	1.903456e-04	16.1197	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
16	B4	d17586d0-af0e-492d-9031-ef36c60c71d7	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.446 < 1.7	0.063228	0.045394	0.219786	0.11	0.11	11	18	5	16.0	0.104053	1.445995	0.999961	2.848306e-04	16.1507	16.1507	1.479604	0.074979	1.972084e-04	16.1419	1.483657	0.065388	1.887639e-04	16.1409	1.445081	0.026180	2.877244e-04	16.1510	1.445081	0.026180	2.877244e-04	16.1510	1.483657	0.065388	1.887639e-04	16.1409	1.483657	0.065388	1.887639e-04	16.1409	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
17	B5	4638093d-dd7d-4218-9beb-5fc9cf440b5d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.600 < 1.7	0.061551	0.045394	0.219786	0.11	0.11	11	21	3	19.0	0.090076	1.600126	0.999905	1.190358e-05	19.4251	19.4251	1.479604	0.074979	5.270392e-05	19.5101	1.483657	0.065388	5.003486e-05	19.5065	1.445081	0.026180	8.253796e-05	19.5428	1.445081	0.026180	8.253796e-05	19.5428	1.483657	0.065388	5.003486e-05	19.5065	1.483657	0.065388	5.003486e-05	19.5065	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
