id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	fade8a3f-6433-46bb-9bc9-8a2106d83c4e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.464 < 1.7	0.060895	0.050003	0.233346	0.11599892240878791	0.1165	11	18	4	16.5	0.121278	1.463554	0.999921	2.262247e-04	16.3831	16.3945	1.465903	0.078876	2.203155e-04	16.3836	1.469917	0.069338	2.105969e-04	16.3845	1.447919	0.026987	2.700876e-04	16.3798	1.448919	0.027733	2.670272e-04	16.3800	1.469917	0.069338	2.105969e-04	16.3845	1.469917	0.069338	2.105969e-04	16.3845	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	fade8a3f-6433-46bb-9bc9-8a2106d83c4e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.485 < 1.7	0.060610	0.050003	0.233346	0.11599892240878791	0.1165	11	18	4	16.5	0.105207	1.484989	0.999804	1.543869e-04	16.7470	16.7579	1.465903	0.078876	1.911204e-04	16.7553	1.469917	0.069338	1.826896e-04	16.7535	1.447919	0.026987	2.342970e-04	16.7638	1.448919	0.027733	2.316421e-04	16.7633	1.469917	0.069338	1.826896e-04	16.7535	1.469917	0.069338	1.826896e-04	16.7535	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	174feae5-3519-49c6-a60e-5a28f8d39dd8	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.546 < 1.7	0.064518	0.050003	0.233346	0.11599892240878791	0.1165	11	19	3	17.0	0.109626	1.546210	0.999915	6.642836e-05	17.1296	17.1395	1.465903	0.078876	1.644844e-04	17.1477	1.469917	0.069338	1.570139e-04	17.1467	1.447919	0.026987	2.028921e-04	17.1527	1.448919	0.027733	2.005238e-04	17.1524	1.469917	0.069338	1.570139e-04	17.1467	1.469917	0.069338	1.570139e-04	17.1467	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	174feae5-3519-49c6-a60e-5a28f8d39dd8	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.549 < 1.7	0.060634	0.050003	0.233346	0.11599892240878791	0.1165	11	19	3	17.0	0.103400	1.548609	0.999951	6.102563e-05	17.2629	17.2727	1.465903	0.078876	1.551424e-04	17.3006	1.469917	0.069338	1.480962e-04	17.2985	1.447919	0.026987	1.913687e-04	17.3106	1.448919	0.027733	1.891350e-04	17.3101	1.469917	0.069338	1.480962e-04	17.2985	1.469917	0.069338	1.480962e-04	17.2985	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	2f4b50fe-e50c-47e3-985b-4a7efaea8a9d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.414 < 1.7	0.062421	0.050003	0.233346	0.11599892240878791	0.1165	12	20	5	17.0	0.109480	1.414422	0.999960	3.016417e-04	17.1668	17.1793	1.465903	0.078876	1.642645e-04	17.1512	1.469917	0.069338	1.568040e-04	17.1502	1.447919	0.026987	2.026208e-04	17.1563	1.448919	0.027733	2.002557e-04	17.1560	1.469917	0.069338	1.568040e-04	17.1502	1.469917	0.069338	1.568040e-04	17.1502	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	2f4b50fe-e50c-47e3-985b-4a7efaea8a9d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.407 < 1.7	0.065214	0.050003	0.233346	0.11599892240878791	0.1165	12	20	5	17.0	0.117414	1.407428	0.999947	3.519425e-04	16.9645	16.9771	1.465903	0.078876	1.761684e-04	16.9683	1.469917	0.069338	1.681671e-04	16.9685	1.447919	0.026987	2.173042e-04	16.9672	1.448919	0.027733	2.147678e-04	16.9673	1.469917	0.069338	1.681671e-04	16.9685	1.469917	0.069338	1.681671e-04	16.9685	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	4b591dc5-e9bf-4708-9bf5-0a882579081b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.461 < 1.7	0.055219	0.050003	0.233346	0.11599892240878791	0.1165	12	19	4	17.5	0.098634	1.461266	0.999961	1.292011e-04	17.9275	17.9389	1.465903	0.078876	1.222320e-04	17.9240	1.469917	0.069338	1.165211e-04	17.9210	1.447919	0.026987	1.517071e-04	17.9381	1.448919	0.027733	1.498845e-04	17.9373	1.469917	0.069338	1.165211e-04	17.9210	1.469917	0.069338	1.165211e-04	17.9210	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	4b591dc5-e9bf-4708-9bf5-0a882579081b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.453 < 1.7	0.061063	0.050003	0.233346	0.11599892240878791	0.1165	12	19	4	17.5	0.114262	1.452649	0.999922	1.659937e-04	17.5404	17.5519	1.465903	0.078876	1.415985e-04	17.5394	1.469917	0.069338	1.349827e-04	17.5392	1.447919	0.026987	1.757436e-04	17.5408	1.448919	0.027733	1.736323e-04	17.5407	1.469917	0.069338	1.349827e-04	17.5392	1.469917	0.069338	1.349827e-04	17.5392	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	c071aa1c-7acd-4c5c-8de5-8ff10b3fbc37	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.451 < 1.7	0.060536	0.050003	0.233346	0.11599892240878791	0.1165	12	19	4	17.5	0.113662	1.450854	0.999951	1.687328e-04	17.5547	17.5663	1.465903	0.078876	1.408550e-04	17.5532	1.469917	0.069338	1.342740e-04	17.5528	1.447919	0.026987	1.748208e-04	17.5550	1.448919	0.027733	1.727206e-04	17.5549	1.469917	0.069338	1.342740e-04	17.5528	1.469917	0.069338	1.342740e-04	17.5528	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	c071aa1c-7acd-4c5c-8de5-8ff10b3fbc37	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.432 < 1.7	0.060541	0.050003	0.233346	0.11599892240878791	0.1165	12	19	4	17.5	0.118733	1.431912	0.999962	2.218373e-04	17.4351	17.4471	1.465903	0.078876	1.471396e-04	17.4391	1.469917	0.069338	1.402649e-04	17.4395	1.447919	0.026987	1.826209e-04	17.4370	1.448919	0.027733	1.804269e-04	17.4372	1.469917	0.069338	1.402649e-04	17.4395	1.469917	0.069338	1.402649e-04	17.4395	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
