id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	88bfeaaf-b90a-4c57-bfca-4c8f3309ddf1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.321 < 1.7	0.085017	0.125893	0.414000	0.207	0.207	12	20	4	17.5	0.212396	1.321492	0.999949	1.616282e-03	17.4077	17.4077	1.317153	0.051416	1.712039e-03	17.4066	1.317153	0.051416	1.712039e-03	17.4066	1.304643	0.022104	2.023221e-03	17.4032	1.304643	0.022104	2.023221e-03	17.4032	1.306895	0.025861	1.963067e-03	17.4039	1.306895	0.025861	1.963067e-03	17.4039	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	88bfeaaf-b90a-4c57-bfca-4c8f3309ddf1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.320 < 1.7	0.090284	0.125893	0.414000	0.207	0.207	12	20	4	17.5	0.227904	1.320388	0.999801	1.759842e-03	17.1538	17.1538	1.317153	0.051416	1.837040e-03	17.1508	1.317153	0.051416	1.837040e-03	17.1508	1.304643	0.022104	2.170942e-03	17.1382	1.304643	0.022104	2.170942e-03	17.1382	1.306895	0.025861	2.106396e-03	17.1406	1.306895	0.025861	2.106396e-03	17.1406	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	84374343-d704-4fab-b4aa-2dbf43d929c8	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.376 < 1.7	0.095838	0.125893	0.414000	0.207	0.207	12	26	4	24.5	0.235510	1.375878	0.998988	9.479847e-05	24.0956	24.0956	1.317153	0.051416	2.760088e-04	24.0316	1.317153	0.051416	2.760088e-04	24.0316	1.304643	0.022104	3.487099e-04	24.0148	1.304643	0.022104	3.487099e-04	24.0148	1.306895	0.025861	3.342818e-04	24.0179	1.306895	0.025861	3.342818e-04	24.0179	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	84374343-d704-4fab-b4aa-2dbf43d929c8	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.405 < 1.7	0.097376	0.125893	0.414000	0.207	0.207	12	24	4	23.5	0.247441	1.404568	0.998848	8.437616e-05	22.9747	22.9747	1.317153	0.051416	3.819634e-04	22.8522	1.317153	0.051416	3.819634e-04	22.8522	1.304643	0.022104	4.779898e-04	22.8289	1.304643	0.022104	4.779898e-04	22.8289	1.306895	0.025861	4.590036e-04	22.8333	1.306895	0.025861	4.590036e-04	22.8333	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	8c0742a1-6535-4efe-a0d4-77c6c0427af6	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.316 < 1.7	0.089489	0.125893	0.414000	0.207	0.207	12	22	4	19.5	0.251977	1.316470	0.999865	1.182631e-03	18.7849	18.7849	1.317153	0.051416	1.170729e-03	18.7862	1.317153	0.051416	1.170729e-03	18.7862	1.304643	0.022104	1.410181e-03	18.7606	1.304643	0.022104	1.410181e-03	18.7606	1.306895	0.025861	1.363542e-03	18.7654	1.306895	0.025861	1.363542e-03	18.7654	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	8c0742a1-6535-4efe-a0d4-77c6c0427af6	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.321 < 1.7	0.093742	0.125893	0.414000	0.207	0.207	12	21	4	19.5	0.240541	1.321334	0.999756	1.050607e-03	18.9611	18.9611	1.317153	0.051416	1.117592e-03	18.9549	1.317153	0.051416	1.117592e-03	18.9549	1.304643	0.022104	1.346176e-03	18.9353	1.304643	0.022104	1.346176e-03	18.9353	1.306895	0.025861	1.301654e-03	18.9389	1.306895	0.025861	1.301654e-03	18.9389	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	dbafd47c-0362-4f94-8783-862ec6a97a97	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.341 < 1.7	0.094316	0.125893	0.414000	0.207	0.207	12	20	4	19.5	0.267087	1.341108	0.999789	8.731889e-04	18.6317	18.6317	1.317153	0.051416	1.240931e-03	18.5748	1.317153	0.051416	1.240931e-03	18.5748	1.304643	0.022104	1.494742e-03	18.5416	1.304643	0.022104	1.494742e-03	18.5416	1.306895	0.025861	1.445306e-03	18.5478	1.306895	0.025861	1.445306e-03	18.5478	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	dbafd47c-0362-4f94-8783-862ec6a97a97	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.338 < 1.7	0.090699	0.125893	0.414000	0.207	0.207	12	20	5	19.0	0.229160	1.338134	0.999709	9.049971e-04	18.6508	18.6508	1.317153	0.051416	1.221948e-03	18.6308	1.317153	0.051416	1.221948e-03	18.6308	1.304643	0.022104	1.464870e-03	18.6176	1.304643	0.022104	1.464870e-03	18.6176	1.306895	0.025861	1.417644e-03	18.6200	1.306895	0.025861	1.417644e-03	18.6200	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	b51ed49d-8ed0-4930-81c8-6dcc1fca4c02	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.266 < 1.7	0.079295	0.125893	0.414000	0.207	0.207	12	21	5	18.0	0.214034	1.265889	0.999779	3.071560e-03	17.8583	17.8583	1.317153	0.051416	1.503253e-03	17.8787	1.317153	0.051416	1.503253e-03	17.8787	1.304643	0.022104	1.784982e-03	17.8743	1.304643	0.022104	1.784982e-03	17.8743	1.306895	0.025861	1.730418e-03	17.8752	1.306895	0.025861	1.730418e-03	17.8752	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
10	A10	b51ed49d-8ed0-4930-81c8-6dcc1fca4c02	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.269 < 1.7	0.084547	0.125893	0.414000	0.207	0.207	12	20	5	18.0	0.235135	1.268771	0.999845	3.239034e-03	17.4646	17.4646	1.317153	0.051416	1.651451e-03	17.5374	1.317153	0.051416	1.651451e-03	17.5374	1.304643	0.022104	1.960955e-03	17.5208	1.304643	0.022104	1.960955e-03	17.5208	1.306895	0.025861	1.901012e-03	17.5239	1.306895	0.025861	1.901012e-03	17.5239	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
