id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	575c6c89-acd0-4b1a-8d12-d1411f5fd560	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.322 < 1.7	0.085291	0.117490	0.395367	0.19750000000000004	0.1975	12	20	5	18.0	0.208132	1.321872	0.999749	1.370654e-03	17.8121	17.8121	1.325128	0.053999	1.311293e-03	17.8137	1.325128	0.053999	1.311293e-03	17.8137	1.309076	0.023729	1.632954e-03	17.8053	1.309076	0.023729	1.632954e-03	17.8053	1.315321	0.031885	1.498885e-03	17.8087	1.315321	0.031885	1.498885e-03	17.8087	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	575c6c89-acd0-4b1a-8d12-d1411f5fd560	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.323 < 1.7	0.090640	0.117490	0.395367	0.19750000000000004	0.1975	12	20	5	18.0	0.226871	1.323375	0.999028	1.463813e-03	17.5052	17.5052	1.325128	0.053999	1.429356e-03	17.5075	1.325128	0.053999	1.429356e-03	17.5075	1.309076	0.023729	1.779978e-03	17.4852	1.309076	0.023729	1.779978e-03	17.4852	1.315321	0.031885	1.633838e-03	17.4941	1.315321	0.031885	1.633838e-03	17.4941	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	cd7c5084-4787-4b21-abba-dc7f211e9bed	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.400 < 1.7	0.093672	0.117490	0.395367	0.19750000000000004	0.1975	11	21	3	21.0	0.223221	1.400261	0.999814	1.898216e-04	20.6364	20.6364	1.325128	0.053999	6.043987e-04	20.5651	1.325128	0.053999	6.043987e-04	20.5651	1.309076	0.023729	7.806866e-04	20.5454	1.309076	0.023729	7.806866e-04	20.5454	1.315321	0.031885	7.064313e-04	20.5533	1.315321	0.031885	7.064313e-04	20.5533	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	cd7c5084-4787-4b21-abba-dc7f211e9bed	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.417 < 1.7	0.099456	0.117490	0.395367	0.19750000000000004	0.1975	11	21	4	20.5	0.203743	1.417291	0.999777	1.600192e-04	20.4108	20.4108	1.325128	0.053999	6.350380e-04	20.3894	1.325128	0.053999	6.350380e-04	20.3894	1.309076	0.023729	8.152793e-04	20.3844	1.309076	0.023729	8.152793e-04	20.3844	1.315321	0.031885	7.394914e-04	20.3864	1.315321	0.031885	7.394914e-04	20.3864	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	8d258ba1-b490-430e-8749-20f515f2b0ea	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.320 < 1.7	0.088777	0.117490	0.395367	0.19750000000000004	0.1975	12	22	4	19.5	0.234210	1.319780	0.999834	1.046706e-03	18.8856	18.8856	1.325128	0.053999	9.673401e-04	18.8944	1.325128	0.053999	9.673401e-04	18.8944	1.309076	0.023729	1.226854e-03	18.8670	1.309076	0.023729	1.226854e-03	18.8670	1.315321	0.031885	1.118115e-03	18.8780	1.315321	0.031885	1.118115e-03	18.8780	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	8d258ba1-b490-430e-8749-20f515f2b0ea	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.327 < 1.7	0.091439	0.117490	0.395367	0.19750000000000004	0.1975	12	22	4	19.5	0.198445	1.327295	0.999887	7.939216e-04	19.4831	19.4831	1.325128	0.053999	8.196234e-04	19.4830	1.325128	0.053999	8.196234e-04	19.4830	1.309076	0.023729	1.039508e-03	19.4823	1.309076	0.023729	1.039508e-03	19.4823	1.315321	0.031885	9.473746e-04	19.4826	1.315321	0.031885	9.473746e-04	19.4826	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	9a090ca0-90d0-44e1-b4f9-9d449cfa3daf	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.350 < 1.7	0.096175	0.117490	0.395367	0.19750000000000004	0.1975	11	21	4	19.5	0.218310	1.350346	0.999828	6.242995e-04	19.1665	19.1665	1.325128	0.053999	9.016714e-04	19.1441	1.325128	0.053999	9.016714e-04	19.1441	1.309076	0.023729	1.143568e-03	19.1280	1.309076	0.023729	1.143568e-03	19.1280	1.315321	0.031885	1.042211e-03	19.1345	1.315321	0.031885	1.042211e-03	19.1345	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	9a090ca0-90d0-44e1-b4f9-9d449cfa3daf	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.349 < 1.7	0.089342	0.117490	0.395367	0.19750000000000004	0.1975	12	21	4	19.5	0.193885	1.348899	0.999969	5.661673e-04	19.5617	19.5617	1.325128	0.053999	8.007913e-04	19.5656	1.325128	0.053999	8.007913e-04	19.5656	1.309076	0.023729	1.015624e-03	19.5686	1.309076	0.023729	1.015624e-03	19.5686	1.315321	0.031885	9.256072e-04	19.5674	1.315321	0.031885	9.256072e-04	19.5674	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	7fb06120-a0b4-4d85-a7b7-845df4ce843b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.268 < 1.7	0.079335	0.117490	0.395367	0.19750000000000004	0.1975	12	21	6	18.5	0.217316	1.267993	0.999799	2.688005e-03	18.0973	18.0973	1.325128	0.053999	1.189386e-03	18.1604	1.325128	0.053999	1.189386e-03	18.1604	1.309076	0.023729	1.490197e-03	18.1450	1.309076	0.023729	1.490197e-03	18.1450	1.315321	0.031885	1.364597e-03	18.1512	1.315321	0.031885	1.364597e-03	18.1512	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
10	A10	7fb06120-a0b4-4d85-a7b7-845df4ce843b	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.270 < 1.7	0.080781	0.117490	0.395367	0.19750000000000004	0.1975	12	21	5	18.0	0.196998	1.270114	0.999847	2.662525e-03	18.0106	18.0106	1.325128	0.053999	1.241144e-03	18.0090	1.325128	0.053999	1.241144e-03	18.0090	1.309076	0.023729	1.545598e-03	18.0095	1.309076	0.023729	1.545598e-03	18.0095	1.315321	0.031885	1.418700e-03	18.0093	1.315321	0.031885	1.418700e-03	18.0093	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
