id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	1a598aaf-cd32-48ee-82e6-52379b4672bd	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.525 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.319	0.149466	0.002275	0.025119	0.0125	0.0125	9	22	6	20.5	0.007750	1.524523	0.987997	1.364784e-06	21.6336	21.6336	1.832016	0.080664	3.156902e-08	21.2896	1.825833	0.098020	3.383479e-08	21.2940	1.844306	0.029334	2.752572e-08	21.2809	1.845967	0.029755	2.702242e-08	21.2798	1.840090	0.059864	2.884778e-08	21.2839	1.843253	0.058308	2.784967e-08	21.2817	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes
2	A2	1a598aaf-cd32-48ee-82e6-52379b4672bd	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.413 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.430	0.149402	0.002275	0.025119	0.0125	0.0125	11	23	6	19.5	0.006055	1.412891	0.986487	7.161233e-06	21.5972	21.5972	1.832016	0.080664	4.518415e-08	20.6973	1.825833	0.098020	4.826364e-08	20.7040	1.844306	0.029334	3.966132e-08	20.6842	1.845967	0.029755	3.897119e-08	20.6825	1.840090	0.059864	4.147125e-08	20.6887	1.843253	0.058308	4.010519e-08	20.6853	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes
3	A3	176197ab-0635-4eed-8671-0c30f29d91b3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		baseline error;no plateau;only 0 values in log phase	0.032911	0.002275	0.025119	0.0125	0.0125	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.832016	0.080664	nan	nan	1.825833	0.098020	nan	nan	1.844306	0.029334	nan	nan	1.845967	0.029755	nan	nan	1.840090	0.059864	nan	nan	1.843253	0.058308	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
4	A4	176197ab-0635-4eed-8671-0c30f29d91b3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.033282	0.002275	0.025119	0.0125	0.0125	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.832016	0.080664	nan	nan	1.825833	0.098020	nan	nan	1.844306	0.029334	nan	nan	1.845967	0.029755	nan	nan	1.840090	0.059864	nan	nan	1.843253	0.058308	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
5	A5	22d20861-4277-4066-b1bc-cd14813cd235	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.035503	0.002275	0.025119	0.0125	0.0125	10	31	4	28.5	0.005874	1.823844	0.999526	2.141987e-10	29.7566	29.7566	1.832016	0.080664	1.885717e-10	29.7473	1.825833	0.098020	2.076473e-10	29.7543	1.844306	0.029334	1.558568e-10	29.7337	1.845967	0.029755	1.519091e-10	29.7318	1.840090	0.059864	1.663606e-10	29.7383	1.843253	0.058308	1.584128e-10	29.7348	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
6	A6	22d20861-4277-4066-b1bc-cd14813cd235	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.036893	0.002275	0.025119	0.0125	0.0125	7	31	4	28.5	0.006935	1.845444	0.999763	1.807986e-10	29.4614	29.4614	1.832016	0.080664	2.226299e-10	29.4730	1.825833	0.098020	2.451507e-10	29.4785	1.844306	0.029334	1.840063e-10	29.4624	1.845967	0.029755	1.793456e-10	29.4610	1.840090	0.059864	1.964072e-10	29.4660	1.843253	0.058308	1.870239e-10	29.4633	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
7	A7	36167e9c-e5be-4494-a965-0d6ac51adb55	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.036018	0.002275	0.025119	0.0125	0.0125	11	29	4	26.5	0.006840	1.803571	0.999212	1.115707e-09	27.5222	27.5222	1.832016	0.080664	7.369721e-10	27.4958	1.825833	0.098020	8.060534e-10	27.5014	1.844306	0.029334	6.173157e-10	27.4849	1.845967	0.029755	6.027639e-10	27.4835	1.840090	0.059864	6.559099e-10	27.4886	1.843253	0.058308	6.267234e-10	27.4859	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	36167e9c-e5be-4494-a965-0d6ac51adb55	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.034561	0.002275	0.025119	0.0125	0.0125	8	29	4	26.5	0.005682	1.844451	0.998724	5.116794e-10	27.7880	27.7880	1.832016	0.080664	6.121395e-10	27.8024	1.825833	0.098020	6.695195e-10	27.8097	1.844306	0.029334	5.127513e-10	27.7881	1.845967	0.029755	5.006643e-10	27.7863	1.840090	0.059864	5.448081e-10	27.7930	1.843253	0.058308	5.205654e-10	27.7893	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	648f2fff-7bcb-49bc-ba64-afb854e3f587	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.032785	0.002275	0.025119	0.0125	0.0125	9	32	4	30.5	0.008310	1.885760	0.999471	3.290642e-11	31.1436	31.1436	1.832016	0.080664	7.948208e-11	31.1743	1.825833	0.098020	8.811618e-11	31.1781	1.844306	0.029334	6.482035e-11	31.1669	1.845967	0.029755	6.306487e-11	31.1660	1.840090	0.059864	6.950621e-11	31.1694	1.843253	0.058308	6.595860e-11	31.1676	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
10	A10	648f2fff-7bcb-49bc-ba64-afb854e3f587	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.035656	0.002275	0.025119	0.0125	0.0125	7	31	4	29.5	0.006511	1.883695	0.999759	5.021839e-11	30.5299	30.5299	1.832016	0.080664	1.140924e-10	30.5772	1.825833	0.098020	1.260593e-10	30.5833	1.844306	0.029334	9.367045e-11	30.5655	1.845967	0.029755	9.121572e-11	30.5639	1.840090	0.059864	1.002123e-10	30.5695	1.843253	0.058308	9.526092e-11	30.5665	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
11	A11	eb1cdeff-1b2b-4421-bd69-555cf3faf549	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.030976	0.002275	0.025119	0.0125	0.0125	7	30	4	28.5	0.008857	1.908435	0.999687	8.871286e-11	29.0331	29.0331	1.832016	0.080664	2.843170e-10	29.0691	1.825833	0.098020	3.130780e-10	29.0722	1.844306	0.029334	nan	29.0628	1.845967	0.029755	nan	29.0620	1.840090	0.059864	2.508284e-10	29.0649	1.843253	0.058308	2.388452e-10	29.0634	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
12	A12	eb1cdeff-1b2b-4421-bd69-555cf3faf549	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.033454	0.002275	0.025119	0.0125	0.0125	9	30	3	28.0	0.007610	1.903262	0.997232	1.136078e-10	28.7712	28.7712	1.832016	0.080664	3.306334e-10	28.8198	1.825833	0.098020	3.634646e-10	28.8244	1.844306	0.029334	nan	28.8108	1.845967	0.029755	nan	28.8096	1.840090	0.059864	2.923313e-10	28.8139	1.843253	0.058308	2.786045e-10	28.8116	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
13	B1	20ef70e0-acf7-4d58-a2f8-e1ebb2147cf8	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.065354	0.002275	0.025119	0.0125	0.0125	8	25	4	22.5	0.006237	1.925039	0.999253	2.483525e-09	23.5616	23.5616	1.832016	0.080664	7.569145e-09	23.6484	1.825833	0.098020	8.167441e-09	23.6549	1.844306	0.029334	6.512044e-09	23.6359	1.845967	0.029755	6.381474e-09	23.6342	1.840090	0.059864	6.856126e-09	23.6401	1.843253	0.058308	6.596209e-09	23.6369	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
14	B2	20ef70e0-acf7-4d58-a2f8-e1ebb2147cf8	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.066567	0.002275	0.025119	0.0125	0.0125	10	25	4	22.5	0.007216	1.742898	0.998403	2.689522e-08	23.4890	23.4890	1.832016	0.080664	8.757607e-09	23.4075	1.825833	0.098020	9.449844e-09	23.4126	1.844306	0.029334	7.534526e-09	23.3976	1.845967	0.029755	7.383455e-09	23.3963	1.840090	0.059864	7.932633e-09	23.4010	1.843253	0.058308	7.631905e-09	23.3984	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
15	B3	280ffe99-3062-498f-b1b7-a7bf310b6ad9	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.035751	0.002275	0.025119	0.0125	0.0125	8	31	4	29.5	0.009100	1.811121	0.999865	2.236638e-10	30.0345	30.0345	1.832016	0.080664	1.594528e-10	30.0243	1.825833	0.098020	1.761774e-10	30.0273	1.844306	0.029334	1.309115e-10	30.0186	1.845967	0.029755	1.274808e-10	30.0178	1.840090	0.059864	1.400542e-10	30.0205	1.843253	0.058308	1.331343e-10	30.0191	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
16	B4	280ffe99-3062-498f-b1b7-a7bf310b6ad9	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.038040	0.002275	0.025119	0.0125	0.0125	9	31	5	29.0	0.007635	1.771607	0.998123	4.788145e-10	29.8620	29.8620	1.832016	0.080664	1.810802e-10	29.8142	1.825833	0.098020	1.997352e-10	29.8188	1.844306	0.029334	nan	29.8053	1.845967	0.029755	nan	29.8042	1.840090	0.059864	1.594005e-10	29.8084	1.843253	0.058308	1.516549e-10	29.8061	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
17	B5	f99a9e32-ad03-4afd-bf6f-a2ed8a3b6326	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.038266	0.002275	0.025119	0.0125	0.0125	6	29	3	27.0	0.009151	1.947318	0.999922	1.401702e-10	27.4680	27.4680	1.832016	0.080664	7.283840e-10	27.5152	1.825833	0.098020	7.980083e-10	27.5181	1.844306	0.029334	6.080859e-10	27.5096	1.845967	0.029755	5.934845e-10	27.5088	1.840090	0.059864	6.468427e-10	27.5115	1.843253	0.058308	6.175291e-10	27.5100	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
18	B6	f99a9e32-ad03-4afd-bf6f-a2ed8a3b6326	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.037889	0.002275	0.025119	0.0125	0.0125	5	28	4	26.5	0.007146	1.953620	0.998945	1.402119e-10	27.3350	27.3350	1.832016	0.080664	7.698681e-10	27.4237	1.825833	0.098020	8.420330e-10	27.4289	1.844306	0.029334	6.448707e-10	27.4136	1.845967	0.029755	6.296693e-10	27.4123	1.840090	0.059864	6.851875e-10	27.4170	1.843253	0.058308	6.546982e-10	27.4145	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No
19	B7	a2dcd491-7196-4ea3-b3d8-81684676cc1c	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.036163	0.002275	0.025119	0.0125	0.0125	11	30	5	28.0	0.007303	1.745574	0.998217	1.228146e-09	28.9647	28.9647	1.832016	0.080664	3.173197e-10	28.8877	1.825833	0.098020	3.488289e-10	28.8926	1.844306	0.029334	nan	28.8780	1.845967	0.029755	nan	28.8767	1.840090	0.059864	2.805599e-10	28.8813	1.843253	0.058308	2.673858e-10	28.8788	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
20	B8	a2dcd491-7196-4ea3-b3d8-81684676cc1c	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.034449	0.002275	0.025119	0.0125	0.0125	8	30	4	28.5	0.008175	1.872417	0.999416	1.409282e-10	29.1771	29.1771	1.832016	0.080664	2.624117e-10	29.2015	1.825833	0.098020	2.889567e-10	29.2054	1.844306	0.029334	2.168864e-10	29.1938	1.845967	0.029755	2.113929e-10	29.1928	1.840090	0.059864	2.315031e-10	29.1964	1.843253	0.058308	2.204432e-10	29.1945	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
21	B9	163cfb91-2282-447f-9690-32ad9cfec4c7	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.035332	0.002275	0.025119	0.0125	0.0125	8	30	4	27.5	0.006187	1.902423	0.998256	1.289752e-10	28.5936	28.5936	1.832016	0.080664	3.638280e-10	28.6617	1.825833	0.098020	3.992797e-10	28.6683	1.844306	0.029334	3.027254e-10	28.6491	1.845967	0.029755	2.953234e-10	28.6474	1.840090	0.059864	3.223885e-10	28.6534	1.843253	0.058308	3.075143e-10	28.6501	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
22	B10	163cfb91-2282-447f-9690-32ad9cfec4c7	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.035195	0.002275	0.025119	0.0125	0.0125	9	30	3	28.0	0.007644	1.865872	0.999999	1.989076e-10	28.7884	28.7884	1.832016	0.080664	3.321392e-10	28.8123	1.825833	0.098020	3.651199e-10	28.8168	1.844306	0.029334	2.754363e-10	28.8034	1.845967	0.029755	2.685806e-10	28.8022	1.840090	0.059864	2.936626e-10	28.8064	1.843253	0.058308	2.798733e-10	28.8041	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
23	B11	4a975a12-ff1f-40ef-af2c-7e9cd0f64187	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.034148	0.002275	0.025119	0.0125	0.0125	6	31	4	29.5	0.007095	2.053159	0.998643	4.310056e-12	30.2873	30.2873	1.832016	0.080664	1.243181e-10	30.4355	1.825833	0.098020	1.373575e-10	30.4407	1.844306	0.029334	nan	30.4252	1.845967	0.029755	nan	30.4239	1.840090	0.059864	1.091939e-10	30.4287	1.843253	0.058308	1.037988e-10	30.4261	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
24	B12	4a975a12-ff1f-40ef-af2c-7e9cd0f64187	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.034569	0.002275	0.025119	0.0125	0.0125	6	31	4	29.5	0.007097	1.939332	0.999728	2.319091e-11	30.3547	30.3547	1.832016	0.080664	1.243482e-10	30.4351	1.825833	0.098020	1.373908e-10	30.4403	1.844306	0.029334	nan	30.4248	1.845967	0.029755	nan	30.4235	1.840090	0.059864	1.092204e-10	30.4283	1.843253	0.058308	1.038239e-10	30.4257	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
25	C1	5d33714e-a182-4b15-a5f6-f3b237f33858	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.044091	0.002275	0.025119	0.0125	0.0125	9	27	4	24.5	0.007697	1.805683	0.998891	3.968304e-09	25.3205	25.3205	1.832016	0.080664	2.783268e-09	25.3009	1.825833	0.098020	3.023646e-09	25.3054	1.844306	0.029334	2.362753e-09	25.2922	1.845967	0.029755	2.311214e-09	25.2910	1.840090	0.059864	2.499007e-09	25.2951	1.843253	0.058308	2.396024e-09	25.2929	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
26	C2	5d33714e-a182-4b15-a5f6-f3b237f33858	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.043191	0.002275	0.025119	0.0125	0.0125	6	26	4	24.5	0.007413	1.874283	0.999908	1.532904e-09	25.3318	25.3318	1.832016	0.080664	2.680440e-09	25.3631	1.825833	0.098020	2.911938e-09	25.3679	1.844306	0.029334	2.275462e-09	25.3537	1.845967	0.029755	2.225827e-09	25.3524	1.840090	0.059864	2.406682e-09	25.3569	1.843253	0.058308	2.307503e-09	25.3545	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
