id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	41eefc3e-3bd2-4482-85f5-6d8e7d035429	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.168727	0.002377	0.029309	0.014499999999999997	0.0145	8	23	5	21.0	0.009138	1.794015	0.997802	4.270762e-08	21.7900	21.7900	1.861523	0.076433	1.966133e-08	21.7430	1.874004	0.101732	1.708712e-08	21.7351	1.872326	0.029563	1.741161e-08	21.7362	1.902839	0.021744	1.239956e-08	21.7177	1.866364	0.062022	1.861765e-08	21.7399	1.887556	0.067912	1.468765e-08	21.7268	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
2	A2	41eefc3e-3bd2-4482-85f5-6d8e7d035429	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.440 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.447	0.188884	0.002377	0.029309	0.014499999999999997	0.0145	11	22	6	19.5	0.007061	1.440336	0.986832	5.738720e-06	21.4721	21.4721	1.861523	0.076433	3.858540e-08	20.6580	1.874004	0.101732	3.387133e-08	20.6457	1.872326	0.029563	3.446822e-08	20.6473	1.902839	0.021744	2.514879e-08	20.6185	1.866364	0.062022	3.667981e-08	20.6532	1.887556	0.067912	2.943132e-08	20.6327	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes
3	A3	39d46882-6c09-4bfa-83c1-f26299820f3f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.045812	0.002377	0.029309	0.014499999999999997	0.0145	7	32	5	30.0	0.009103	1.778973	0.999756	2.845178e-10	30.8082	30.8082	1.861523	0.076433	7.296842e-11	30.7492	1.874004	0.101732	5.971346e-11	30.7412	1.872326	0.029563	nan	30.7423	1.902839	0.021744	nan	30.7236	1.866364	0.062022	6.749865e-11	30.7461	1.887556	0.067912	4.810512e-11	30.7328	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
4	A4	39d46882-6c09-4bfa-83c1-f26299820f3f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.047930	0.002377	0.029309	0.014499999999999997	0.0145	8	32	4	29.5	0.007302	1.840505	0.999437	1.116409e-10	30.6244	30.6244	1.861523	0.076433	7.986298e-11	30.6039	1.874004	0.101732	6.557432e-11	30.5921	1.872326	0.029563	6.733036e-11	30.5937	1.902839	0.021744	nan	30.5662	1.866364	0.062022	7.397238e-11	30.5993	1.887556	0.067912	5.301730e-11	30.5797	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
5	A5	c2313c4e-7043-4591-91e8-968f8aa7ab9f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.040926	0.002377	0.029309	0.014499999999999997	0.0145	8	29	4	27.5	0.009389	1.929705	0.999981	1.323139e-10	28.1612	28.1612	1.861523	0.076433	3.558162e-10	28.1995	1.874004	0.101732	2.960862e-10	28.1920	1.872326	0.029563	3.034710e-10	28.1930	1.902839	0.021744	1.945587e-10	28.1756	1.866364	0.062022	3.312881e-10	28.1965	1.887556	0.067912	2.428627e-10	28.1842	Yes	No	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes
6	A6	c2313c4e-7043-4591-91e8-968f8aa7ab9f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.041942	0.002377	0.029309	0.014499999999999997	0.0145	9	29	4	27.5	0.009858	1.882698	0.997706	2.737161e-10	28.1099	28.1099	1.861523	0.076433	3.735842e-10	28.1210	1.874004	0.101732	3.108715e-10	28.1144	1.872326	0.029563	3.186251e-10	28.1153	1.902839	0.021744	2.042741e-10	28.0998	1.866364	0.062022	3.478312e-10	28.1184	1.887556	0.067912	2.549902e-10	28.1075	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	2243b4e9-95d7-4815-b841-6dea72f8998e	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042258	0.002377	0.029309	0.014499999999999997	0.0145	9	29	4	27.5	0.009760	1.908369	0.999006	1.867453e-10	28.1125	28.1125	1.861523	0.076433	3.698987e-10	28.1370	1.874004	0.101732	3.078047e-10	28.1302	1.872326	0.029563	3.154818e-10	28.1311	1.902839	0.021744	2.022589e-10	28.1153	1.866364	0.062022	3.443998e-10	28.1343	1.887556	0.067912	2.524747e-10	28.1231	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	2243b4e9-95d7-4815-b841-6dea72f8998e	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.038057	0.002377	0.029309	0.014499999999999997	0.0145	9	29	4	27.5	0.009717	1.928749	0.998962	1.388219e-10	28.1093	28.1093	1.861523	0.076433	3.682603e-10	28.1441	1.874004	0.101732	3.064414e-10	28.1373	1.872326	0.029563	3.140845e-10	28.1382	1.902839	0.021744	2.013630e-10	28.1222	1.866364	0.062022	3.428744e-10	28.1414	1.887556	0.067912	2.513564e-10	28.1300	Yes	No	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes
9	A9	8bf812c6-8020-497c-8f8d-84ddb631d64f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.037093	0.002377	0.029309	0.014499999999999997	0.0145	8	35	4	33.5	0.011203	1.835929	0.999841	1.622373e-11	33.9247	33.9247	1.861523	0.076433	1.020298e-11	33.9152	1.874004	0.101732	8.156555e-12	33.9108	1.872326	0.029563	8.405047e-12	33.9114	1.902839	0.021744	nan	33.9010	1.866364	0.062022	9.352742e-12	33.9135	1.887556	0.067912	6.407272e-12	33.9061	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No
10	A10	8bf812c6-8020-497c-8f8d-84ddb631d64f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.036756	0.002377	0.029309	0.014499999999999997	0.0145	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.861523	0.076433	nan	nan	1.874004	0.101732	nan	nan	1.872326	0.029563	nan	nan	1.902839	0.021744	nan	nan	1.866364	0.062022	nan	nan	1.887556	0.067912	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
