id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	6c56452d-4917-4948-8681-d17aaf9c3684	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.529 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.333	0.172262	0.002506	0.028445	0.013999999999999999	0.014	9	22	6	20.5	0.008551	1.528551	0.985286	1.426564e-06	21.6618	21.6618	1.834934	0.086763	3.371429e-08	21.3121	1.835765	0.111412	3.340282e-08	21.3115	1.821332	0.023596	3.926937e-08	21.3222	1.831892	0.023208	3.488061e-08	21.3144	1.839473	0.075742	3.204941e-08	21.3088	1.861355	0.057363	2.514982e-08	21.2934	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes
2	A2	6c56452d-4917-4948-8681-d17aaf9c3684	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.426 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.435	0.187189	0.002506	0.028445	0.013999999999999999	0.014	10	22	6	19.5	0.006961	1.426460	0.961929	6.833178e-06	21.4671	21.4671	1.834934	0.086763	5.036011e-08	20.6511	1.835765	0.111412	4.991746e-08	20.6502	1.821332	0.023596	5.822312e-08	20.6653	1.831892	0.023208	5.201592e-08	20.6542	1.839473	0.075742	4.799164e-08	20.6464	1.861355	0.057363	3.810802e-08	20.6246	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes
3	A3	2dbaaa77-00ad-44c1-a3c9-a56177e89ef0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.040889	0.002506	0.028445	0.013999999999999999	0.014	11	35	4	30.5	0.006798	1.823264	0.999562	7.523892e-11	31.7029	31.7029	1.834934	0.086763	6.193450e-11	31.6902	1.835765	0.111412	6.108513e-11	31.6894	1.821332	0.023596	7.771141e-11	31.7050	1.831892	0.023208	6.514898e-11	31.6935	1.839473	0.075742	5.743940e-11	31.6854	1.861355	0.057363	4.004665e-11	31.6629	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
4	A4	2dbaaa77-00ad-44c1-a3c9-a56177e89ef0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.041824	0.002506	0.028445	0.013999999999999999	0.014	12	35	4	30.5	0.008630	1.754885	0.998822	3.065096e-10	31.3602	31.3602	1.834934	0.086763	7.863365e-11	31.2970	1.835765	0.111412	7.755528e-11	31.2964	1.821332	0.023596	nan	31.3069	1.831892	0.023208	nan	31.2991	1.839473	0.075742	7.292656e-11	31.2937	1.861355	0.057363	5.084427e-11	31.2786	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
5	A5	aaac5646-1e51-40e4-813f-08f2de5ced1a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.040486	0.002506	0.028445	0.013999999999999999	0.014	7	35	4	31.5	0.006754	1.845031	0.999712	2.821096e-11	32.6902	32.6902	1.834934	0.086763	3.353450e-11	32.7009	1.835765	0.111412	3.305964e-11	32.7000	1.821332	0.023596	4.239115e-11	32.7158	1.831892	0.023208	3.533356e-11	32.7042	1.839473	0.075742	3.102389e-11	32.6961	1.861355	0.057363	2.137552e-11	32.6733	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
6	A6	aaac5646-1e51-40e4-813f-08f2de5ced1a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.041961	0.002506	0.028445	0.013999999999999999	0.014	11	35	4	31.5	0.008275	1.767031	0.998099	1.347719e-10	32.4235	32.4235	1.834934	0.086763	4.109086e-11	32.3662	1.835765	0.111412	4.050900e-11	32.3655	1.821332	0.023596	nan	32.3769	1.831892	0.023208	nan	32.3685	1.839473	0.075742	3.801454e-11	32.3627	1.861355	0.057363	2.619209e-11	32.3462	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
7	A7	839db9ee-0d1d-4091-8835-5159b2bf1de8	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.041190	0.002506	0.028445	0.013999999999999999	0.014	9	30	3	28.0	0.008243	1.885799	0.999493	1.593014e-10	28.8350	28.8350	1.834934	0.086763	3.425438e-10	28.8726	1.835765	0.111412	3.382288e-10	28.8720	1.821332	0.023596	nan	28.8834	1.831892	0.023208	nan	28.8750	1.839473	0.075742	3.196507e-10	28.8691	1.861355	0.057363	2.295470e-10	28.8525	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
8	A8	839db9ee-0d1d-4091-8835-5159b2bf1de8	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.037750	0.002506	0.028445	0.013999999999999999	0.014	7	30	4	28.5	0.008472	1.953258	0.999659	4.378402e-11	29.2503	29.2503	1.834934	0.086763	2.598866e-10	29.3276	1.835765	0.111412	2.565547e-10	29.3269	1.821332	0.023596	nan	29.3378	1.831892	0.023208	nan	29.3298	1.839473	0.075742	2.422183e-10	29.3242	1.861355	0.057363	1.729159e-10	29.3085	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
9	A9	16876800-582a-436a-9e5d-5153a837748f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau;Cq > 34;N0 unreliable	0.037266	0.002506	0.028445	0.013999999999999999	0.014	10	35	4	33.5	0.007789	1.768836	0.997492	3.926134e-11	34.5280	34.5280	1.834934	0.086763	1.148715e-11	34.4659	1.835765	0.111412	1.131424e-11	34.4652	1.821332	0.023596	nan	34.4779	1.831892	0.023208	nan	34.4685	1.839473	0.075742	1.057477e-11	34.4620	1.861355	0.057363	7.115732e-12	34.4437	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
10	A10	16876800-582a-436a-9e5d-5153a837748f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau;Cq > 34;N0 unreliable	0.039073	0.002506	0.028445	0.013999999999999999	0.014	7	35	4	33.5	0.006914	1.795122	0.999930	2.126056e-11	34.7059	34.7059	1.834934	0.086763	1.019612e-11	34.6623	1.835765	0.111412	1.004264e-11	34.6614	1.821332	0.023596	1.308220e-11	34.6767	1.831892	0.023208	1.077883e-11	34.6655	1.839473	0.075742	9.386285e-12	34.6576	1.861355	0.057363	6.316004e-12	34.6356	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
