id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	b1186308-310c-4115-8df5-7e33990a1b43	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.034958	0.002404	0.024547	0.0125	0.0125	12	29	4	27.5	0.008649	1.753059	0.999816	1.708384e-09	28.1560	28.1560	1.785837	0.045048	1.026446e-09	28.1350	1.787034	0.045675	1.007714e-09	28.1343	1.795897	0.028485	8.795303e-10	28.1289	1.799603	0.026861	8.310508e-10	28.1267	1.785837	0.045048	1.026446e-09	28.1350	1.787034	0.045675	1.007714e-09	28.1343	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
2	A2	b1186308-310c-4115-8df5-7e33990a1b43	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.036855	0.002404	0.024547	0.0125	0.0125	12	29	4	27.5	0.009044	1.777869	0.999233	1.213688e-09	28.0625	28.0625	1.785837	0.045048	1.073250e-09	28.0581	1.787034	0.045675	1.053664e-09	28.0575	1.795897	0.028485	9.196353e-10	28.0528	1.799603	0.026861	8.689451e-10	28.0508	1.785837	0.045048	1.073250e-09	28.0581	1.787034	0.045675	1.053664e-09	28.0575	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
3	A3	5c9b648f-536f-470e-88a7-20ff6e989fd2	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042400	0.002404	0.024547	0.0125	0.0125	7	24	4	22.5	0.008376	1.839743	0.999784	9.246881e-09	23.1567	23.1567	1.785837	0.045048	1.805470e-08	23.1904	1.787034	0.045675	1.778467e-08	23.1896	1.795897	0.028485	1.591118e-08	23.1838	1.799603	0.026861	1.518994e-08	23.1814	1.785837	0.045048	1.805470e-08	23.1904	1.787034	0.045675	1.778467e-08	23.1896	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	5c9b648f-536f-470e-88a7-20ff6e989fd2	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.043918	0.002404	0.024547	0.0125	0.0125	9	24	5	22.0	0.007174	1.736757	0.999223	3.815218e-08	23.0058	23.0058	1.785837	0.045048	2.066595e-08	22.9575	1.787034	0.045675	2.036368e-08	22.9564	1.795897	0.028485	1.826363e-08	22.9483	1.799603	0.026861	1.745374e-08	22.9450	1.785837	0.045048	2.066595e-08	22.9575	1.787034	0.045675	2.036368e-08	22.9564	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	399a7463-71b6-4666-a302-8dbdc3be2f28	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.038406	0.002404	0.024547	0.0125	0.0125	7	25	3	23.0	0.008490	1.881269	0.999882	4.135529e-09	23.6122	23.6122	1.785837	0.045048	1.369423e-08	23.6671	1.787034	0.045675	1.348490e-08	23.6664	1.795897	0.028485	1.203455e-08	23.6607	1.799603	0.026861	1.147720e-08	23.6584	1.785837	0.045048	1.369423e-08	23.6671	1.787034	0.045675	1.348490e-08	23.6664	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	399a7463-71b6-4666-a302-8dbdc3be2f28	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042123	0.002404	0.024547	0.0125	0.0125	8	24	4	22.5	0.008140	1.838063	0.999889	9.173597e-09	23.2046	23.2046	1.785837	0.045048	1.754721e-08	23.2396	1.787034	0.045675	1.728477e-08	23.2387	1.795897	0.028485	1.546394e-08	23.2325	1.799603	0.026861	1.476298e-08	23.2299	1.785837	0.045048	1.754721e-08	23.2396	1.787034	0.045675	1.728477e-08	23.2387	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	8992c6bb-9f64-4c07-a989-fb55e56ca520	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.041248	0.002404	0.024547	0.0125	0.0125	9	24	4	22.5	0.007205	1.803254	0.999963	1.248346e-08	23.4345	23.4345	1.785837	0.045048	1.553000e-08	23.4502	1.787034	0.045675	1.529773e-08	23.4491	1.795897	0.028485	1.368622e-08	23.4411	1.799603	0.026861	1.306584e-08	23.4378	1.785837	0.045048	1.553000e-08	23.4502	1.787034	0.045675	1.529773e-08	23.4491	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	8992c6bb-9f64-4c07-a989-fb55e56ca520	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.038991	0.002404	0.024547	0.0125	0.0125	7	24	4	22.5	0.007437	1.761847	0.999157	2.173384e-08	23.4167	23.4167	1.785837	0.045048	1.603171e-08	23.3954	1.787034	0.045675	1.579193e-08	23.3943	1.795897	0.028485	1.412836e-08	23.3868	1.799603	0.026861	1.348794e-08	23.3837	1.785837	0.045048	1.603171e-08	23.3954	1.787034	0.045675	1.579193e-08	23.3943	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	1467187b-c7ce-4537-b293-b8eca22b90f3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.035358	0.002404	0.024547	0.0125	0.0125	10	25	3	23.0	0.007541	1.801804	0.998054	9.911730e-09	23.8584	23.8584	1.785837	0.045048	1.216354e-08	23.8715	1.787034	0.045675	1.197761e-08	23.8705	1.795897	0.028485	1.068938e-08	23.8632	1.799603	0.026861	1.019432e-08	23.8601	1.785837	0.045048	1.216354e-08	23.8715	1.787034	0.045675	1.197761e-08	23.8705	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	1467187b-c7ce-4537-b293-b8eca22b90f3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.036457	0.002404	0.024547	0.0125	0.0125	10	25	3	23.0	0.007564	1.825614	0.998455	7.350904e-09	23.8346	23.8346	1.785837	0.045048	1.220069e-08	23.8663	1.787034	0.045675	1.201419e-08	23.8653	1.795897	0.028485	1.072202e-08	23.8580	1.799603	0.026861	1.022545e-08	23.8549	1.785837	0.045048	1.220069e-08	23.8663	1.787034	0.045675	1.201419e-08	23.8653	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
