id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	c7050661-ff53-4f42-ba42-40e16a3b3d39	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.048786	0.002917	0.031333	0.015499999999999996	0.0155	6	23	4	21.5	0.008680	1.801769	0.998210	2.760427e-08	22.4848	22.4848	1.806079	0.088907	2.622228e-08	22.4809	1.810678	0.078038	2.482703e-08	22.4767	1.812166	0.026053	2.439234e-08	22.4753	1.812166	0.026053	2.439234e-08	22.4753	1.819467	0.052843	2.237232e-08	22.4688	1.819467	0.052843	2.237232e-08	22.4688	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
2	A2	c7050661-ff53-4f42-ba42-40e16a3b3d39	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.051694	0.002917	0.031333	0.015499999999999996	0.0155	9	23	4	21.5	0.010176	1.774919	0.999708	4.469463e-08	22.2334	22.2334	1.806079	0.088907	3.074384e-08	22.2118	1.810678	0.078038	2.910800e-08	22.2087	1.812166	0.026053	2.859835e-08	22.2077	1.812166	0.026053	2.859835e-08	22.2077	1.819467	0.052843	2.623002e-08	22.2030	1.819467	0.052843	2.623002e-08	22.2030	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	230a856f-ca43-4484-ad48-25bb90634e06	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050574	0.002917	0.031333	0.015499999999999996	0.0155	9	23	4	21.5	0.009026	1.802843	0.999047	2.833918e-08	22.4175	22.4175	1.806079	0.088907	2.726746e-08	22.4147	1.810678	0.078038	2.581660e-08	22.4108	1.812166	0.026053	2.536458e-08	22.4096	1.812166	0.026053	2.536458e-08	22.4096	1.819467	0.052843	2.326405e-08	22.4035	1.819467	0.052843	2.326405e-08	22.4035	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	230a856f-ca43-4484-ad48-25bb90634e06	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.052544	0.002917	0.031333	0.015499999999999996	0.0155	9	24	4	21.5	0.008971	1.828770	0.999727	2.072049e-08	22.4060	22.4060	1.806079	0.088907	2.710088e-08	22.4251	1.810678	0.078038	2.565888e-08	22.4211	1.812166	0.026053	2.520962e-08	22.4199	1.812166	0.026053	2.520962e-08	22.4199	1.819467	0.052843	2.312193e-08	22.4137	1.819467	0.052843	2.312193e-08	22.4137	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	fdc3ead1-f6a7-4965-a55f-bb9e66e84261	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.053544	0.002917	0.031333	0.015499999999999996	0.0155	12	23	5	21.0	0.009077	1.744178	0.997882	7.665155e-08	21.9620	21.9620	1.806079	0.088907	3.685179e-08	21.9052	1.810678	0.078038	3.493536e-08	21.9013	1.812166	0.026053	3.433778e-08	21.9001	1.812166	0.026053	3.433778e-08	21.9001	1.819467	0.052843	3.155752e-08	21.8940	1.819467	0.052843	3.155752e-08	21.8940	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	fdc3ead1-f6a7-4965-a55f-bb9e66e84261	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.055102	0.002917	0.031333	0.015499999999999996	0.0155	8	23	4	21.5	0.011050	1.871547	0.999394	1.552559e-08	22.0399	22.0399	1.806079	0.088907	3.338302e-08	22.0724	1.810678	0.078038	3.160675e-08	22.0700	1.812166	0.026053	3.105335e-08	22.0692	1.812166	0.026053	3.105335e-08	22.0692	1.819467	0.052843	2.848171e-08	22.0654	1.819467	0.052843	2.848171e-08	22.0654	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	1b799e1b-5cad-4178-8304-bdae09ee5793	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.051921	0.002917	0.031333	0.015499999999999996	0.0155	9	23	4	21.5	0.009981	1.822386	0.999810	2.485372e-08	22.2335	22.2335	1.806079	0.088907	3.015232e-08	22.2446	1.810678	0.078038	2.854796e-08	22.2414	1.812166	0.026053	2.804812e-08	22.2404	1.812166	0.026053	2.804812e-08	22.2404	1.819467	0.052843	2.572535e-08	22.2354	1.819467	0.052843	2.572535e-08	22.2354	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	1b799e1b-5cad-4178-8304-bdae09ee5793	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.047133	0.002917	0.031333	0.015499999999999996	0.0155	7	23	4	21.5	0.009369	1.793396	0.998967	3.293617e-08	22.3618	22.3618	1.806079	0.088907	2.830568e-08	22.3515	1.810678	0.078038	2.679958e-08	22.3479	1.812166	0.026053	2.633035e-08	22.3467	1.812166	0.026053	2.633035e-08	22.3467	1.819467	0.052843	2.414984e-08	22.3410	1.819467	0.052843	2.414984e-08	22.3410	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	f5ec5365-7633-41d6-93b4-e603c3ec9cb3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.053628	0.002917	0.031333	0.015499999999999996	0.0155	8	23	4	20.5	0.007684	1.755828	0.998569	7.476855e-08	21.7464	21.7464	1.806079	0.088907	4.192746e-08	21.6869	1.810678	0.078038	3.979764e-08	21.6819	1.812166	0.026053	3.913296e-08	21.6802	1.812166	0.026053	3.913296e-08	21.6802	1.819467	0.052843	3.603682e-08	21.6723	1.819467	0.052843	3.603682e-08	21.6723	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	f5ec5365-7633-41d6-93b4-e603c3ec9cb3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.054538	0.002917	0.031333	0.015499999999999996	0.0155	9	23	4	20.5	0.007631	1.769007	0.999668	6.369896e-08	21.7423	21.7423	1.806079	0.088907	4.163779e-08	21.6987	1.810678	0.078038	3.952268e-08	21.6935	1.812166	0.026053	3.886260e-08	21.6919	1.812166	0.026053	3.886260e-08	21.6919	1.819467	0.052843	3.578785e-08	21.6839	1.819467	0.052843	3.578785e-08	21.6839	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
