id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	86abcecb-f1fe-4eb3-9a87-04c5f0e7e02a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050557	0.002917	0.029717	0.014999999999999996	0.015	8	23	4	21.5	0.009998	1.807882	0.999871	2.956303e-08	22.1851	22.1851	1.786237	0.042771	3.830133e-08	22.1993	1.786237	0.042771	3.830133e-08	22.1993	1.784713	0.022601	3.901112e-08	22.2003	1.784713	0.022601	3.901112e-08	22.2003	1.786237	0.042771	3.830133e-08	22.1993	1.786237	0.042771	3.830133e-08	22.1993	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	86abcecb-f1fe-4eb3-9a87-04c5f0e7e02a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.053303	0.002917	0.029717	0.014999999999999996	0.015	9	23	4	21.5	0.011083	1.799883	0.999749	3.605110e-08	22.0149	22.0149	1.786237	0.042771	4.245958e-08	22.0216	1.786237	0.042771	4.245958e-08	22.0216	1.784713	0.022601	4.324643e-08	22.0224	1.784713	0.022601	4.324643e-08	22.0224	1.786237	0.042771	4.245958e-08	22.0216	1.786237	0.042771	4.245958e-08	22.0216	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	b36d808e-78fa-4730-9aa0-b8859c9b244b	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.053754	0.002917	0.029717	0.014999999999999996	0.015	8	23	4	21.5	0.010040	1.797548	0.999735	3.358243e-08	22.1846	22.1846	1.786237	0.042771	3.846352e-08	22.1920	1.786237	0.042771	3.846352e-08	22.1920	1.784713	0.022601	3.917633e-08	22.1931	1.784713	0.022601	3.917633e-08	22.1931	1.786237	0.042771	3.846352e-08	22.1920	1.786237	0.042771	3.846352e-08	22.1920	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	b36d808e-78fa-4730-9aa0-b8859c9b244b	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.055431	0.002917	0.029717	0.014999999999999996	0.015	8	23	4	21.5	0.010882	1.804660	0.999894	3.343418e-08	22.0437	22.0437	1.786237	0.042771	4.168663e-08	22.0533	1.786237	0.042771	4.168663e-08	22.0533	1.784713	0.022601	4.245916e-08	22.0541	1.784713	0.022601	4.245916e-08	22.0541	1.786237	0.042771	4.168663e-08	22.0533	1.786237	0.042771	4.168663e-08	22.0533	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	2ac37bd6-e6fb-4c24-bc60-f32292dda0f2	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.057388	0.002917	0.029717	0.014999999999999996	0.015	8	23	5	21.0	0.009234	1.738246	0.999084	8.376407e-08	21.8775	21.8775	1.786237	0.042771	4.727921e-08	21.8363	1.786237	0.042771	4.727921e-08	21.8363	1.784713	0.022601	4.813482e-08	21.8375	1.784713	0.022601	4.813482e-08	21.8375	1.786237	0.042771	4.727921e-08	21.8363	1.786237	0.042771	4.727921e-08	21.8363	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	2ac37bd6-e6fb-4c24-bc60-f32292dda0f2	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.057717	0.002917	0.029717	0.014999999999999996	0.015	8	23	5	21.0	0.008843	1.708967	0.999046	1.146048e-07	21.9860	21.9860	1.786237	0.042771	4.527782e-08	21.9109	1.786237	0.042771	4.527782e-08	21.9109	1.784713	0.022601	4.609722e-08	21.9122	1.784713	0.022601	4.609722e-08	21.9122	1.786237	0.042771	4.527782e-08	21.9109	1.786237	0.042771	4.527782e-08	21.9109	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	1619e1b2-cbce-4a6e-99ab-b33b1acbe58a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.054849	0.002917	0.029717	0.014999999999999996	0.015	8	23	4	21.5	0.009515	1.775000	0.999899	4.175073e-08	22.2932	22.2932	1.786237	0.042771	3.645331e-08	22.2846	1.786237	0.042771	3.645331e-08	22.2846	1.784713	0.022601	3.712886e-08	22.2857	1.784713	0.022601	3.712886e-08	22.2857	1.786237	0.042771	3.645331e-08	22.2846	1.786237	0.042771	3.645331e-08	22.2846	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	1619e1b2-cbce-4a6e-99ab-b33b1acbe58a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.052390	0.002917	0.029717	0.014999999999999996	0.015	7	23	4	21.5	0.009038	1.809514	0.999763	2.621226e-08	22.3542	22.3542	1.786237	0.042771	3.462550e-08	22.3732	1.786237	0.042771	3.462550e-08	22.3732	1.784713	0.022601	3.526718e-08	22.3745	1.784713	0.022601	3.526718e-08	22.3745	1.786237	0.042771	3.462550e-08	22.3732	1.786237	0.042771	3.462550e-08	22.3732	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	fa2eee85-d5d7-4533-b4ac-5579bcae045b	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.048578	0.002917	0.029717	0.014999999999999996	0.015	10	24	4	21.5	0.007817	1.790109	0.999367	2.858414e-08	22.6193	22.6193	1.786237	0.042771	2.994625e-08	22.6235	1.786237	0.042771	2.994625e-08	22.6235	1.784713	0.022601	3.050122e-08	22.6252	1.784713	0.022601	3.050122e-08	22.6252	1.786237	0.042771	2.994625e-08	22.6235	1.786237	0.042771	2.994625e-08	22.6235	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	fa2eee85-d5d7-4533-b4ac-5579bcae045b	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050621	0.002917	0.029717	0.014999999999999996	0.015	8	24	3	22.0	0.009430	1.845306	0.999520	1.321316e-08	22.7576	22.7576	1.786237	0.042771	2.703026e-08	22.8001	1.786237	0.042771	2.703026e-08	22.8001	1.784713	0.022601	2.754294e-08	22.8013	1.784713	0.022601	2.754294e-08	22.8013	1.786237	0.042771	2.703026e-08	22.8001	1.786237	0.042771	2.703026e-08	22.8001	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
