id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.023408	0.001563	0.015031	0.007500000000000001	0.0075	3	4	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
2	A2	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.023425	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
3	A3	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.027068	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
4	A4	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.024915	0.001563	0.015031	0.007500000000000001	0.0075	3	4	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
5	A5	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.025671	0.001563	0.015031	0.007500000000000001	0.0075	3	4	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
6	A6	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.028564	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
7	A7	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.026563	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
8	A8	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.024653	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
9	A9	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.025162	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
10	A10	0181e27f-147e-439c-82cc-6459c0b2523b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.027505	0.001563	0.015031	0.007500000000000001	0.0075	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	1.675691	0.009930	nan	nan	1.780075	0.016956	nan	nan	1.740874	0.092106	nan	nan	1.760159	0.081976	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
