id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	7e1e29cd-ec50-4a53-820e-9b5d725ba059	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.045839	0.002455	0.026915	0.0135	0.0135	9	23	4	21.5	0.008430	1.802739	0.999969	2.650221e-08	22.2990	22.2990	1.796201	0.115704	2.865531e-08	22.3040	1.819532	0.081260	2.171229e-08	22.2866	1.812347	0.025745	2.363999e-08	22.2919	1.821275	0.026826	2.126986e-08	22.2854	1.818375	0.075658	2.201110e-08	22.2875	1.825763	0.067747	2.017350e-08	22.2822	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	7e1e29cd-ec50-4a53-820e-9b5d725ba059	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.049147	0.002455	0.026915	0.0135	0.0135	7	23	4	21.5	0.007891	1.912611	0.999104	6.952889e-09	22.3280	22.3280	1.796201	0.115704	2.682285e-08	22.4168	1.819532	0.081260	2.032383e-08	22.3970	1.812347	0.025745	2.212825e-08	22.4030	1.821275	0.026826	1.990968e-08	22.3956	1.818375	0.075658	2.060353e-08	22.3980	1.825763	0.067747	1.888344e-08	22.3920	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	2a57dcb1-806d-4da1-ba5b-09497edc5d76	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.037991	0.002455	0.026915	0.0135	0.0135	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.796201	0.115704	nan	nan	1.819532	0.081260	nan	nan	1.812347	0.025745	nan	nan	1.821275	0.026826	nan	nan	1.818375	0.075658	nan	nan	1.825763	0.067747	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
4	A4	2a57dcb1-806d-4da1-ba5b-09497edc5d76	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.039363	0.002455	0.026915	0.0135	0.0135	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.796201	0.115704	nan	nan	1.819532	0.081260	nan	nan	1.812347	0.025745	nan	nan	1.821275	0.026826	nan	nan	1.818375	0.075658	nan	nan	1.825763	0.067747	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
5	A5	75715ce7-5d24-499f-88db-472d0854b3c2	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.099008	0.002455	0.026915	0.0135	0.0135	9	25	4	23.5	0.008707	1.794389	0.998828	9.393486e-09	24.2501	24.2501	1.796201	0.115704	9.173314e-09	24.2488	1.819532	0.081260	6.773569e-09	24.2327	1.812347	0.025745	7.433538e-09	24.2375	1.821275	0.026826	6.622846e-09	24.2315	1.818375	0.075658	6.875523e-09	24.2334	1.825763	0.067747	6.250624e-09	24.2285	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	75715ce7-5d24-499f-88db-472d0854b3c2	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.091603	0.002455	0.026915	0.0135	0.0135	8	26	4	23.5	0.006867	1.811460	0.997050	5.930213e-09	24.6378	24.6378	1.796201	0.115704	7.234420e-09	24.6542	1.819532	0.081260	5.341892e-09	24.6294	1.812347	0.025745	5.862368e-09	24.6369	1.821275	0.026826	5.223026e-09	24.6276	1.818375	0.075658	5.422296e-09	24.6306	1.825763	0.067747	4.929477e-09	24.6229	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	4959889a-02f6-4f49-9627-3a020991d466	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.051105	0.002455	0.026915	0.0135	0.0135	8	25	4	22.5	0.007393	1.864111	0.999593	6.070529e-09	23.4668	23.4668	1.796201	0.115704	1.399118e-08	23.5281	1.819532	0.081260	1.046527e-08	23.5059	1.812347	0.025745	1.143958e-08	23.5126	1.821275	0.026826	1.024220e-08	23.5043	1.818375	0.075658	1.061604e-08	23.5070	1.825763	0.067747	9.690385e-09	23.5002	Yes	No	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes
8	A8	4959889a-02f6-4f49-9627-3a020991d466	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.045922	0.002455	0.026915	0.0135	0.0135	7	25	4	22.5	0.007512	1.825597	0.999975	9.866546e-09	23.4738	23.4738	1.796201	0.115704	1.421627e-08	23.5008	1.819532	0.081260	1.063363e-08	23.4792	1.812347	0.025745	1.162362e-08	23.4857	1.821275	0.026826	1.040698e-08	23.4777	1.818375	0.075658	1.078683e-08	23.4803	1.825763	0.067747	9.846284e-09	23.4737	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	25a248ef-5446-4ef3-9faa-76bf2c1a685d	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.044494	0.002455	0.026915	0.0135	0.0135	7	24	4	22.5	0.008677	1.966445	0.999027	2.140533e-09	23.1537	23.1537	1.796201	0.115704	1.642013e-08	23.2547	1.819532	0.081260	1.228210e-08	23.2385	1.812347	0.025745	1.342556e-08	23.2434	1.821275	0.026826	1.202031e-08	23.2373	1.818375	0.075658	1.245904e-08	23.2392	1.825763	0.067747	1.137269e-08	23.2343	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	25a248ef-5446-4ef3-9faa-76bf2c1a685d	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.045486	0.002455	0.026915	0.0135	0.0135	7	24	4	22.5	0.009196	1.896770	0.999253	5.108244e-09	23.0997	23.0997	1.796201	0.115704	1.740258e-08	23.1555	1.819532	0.081260	1.301696e-08	23.1414	1.812347	0.025745	1.422883e-08	23.1456	1.821275	0.026826	1.273950e-08	23.1404	1.818375	0.075658	1.320449e-08	23.1421	1.825763	0.067747	1.205314e-08	23.1377	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
