id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	12342245-68ba-4266-bd0c-685097ae9a27	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.077362	0.002851	0.032961	0.0165	0.0165	7	26	4	23.5	0.007933	1.924847	0.997937	1.644875e-09	24.6183	24.6183	1.841352	0.053625	4.663666e-09	24.6995	1.842716	0.055024	4.583231e-09	24.6981	1.845845	0.025088	4.404071e-09	24.6948	1.846266	0.025510	4.380569e-09	24.6943	1.841352	0.053625	4.663666e-09	24.6995	1.842716	0.055024	4.583231e-09	24.6981	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
2	A2	12342245-68ba-4266-bd0c-685097ae9a27	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.076759	0.002851	0.032961	0.0165	0.0165	7	26	3	24.0	0.009588	1.909866	0.999887	1.728546e-09	24.8389	24.8389	1.841352	0.053625	4.153967e-09	24.8891	1.842716	0.055024	4.080812e-09	24.8880	1.845845	0.025088	3.917967e-09	24.8856	1.846266	0.025510	3.896615e-09	24.8852	1.841352	0.053625	4.153967e-09	24.8891	1.842716	0.055024	4.080812e-09	24.8880	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	3014c8bc-ebc7-41fe-9ee7-f03afd3e16cf	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.078947	0.002851	0.032961	0.0165	0.0165	7	25	4	23.5	0.008316	1.770410	0.999498	1.230725e-08	24.6996	24.6996	1.841352	0.053625	4.888523e-09	24.6224	1.842716	0.055024	4.804211e-09	24.6210	1.845845	0.025088	4.616412e-09	24.6179	1.846266	0.025510	4.591777e-09	24.6175	1.841352	0.053625	4.888523e-09	24.6224	1.842716	0.055024	4.804211e-09	24.6210	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	3014c8bc-ebc7-41fe-9ee7-f03afd3e16cf	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.084279	0.002851	0.032961	0.0165	0.0165	7	26	3	24.0	0.009967	1.906542	0.999996	1.873495e-09	24.7812	24.7812	1.841352	0.053625	4.317962e-09	24.8257	1.842716	0.055024	4.241920e-09	24.8247	1.845845	0.025088	4.072645e-09	24.8224	1.846266	0.025510	4.050450e-09	24.8221	1.841352	0.053625	4.317962e-09	24.8257	1.842716	0.055024	4.241920e-09	24.8247	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	47e18386-3d74-4dde-94a3-9776655743fd	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.083145	0.002851	0.032961	0.0165	0.0165	8	26	4	23.5	0.008565	1.865416	0.999876	3.711187e-09	24.5516	24.5516	1.841352	0.053625	5.035307e-09	24.5739	1.842716	0.055024	4.948463e-09	24.5726	1.845845	0.025088	4.755026e-09	24.5697	1.846266	0.025510	4.729651e-09	24.5693	1.841352	0.053625	5.035307e-09	24.5739	1.842716	0.055024	4.948463e-09	24.5726	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	47e18386-3d74-4dde-94a3-9776655743fd	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.083451	0.002851	0.032961	0.0165	0.0165	9	26	4	23.5	0.008651	1.840779	0.999948	5.123103e-09	24.5582	24.5582	1.841352	0.053625	5.085740e-09	24.5576	1.842716	0.055024	4.998026e-09	24.5563	1.845845	0.025088	4.802652e-09	24.5534	1.846266	0.025510	4.777023e-09	24.5530	1.841352	0.053625	5.085740e-09	24.5576	1.842716	0.055024	4.998026e-09	24.5563	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	0f42129f-95bd-449b-b209-62440ec16b03	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.085734	0.002851	0.032961	0.0165	0.0165	8	26	4	23.5	0.008964	1.870419	0.999105	3.647175e-09	24.4743	24.4743	1.841352	0.053625	5.269938e-09	24.4993	1.842716	0.055024	5.179048e-09	24.4981	1.845845	0.025088	4.976597e-09	24.4954	1.846266	0.025510	4.950040e-09	24.4950	1.841352	0.053625	5.269938e-09	24.4993	1.842716	0.055024	5.179048e-09	24.4981	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	0f42129f-95bd-449b-b209-62440ec16b03	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.079046	0.002851	0.032961	0.0165	0.0165	6	25	4	23.5	0.007944	1.956959	0.999721	1.116585e-09	24.5886	24.5886	1.841352	0.053625	4.670305e-09	24.6972	1.842716	0.055024	4.589756e-09	24.6957	1.845845	0.025088	4.410341e-09	24.6924	1.846266	0.025510	4.386805e-09	24.6920	1.841352	0.053625	4.670305e-09	24.6972	1.842716	0.055024	4.589756e-09	24.6957	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	66cb00b7-a31a-48fe-9ab4-c7a210500811	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.076758	0.002851	0.032961	0.0165	0.0165	9	23	4	21.5	0.009200	1.831239	0.999694	2.064274e-08	22.4656	22.4656	1.841352	0.053625	1.833764e-08	22.4569	1.842716	0.055024	1.804807e-08	22.4557	1.845845	0.025088	1.740152e-08	22.4530	1.846266	0.025510	1.731654e-08	22.4527	1.841352	0.053625	1.833764e-08	22.4569	1.842716	0.055024	1.804807e-08	22.4557	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	66cb00b7-a31a-48fe-9ab4-c7a210500811	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.081283	0.002851	0.032961	0.0165	0.0165	7	23	4	21.5	0.008798	1.854488	0.999232	1.505054e-08	22.5182	22.5182	1.841352	0.053625	1.753578e-08	22.5301	1.842716	0.055024	1.725888e-08	22.5288	1.845845	0.025088	1.664060e-08	22.5260	1.846266	0.025510	1.655934e-08	22.5256	1.841352	0.053625	1.753578e-08	22.5301	1.842716	0.055024	1.725888e-08	22.5288	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
