id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	5c1fbb14-83f3-4029-a0bb-65ca5c4074b0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.072489	0.003475	0.035727	0.018	0.018	7	24	3	22.0	0.010970	1.886331	0.999863	9.475549e-09	22.7803	22.7803	1.790718	0.085105	2.975749e-08	22.8500	1.790718	0.085105	2.975749e-08	22.8500	1.796517	0.025167	2.771466e-08	22.8453	1.796517	0.025167	2.771466e-08	22.8453	1.790718	0.085105	2.975749e-08	22.8500	1.790718	0.085105	2.975749e-08	22.8500	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
2	A2	5c1fbb14-83f3-4029-a0bb-65ca5c4074b0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.077659	0.003475	0.035727	0.018	0.018	7	24	3	22.0	0.012036	1.860753	0.999874	1.403844e-08	22.6482	22.6482	1.790718	0.085105	3.264923e-08	22.6908	1.790718	0.085105	3.264923e-08	22.6908	1.796517	0.025167	3.040788e-08	22.6870	1.796517	0.025167	3.040788e-08	22.6870	1.790718	0.085105	3.264923e-08	22.6908	1.790718	0.085105	3.264923e-08	22.6908	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	7db21a4e-7b31-4000-bfe2-17b372208c95	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.075772	0.003475	0.035727	0.018	0.018	9	23	4	21.5	0.010297	1.768102	0.999475	4.912748e-08	22.4799	22.4799	1.790718	0.085105	3.738038e-08	22.4586	1.790718	0.085105	3.738038e-08	22.4586	1.796517	0.025167	3.487056e-08	22.4533	1.796517	0.025167	3.487056e-08	22.4533	1.790718	0.085105	3.738038e-08	22.4586	1.790718	0.085105	3.738038e-08	22.4586	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	7db21a4e-7b31-4000-bfe2-17b372208c95	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.079934	0.003475	0.035727	0.018	0.018	7	24	4	21.5	0.009681	1.878340	0.999813	1.258307e-08	22.4838	22.4838	1.790718	0.085105	3.514366e-08	22.5645	1.790718	0.085105	3.514366e-08	22.5645	1.796517	0.025167	3.278402e-08	22.5586	1.796517	0.025167	3.278402e-08	22.5586	1.790718	0.085105	3.514366e-08	22.5645	1.790718	0.085105	3.514366e-08	22.5645	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	05356729-0e6b-474e-9cf9-cd0d29affd7b	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.079141	0.003475	0.035727	0.018	0.018	8	24	3	22.0	0.011770	1.867538	0.999441	1.267154e-08	22.6802	22.6802	1.790718	0.085105	3.192702e-08	22.7292	1.790718	0.085105	3.192702e-08	22.7292	1.796517	0.025167	2.973526e-08	22.7252	1.796517	0.025167	2.973526e-08	22.7252	1.790718	0.085105	3.192702e-08	22.7292	1.790718	0.085105	3.192702e-08	22.7292	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	05356729-0e6b-474e-9cf9-cd0d29affd7b	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.079800	0.003475	0.035727	0.018	0.018	7	24	3	22.0	0.010722	1.909194	0.999991	7.105097e-09	22.8011	22.8011	1.790718	0.085105	2.908504e-08	22.8892	1.790718	0.085105	2.908504e-08	22.8892	1.796517	0.025167	2.708837e-08	22.8843	1.796517	0.025167	2.708837e-08	22.8843	1.790718	0.085105	2.908504e-08	22.8892	1.790718	0.085105	2.908504e-08	22.8892	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	1d0f7383-73fb-475f-bccd-632be8abfacb	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.078969	0.003475	0.035727	0.018	0.018	9	24	4	21.5	0.009373	1.812621	0.999169	2.619745e-08	22.5972	22.5972	1.790718	0.085105	3.402295e-08	22.6201	1.790718	0.085105	3.402295e-08	22.6201	1.796517	0.025167	3.173856e-08	22.6139	1.796517	0.025167	3.173856e-08	22.6139	1.790718	0.085105	3.402295e-08	22.6201	1.790718	0.085105	3.402295e-08	22.6201	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	1d0f7383-73fb-475f-bccd-632be8abfacb	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.072653	0.003475	0.035727	0.018	0.018	9	23	4	21.5	0.009890	1.755710	0.997438	5.488408e-08	22.5640	22.5640	1.790718	0.085105	3.590001e-08	22.5279	1.790718	0.085105	3.590001e-08	22.5279	1.796517	0.025167	3.348959e-08	22.5222	1.796517	0.025167	3.348959e-08	22.5222	1.790718	0.085105	3.590001e-08	22.5279	1.790718	0.085105	3.590001e-08	22.5279	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	72f46ed4-6bc9-4f1a-b5ef-20cf17d30bbb	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.067354	0.003475	0.035727	0.018	0.018	9	23	4	21.5	0.010602	1.825813	0.999851	2.535573e-08	22.3793	22.3793	1.790718	0.085105	3.848553e-08	22.4086	1.790718	0.085105	3.848553e-08	22.4086	1.796517	0.025167	3.590151e-08	22.4035	1.796517	0.025167	3.590151e-08	22.4035	1.790718	0.085105	3.848553e-08	22.4086	1.790718	0.085105	3.848553e-08	22.4086	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	72f46ed4-6bc9-4f1a-b5ef-20cf17d30bbb	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.071072	0.003475	0.035727	0.018	0.018	10	23	4	21.5	0.010239	1.801195	0.995311	3.278804e-08	22.4587	22.4587	1.790718	0.085105	3.716940e-08	22.4683	1.790718	0.085105	3.716940e-08	22.4683	1.796517	0.025167	3.467375e-08	22.4629	1.796517	0.025167	3.467375e-08	22.4629	1.790718	0.085105	3.716940e-08	22.4683	1.790718	0.085105	3.716940e-08	22.4683	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
