id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	fe79915d-94b8-4938-99a5-778305158547	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.658 < 1.7	0.080590	0.003819	0.035481	0.055508439589877126	0.0175	10	26	4	23.5	0.012282	1.658039	0.999214	8.487397e-08	26.4833	24.2003	1.714869	0.136711	3.844360e-08	26.2968	1.745229	0.112831	2.545195e-08	26.2087	1.670602	0.020445	7.107782e-08	26.4394	1.718375	0.018938	3.664197e-08	26.2863	1.714869	0.136711	3.844360e-08	26.2968	1.745229	0.112831	2.545195e-08	26.2087	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	No	Yes
2	A2	fe79915d-94b8-4938-99a5-778305158547	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.077105	0.003819	0.035481	0.055508439589877126	0.0175	8	25	3	23.0	0.010641	1.813639	0.999937	1.203118e-08	25.7746	23.8357	1.714869	0.136711	4.361780e-08	26.0627	1.745229	0.112831	2.913207e-08	25.9662	1.670602	0.020445	7.959666e-08	26.2188	1.718375	0.018938	4.161616e-08	26.0512	1.714869	0.136711	4.361780e-08	26.0627	1.745229	0.112831	2.913207e-08	25.9662	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	fe79915d-94b8-4938-99a5-778305158547	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.699 < 1.7	0.078580	0.003819	0.035481	0.055508439589877126	0.0175	10	25	4	23.5	0.012623	1.699437	0.999485	4.886364e-08	26.2928	24.1161	1.714869	0.136711	3.951193e-08	26.2460	1.745229	0.112831	2.615925e-08	26.1595	1.670602	0.020445	7.305304e-08	26.3860	1.718375	0.018938	3.766023e-08	26.2357	1.714869	0.136711	3.951193e-08	26.2460	1.745229	0.112831	2.615925e-08	26.1595	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	f5d32fee-f517-4c00-822c-282502ca843e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye			0.035527	0.033037	0.157036	0.055508439589877126	0.0785	0	35	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
5	A5	f5d32fee-f517-4c00-822c-282502ca843e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye	amplification in negative control;baseline error		0.046126	0.033037	0.157036	0.055508439589877126	0.0785	2	35	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
6	A6	f5d32fee-f517-4c00-822c-282502ca843e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye	amplification in negative control;baseline error		0.049243	0.033037	0.157036	0.055508439589877126	0.0785	12	19	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
7	A7	fe79915d-94b8-4938-99a5-778305158547	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.409 < 1.7	0.061468	0.056624	0.249459	0.055508439589877126	0.1245	12	18	4	15.5	0.112258	1.408871	0.999471	5.529831e-04	13.4455	15.8020	1.447969	0.062095	3.617848e-04	13.5974	1.447969	0.062095	3.617848e-04	13.5974	1.415619	0.030846	5.135067e-04	13.4737	1.415619	0.030846	5.135067e-04	13.4737	1.447969	0.062095	3.617848e-04	13.5974	1.447969	0.062095	3.617848e-04	13.5974	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	fe79915d-94b8-4938-99a5-778305158547	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.411 < 1.7	0.067533	0.056624	0.249459	0.055508439589877126	0.1245	12	18	4	15.5	0.130646	1.411251	0.999114	6.269432e-04	13.0152	15.3601	1.447969	0.062095	4.210451e-04	13.1876	1.447969	0.062095	4.210451e-04	13.1876	1.415619	0.030846	5.976191e-04	13.0373	1.415619	0.030846	5.976191e-04	13.0373	1.447969	0.062095	4.210451e-04	13.1876	1.447969	0.062095	4.210451e-04	13.1876	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	fe79915d-94b8-4938-99a5-778305158547	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.411 < 1.7	0.070531	0.056624	0.249459	0.055508439589877126	0.1245	12	18	4	15.5	0.130858	1.410679	0.999063	6.319194e-04	13.0076	15.3552	1.447969	0.062095	4.217287e-04	13.1832	1.447969	0.062095	4.217287e-04	13.1832	1.415619	0.030846	5.985893e-04	13.0326	1.415619	0.030846	5.985893e-04	13.0326	1.447969	0.062095	4.217287e-04	13.1832	1.447969	0.062095	4.217287e-04	13.1832	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	f5d32fee-f517-4c00-822c-282502ca843e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye			0.042097	0.033037	0.157036	0.055508439589877126	0.0785	0	35	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
