id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	07796d72-e857-4e85-9330-338ef7f80eda	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.034073	0.002541	0.026424	0.013	0.013	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	1.807040	0.019601	nan	nan	1.807040	0.019601	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
2	A2	07796d72-e857-4e85-9330-338ef7f80eda	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.036479	0.002541	0.026424	0.013	0.013	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	1.807040	0.019601	nan	nan	1.807040	0.019601	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
3	A3	4bceb001-5527-44e7-83f3-965cafb686ae	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.056120	0.002541	0.026424	0.013	0.013	5	25	4	23.5	0.007646	1.967754	0.999470	9.443302e-10	24.2841	24.2841	1.796308	0.071628	8.044245e-09	24.4061	1.800320	0.065073	7.633415e-09	24.4027	1.807040	0.019601	6.993517e-09	24.3970	1.807040	0.019601	6.993517e-09	24.3970	1.796308	0.071628	8.044245e-09	24.4061	1.800320	0.065073	7.633415e-09	24.4027	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No
4	A4	4bceb001-5527-44e7-83f3-965cafb686ae	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.054259	0.002541	0.026424	0.013	0.013	9	25	5	23.0	0.007200	1.705770	0.997620	3.335578e-08	24.1064	24.1064	1.796308	0.071628	1.015267e-08	24.0087	1.800320	0.065073	9.644912e-09	24.0049	1.807040	0.019601	8.852869e-09	23.9986	1.807040	0.019601	8.852869e-09	23.9986	1.796308	0.071628	1.015267e-08	24.0087	1.800320	0.065073	9.644912e-09	24.0049	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	a0dc17d4-0adb-4fc4-8608-683731c72a54	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.062537	0.002541	0.026424	0.013	0.013	11	25	4	22.5	0.007005	1.751085	0.999499	2.349698e-08	23.6036	23.6036	1.796308	0.071628	1.323893e-08	23.5556	1.800320	0.065073	1.259086e-08	23.5516	1.807040	0.019601	1.157844e-08	23.5450	1.807040	0.019601	1.157844e-08	23.5450	1.796308	0.071628	1.323893e-08	23.5556	1.800320	0.065073	1.259086e-08	23.5516	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	a0dc17d4-0adb-4fc4-8608-683731c72a54	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.063275	0.002541	0.026424	0.013	0.013	10	25	4	22.5	0.006603	1.783851	0.997563	1.459485e-08	23.6703	23.6703	1.796308	0.071628	1.247951e-08	23.6564	1.800320	0.065073	1.186861e-08	23.6521	1.807040	0.019601	1.091427e-08	23.6448	1.807040	0.019601	1.091427e-08	23.6448	1.796308	0.071628	1.247951e-08	23.6564	1.800320	0.065073	1.186861e-08	23.6521	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	96096572-6ed6-4c07-9a5b-2d10a91c31bd	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.062267	0.002541	0.026424	0.013	0.013	10	25	4	22.5	0.006934	1.825801	0.999805	9.084067e-09	23.5440	23.5440	1.796308	0.071628	1.310420e-08	23.5730	1.800320	0.065073	1.246272e-08	23.5690	1.807040	0.019601	1.146061e-08	23.5622	1.807040	0.019601	1.146061e-08	23.5622	1.796308	0.071628	1.310420e-08	23.5730	1.800320	0.065073	1.246272e-08	23.5690	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	96096572-6ed6-4c07-9a5b-2d10a91c31bd	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.058588	0.002541	0.026424	0.013	0.013	9	24	4	22.5	0.007681	1.775764	0.999824	1.880491e-08	23.4163	23.4163	1.796308	0.071628	1.451669e-08	23.3983	1.800320	0.065073	1.380607e-08	23.3949	1.807040	0.019601	1.269594e-08	23.3892	1.807040	0.019601	1.269594e-08	23.3892	1.796308	0.071628	1.451669e-08	23.3983	1.800320	0.065073	1.380607e-08	23.3949	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	a7e1e3a7-0a29-49d2-9cd5-7cd56381cc74	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.060750	0.002541	0.026424	0.013	0.013	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	1.807040	0.019601	nan	nan	1.807040	0.019601	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
10	A10	a7e1e3a7-0a29-49d2-9cd5-7cd56381cc74	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.061820	0.002541	0.026424	0.013	0.013	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	1.807040	0.019601	nan	nan	1.807040	0.019601	nan	nan	1.796308	0.071628	nan	nan	1.800320	0.065073	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
