id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	ab1a3cae-26a6-4c69-8b4d-51070f6a8e9e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye			0.022920	0.006180	0.058076	0.03177486839968334	0.029	0	35	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
2	A2	ab1a3cae-26a6-4c69-8b4d-51070f6a8e9e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye			0.022901	0.006180	0.058076	0.03177486839968334	0.029	0	35	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
3	A3	41d500d8-be83-48f5-b86d-25a27215abf1	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050813	0.002553	0.024774	0.03177486839968334	0.0125	9	23	5	21.0	0.007896	1.725202	0.999774	8.389703e-08	23.5532	21.8424	1.740208	0.104201	6.994585e-08	23.5133	1.764874	0.048517	5.204752e-08	23.4510	1.763480	0.028762	5.291803e-08	23.4544	1.763480	0.028762	5.291803e-08	23.4544	1.764874	0.048517	5.204752e-08	23.4510	1.764874	0.048517	5.204752e-08	23.4510	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	41d500d8-be83-48f5-b86d-25a27215abf1	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.657 < 1.7	0.055101	0.002553	0.024774	0.03177486839968334	0.0125	8	23	4	20.5	0.006525	1.657425	0.999151	2.071033e-07	23.6331	21.7866	1.740208	0.104201	7.625268e-08	23.3574	1.764874	0.048517	5.714121e-08	23.2866	1.763480	0.028762	5.807397e-08	23.2905	1.763480	0.028762	5.807397e-08	23.2905	1.764874	0.048517	5.714121e-08	23.2866	1.764874	0.048517	5.714121e-08	23.2866	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	5056ad57-00e3-4814-9ebb-ca2531aeeede	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050645	0.002553	0.024774	0.03177486839968334	0.0125	9	25	4	22.5	0.007113	1.735746	0.995847	2.908315e-08	25.2142	23.5223	1.740208	0.104201	2.745070e-08	25.2016	1.764874	0.048517	1.999967e-08	25.1346	1.763480	0.028762	2.035827e-08	25.1383	1.763480	0.028762	2.035827e-08	25.1383	1.764874	0.048517	1.999967e-08	25.1346	1.764874	0.048517	1.999967e-08	25.1346	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	5056ad57-00e3-4814-9ebb-ca2531aeeede	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.051658	0.002553	0.024774	0.03177486839968334	0.0125	7	25	4	22.5	0.006081	1.767511	0.999662	1.653082e-08	25.4032	23.7652	1.740208	0.104201	2.346480e-08	25.4848	1.764874	0.048517	1.709567e-08	25.4108	1.763480	0.028762	1.740221e-08	25.4149	1.763480	0.028762	1.740221e-08	25.4149	1.764874	0.048517	1.709567e-08	25.4108	1.764874	0.048517	1.709567e-08	25.4108	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	72a0989a-1883-4c16-a3af-eccb2c023e91	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.065071	0.002553	0.024774	0.03177486839968334	0.0125	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740208	0.104201	nan	nan	1.764874	0.048517	nan	nan	1.763480	0.028762	nan	nan	1.763480	0.028762	nan	nan	1.764874	0.048517	nan	nan	1.764874	0.048517	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
8	A8	72a0989a-1883-4c16-a3af-eccb2c023e91	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.060915	0.002553	0.024774	0.03177486839968334	0.0125	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.740208	0.104201	nan	nan	1.764874	0.048517	nan	nan	1.763480	0.028762	nan	nan	1.763480	0.028762	nan	nan	1.764874	0.048517	nan	nan	1.764874	0.048517	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
9	A9	ab1a3cae-26a6-4c69-8b4d-51070f6a8e9e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye	amplification in negative control;baseline error		0.022434	0.006180	0.058076	0.03177486839968334	0.029	4	5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
10	A10	ab1a3cae-26a6-4c69-8b4d-51070f6a8e9e	nac	cDNA	SYBR Green I@None	non-saturating DNA binding dye			0.025694	0.006180	0.058076	0.03177486839968334	0.029	0	35	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
