id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	d3f04d35-28f5-4a70-8e67-c6ebd845888b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.054347	0.002838	0.034514	0.017499999999999998	0.0175	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.865812	0.060411	nan	nan	1.867212	0.059598	nan	nan	1.874407	0.022200	nan	nan	1.874407	0.022200	nan	nan	1.872476	0.045597	nan	nan	1.874007	0.044010	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
2	A2	d3f04d35-28f5-4a70-8e67-c6ebd845888b	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.055027	0.002838	0.034514	0.017499999999999998	0.0175	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.865812	0.060411	nan	nan	1.867212	0.059598	nan	nan	1.874407	0.022200	nan	nan	1.874407	0.022200	nan	nan	1.872476	0.045597	nan	nan	1.874007	0.044010	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
3	A3	10058600-3c79-4a7e-b9ba-9a75d6806c95	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.609 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.265	0.100263	0.002838	0.034514	0.017499999999999998	0.0175	8	23	6	20.5	0.009643	1.608678	0.997712	5.644135e-07	21.7536	21.7536	1.865812	0.060411	2.700360e-08	21.4555	1.867212	0.059598	2.659177e-08	21.4544	1.874407	0.022200	2.457566e-08	21.4485	1.874407	0.022200	2.457566e-08	21.4485	1.872476	0.045597	2.510051e-08	21.4501	1.874007	0.044010	2.468354e-08	21.4489	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes
4	A4	10058600-3c79-4a7e-b9ba-9a75d6806c95	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.096844	0.002838	0.034514	0.017499999999999998	0.0175	6	23	4	21.5	0.012570	1.862323	0.999806	1.964136e-08	22.0321	22.0321	1.865812	0.060411	1.886647e-08	22.0305	1.867212	0.059598	1.856481e-08	22.0298	1.874407	0.022200	1.709142e-08	22.0266	1.874407	0.022200	1.709142e-08	22.0266	1.872476	0.045597	1.747444e-08	22.0274	1.874007	0.044010	1.717012e-08	22.0268	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	9e536194-4017-43fa-8948-4ed8e90b64ea	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau;Cq > 34;N0 unreliable;Cq too high	0.085558	0.002838	0.034514	0.017499999999999998	0.0175	7	35	3	34.0	0.005286	1.762265	0.997354	2.273453e-11	36.1129	36.1129	1.865812	0.060411	3.262831e-12	35.9195	1.867212	0.059598	3.180715e-12	35.9172	1.874407	0.022200	nan	35.9055	1.874407	0.022200	nan	35.9055	1.872476	0.045597	2.890375e-12	35.9086	1.874007	0.044010	2.811177e-12	35.9061	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
6	A6	9e536194-4017-43fa-8948-4ed8e90b64ea	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.083796	0.002838	0.034514	0.017499999999999998	0.0175	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.865812	0.060411	nan	nan	1.867212	0.059598	nan	nan	1.874407	0.022200	nan	nan	1.874407	0.022200	nan	nan	1.872476	0.045597	nan	nan	1.874007	0.044010	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
7	A7	2cf61cc8-4ab2-4c6e-b4d7-01f21d58bd1f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.085181	0.002838	0.034514	0.017499999999999998	0.0175	9	26	4	23.5	0.007522	1.869011	0.999917	3.114854e-09	24.8502	24.8502	1.865812	0.060411	3.242805e-09	24.8539	1.867212	0.059598	3.186175e-09	24.8522	1.874407	0.022200	2.910828e-09	24.8440	1.874407	0.022200	2.910828e-09	24.8440	1.872476	0.045597	2.982201e-09	24.8462	1.874007	0.044010	2.925481e-09	24.8444	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	2cf61cc8-4ab2-4c6e-b4d7-01f21d58bd1f	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.080707	0.002838	0.034514	0.017499999999999998	0.0175	7	26	4	24.5	0.012210	1.960847	0.999409	8.352923e-10	25.0346	25.0346	1.865812	0.060411	2.821271e-09	25.0771	1.867212	0.059598	2.769925e-09	25.0764	1.874407	0.022200	2.520836e-09	25.0729	1.874407	0.022200	2.520836e-09	25.0729	1.872476	0.045597	2.585310e-09	25.0739	1.874007	0.044010	2.534067e-09	25.0731	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	d2f2c7ae-db53-43eb-8204-cafa7a3c1ded	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.078898	0.002838	0.034514	0.017499999999999998	0.0175	7	25	4	23.5	0.012229	1.864786	0.999986	5.340829e-09	24.0751	24.0751	1.865812	0.060411	5.272229e-09	24.0746	1.867212	0.059598	5.180158e-09	24.0739	1.874407	0.022200	4.732493e-09	24.0704	1.874407	0.022200	4.732493e-09	24.0704	1.872476	0.045597	4.848533e-09	24.0714	1.874007	0.044010	4.756316e-09	24.0706	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	d2f2c7ae-db53-43eb-8204-cafa7a3c1ded	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.082282	0.002838	0.034514	0.017499999999999998	0.0175	9	25	4	23.5	0.011354	1.929910	0.998173	2.213338e-09	24.1580	24.1580	1.865812	0.060411	4.895197e-09	24.1936	1.867212	0.059598	4.809711e-09	24.1928	1.874407	0.022200	4.394060e-09	24.1885	1.874407	0.022200	4.394060e-09	24.1885	1.872476	0.045597	4.501801e-09	24.1896	1.874007	0.044010	4.416179e-09	24.1887	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
