id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	176b98d7-206a-4553-8616-d569b80471f9	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042171	0.002594	0.024434	0.012000000000000002	0.012	10	25	4	22.5	0.006137	1.740761	0.995808	2.351533e-08	23.7096	23.7096	1.754371	0.086622	1.973540e-08	23.6929	1.753497	0.092008	1.995807e-08	23.6939	1.766669	0.027502	1.686506e-08	23.6782	1.773805	0.028188	1.540267e-08	23.6699	1.759248	0.075303	1.854040e-08	23.6870	1.759222	0.079552	1.854675e-08	23.6870	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	176b98d7-206a-4553-8616-d569b80471f9	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.045902	0.002594	0.024434	0.012000000000000002	0.012	10	25	3	23.0	0.008106	1.853060	0.999951	5.589400e-09	23.6359	23.6359	1.754371	0.086622	1.968006e-08	23.6978	1.753497	0.092008	1.990707e-08	23.6985	1.766669	0.027502	1.675913e-08	23.6893	1.773805	0.028188	1.527511e-08	23.6844	1.759248	0.075303	1.846276e-08	23.6944	1.759222	0.079552	1.846923e-08	23.6944	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	1feebabe-98e8-4c31-88a5-92bae2ae45f8	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.048252	0.002594	0.024434	0.012000000000000002	0.012	7	24	4	22.5	0.008636	1.751556	0.997188	2.879277e-08	23.0869	23.0869	1.754371	0.086622	2.777075e-08	23.0852	1.753497	0.092008	2.808408e-08	23.0857	1.766669	0.027502	2.373173e-08	23.0780	1.773805	0.028188	2.167393e-08	23.0739	1.759248	0.075303	2.608919e-08	23.0823	1.759222	0.079552	2.609814e-08	23.0823	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	1feebabe-98e8-4c31-88a5-92bae2ae45f8	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.048746	0.002594	0.024434	0.012000000000000002	0.012	9	24	4	22.5	0.009478	1.749308	0.997924	3.252621e-08	22.9219	22.9219	1.754371	0.086622	3.047833e-08	22.9197	1.753497	0.092008	3.082221e-08	22.9201	1.766669	0.027502	2.604552e-08	22.9145	1.773805	0.028188	2.378709e-08	22.9116	1.759248	0.075303	2.863283e-08	22.9176	1.759222	0.079552	2.864265e-08	22.9176	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	b7c89002-41e8-4c42-a78a-30318467c3d4	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.042334	0.002594	0.024434	0.012000000000000002	0.012	7	29	3	27.0	0.008223	1.762047	0.999467	1.873123e-09	27.6672	27.6672	1.754371	0.086622	2.107462e-09	27.6724	1.753497	0.092008	2.136028e-09	27.6730	1.766669	0.027502	1.745219e-09	27.6641	1.773805	0.028188	1.565236e-09	27.6594	1.759248	0.075303	1.955273e-09	27.6691	1.759222	0.079552	1.956078e-09	27.6691	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
6	A6	b7c89002-41e8-4c42-a78a-30318467c3d4	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		no plateau	0.043164	0.002594	0.024434	0.012000000000000002	0.012	12	29	4	26.5	0.007195	1.754539	0.998938	2.436298e-09	27.4098	27.4098	1.754371	0.086622	2.442467e-09	27.4099	1.753497	0.092008	2.474956e-09	27.4107	1.766669	0.027502	2.029718e-09	27.3988	1.773805	0.028188	1.824068e-09	27.3924	1.759248	0.075303	2.269234e-09	27.4055	1.759222	0.079552	2.270150e-09	27.4055	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
7	A7	ed2ab7a5-0171-4564-a3c3-085a8ceb41ed	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.059551	0.002594	0.024434	0.012000000000000002	0.012	8	23	4	21.5	0.008731	1.830677	1.000000	1.971986e-08	22.0260	22.0260	1.754371	0.086622	4.925420e-08	22.0658	1.753497	0.092008	4.978510e-08	22.0663	1.766669	0.027502	4.238564e-08	22.0589	1.773805	0.028188	3.886671e-08	22.0549	1.759248	0.075303	4.640043e-08	22.0630	1.759222	0.079552	4.641563e-08	22.0630	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	ed2ab7a5-0171-4564-a3c3-085a8ceb41ed	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.057785	0.002594	0.024434	0.012000000000000002	0.012	6	23	4	21.5	0.008272	1.836811	0.999301	1.738757e-08	22.1118	22.1118	1.754371	0.086622	4.666746e-08	22.1618	1.753497	0.092008	4.717047e-08	22.1624	1.766669	0.027502	4.015962e-08	22.1537	1.773805	0.028188	3.682550e-08	22.1491	1.759248	0.075303	4.396356e-08	22.1585	1.759222	0.079552	4.397796e-08	22.1585	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	91accba6-9662-4b9d-9cfb-89b8400c2d64	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.054970	0.002594	0.024434	0.012000000000000002	0.012	9	25	4	23.5	0.007071	1.806882	0.999316	6.480594e-09	24.3941	24.3941	1.754371	0.086622	1.296018e-08	24.4410	1.753497	0.092008	1.311295e-08	24.4418	1.766669	0.027502	1.099814e-08	24.4294	1.773805	0.028188	1.000407e-08	24.4229	1.759248	0.075303	1.214167e-08	24.4364	1.759222	0.079552	1.214602e-08	24.4364	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	91accba6-9662-4b9d-9cfb-89b8400c2d64	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.057121	0.002594	0.024434	0.012000000000000002	0.012	10	25	4	23.5	0.007395	1.835112	0.999962	4.708018e-09	24.2975	24.2975	1.754371	0.086622	1.355356e-08	24.3613	1.753497	0.092008	1.371332e-08	24.3621	1.766669	0.027502	1.150168e-08	24.3508	1.773805	0.028188	1.046210e-08	24.3448	1.759248	0.075303	1.269758e-08	24.3571	1.759222	0.079552	1.270212e-08	24.3571	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
