id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	3e3d3c25-b210-4195-bb35-0286f111ecc3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.044383	0.003013	0.030269	0.014999999999999996	0.015	9	24	4	22.5	0.009963	1.807270	0.999234	1.642010e-08	23.1914	23.1914	1.749904	0.114384	3.392949e-08	23.2312	1.780070	0.057785	2.309719e-08	23.2095	1.773849	0.027044	2.499020e-08	23.2139	1.781368	0.019579	2.272162e-08	23.2086	1.780070	0.057785	2.309719e-08	23.2095	1.780070	0.057785	2.309719e-08	23.2095	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	3e3d3c25-b210-4195-bb35-0286f111ecc3	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.048592	0.003013	0.030269	0.014999999999999996	0.015	8	24	4	22.5	0.010800	1.813277	0.999923	1.651930e-08	23.0519	23.0519	1.749904	0.114384	3.678051e-08	23.0870	1.780070	0.057785	2.503800e-08	23.0696	1.773849	0.027044	2.709007e-08	23.0731	1.781368	0.019579	2.463087e-08	23.0689	1.780070	0.057785	2.503800e-08	23.0696	1.780070	0.057785	2.503800e-08	23.0696	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	3c450416-6225-427b-9cc7-16b73ce9d334	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.048707	0.003013	0.030269	0.014999999999999996	0.015	10	24	4	21.5	0.008366	1.719774	0.998573	7.242283e-08	22.5769	22.5769	1.749904	0.114384	4.985438e-08	22.5435	1.780070	0.057785	3.452298e-08	22.5126	1.773849	0.027044	3.722188e-08	22.5187	1.781368	0.019579	3.398637e-08	22.5113	1.780070	0.057785	3.452298e-08	22.5126	1.780070	0.057785	3.452298e-08	22.5126	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	No	Yes
4	A4	3c450416-6225-427b-9cc7-16b73ce9d334	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.053167	0.003013	0.030269	0.014999999999999996	0.015	8	23	4	21.5	0.009275	1.770889	0.999858	4.277420e-08	22.3413	22.3413	1.749904	0.114384	5.527009e-08	22.3592	1.780070	0.057785	3.827322e-08	22.3337	1.773849	0.027044	4.126531e-08	22.3388	1.781368	0.019579	3.767832e-08	22.3327	1.780070	0.057785	3.827322e-08	22.3337	1.780070	0.057785	3.827322e-08	22.3337	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	3767381d-a4b0-47c2-8ce9-d7ad5b3a9bf6	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.019459	0.003013	0.030269	0.014999999999999996	0.015	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.749904	0.114384	nan	nan	1.780070	0.057785	nan	nan	1.773849	0.027044	nan	nan	1.781368	0.019579	nan	nan	1.780070	0.057785	nan	nan	1.780070	0.057785	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
6	A6	3767381d-a4b0-47c2-8ce9-d7ad5b3a9bf6	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.020056	0.003013	0.030269	0.014999999999999996	0.015	11	28	0	nan	nan	nan	nan	nan	nan	nan	1.749904	0.114384	nan	nan	1.780070	0.057785	nan	nan	1.773849	0.027044	nan	nan	1.781368	0.019579	nan	nan	1.780070	0.057785	nan	nan	1.780070	0.057785	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
7	A7	3767381d-a4b0-47c2-8ce9-d7ad5b3a9bf6	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.020520	0.003013	0.030269	0.014999999999999996	0.015	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.749904	0.114384	nan	nan	1.780070	0.057785	nan	nan	1.773849	0.027044	nan	nan	1.781368	0.019579	nan	nan	1.780070	0.057785	nan	nan	1.780070	0.057785	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
8	A8	3767381d-a4b0-47c2-8ce9-d7ad5b3a9bf6	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.018548	0.003013	0.030269	0.014999999999999996	0.015	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.749904	0.114384	nan	nan	1.780070	0.057785	nan	nan	1.773849	0.027044	nan	nan	1.781368	0.019579	nan	nan	1.780070	0.057785	nan	nan	1.780070	0.057785	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
9	A9	3767381d-a4b0-47c2-8ce9-d7ad5b3a9bf6	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.016974	0.003013	0.030269	0.014999999999999996	0.015	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.749904	0.114384	nan	nan	1.780070	0.057785	nan	nan	1.773849	0.027044	nan	nan	1.781368	0.019579	nan	nan	1.780070	0.057785	nan	nan	1.780070	0.057785	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
10	A10	3767381d-a4b0-47c2-8ce9-d7ad5b3a9bf6	nac	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye	amplification in negative control;baseline error		0.018820	0.003013	0.030269	0.014999999999999996	0.015	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.749904	0.114384	nan	nan	1.780070	0.057785	nan	nan	1.773849	0.027044	nan	nan	1.781368	0.019579	nan	nan	1.780070	0.057785	nan	nan	1.780070	0.057785	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
