"","id","rtl","sex","age","year","bm","bs","bci","dens","densmin1","densmin2","densa","mort","juvex","brood","emi","eri","cci","tti","tli","shi","mii","mbi","mli","gli","lai","ali","oci","parrich","endr","ectr","totr","emp","erp","ccp","ttp","tlp","shp","mip","mbp","mlp","glp","lap","alp","ocp","cocp","help","licp","mitp","endp","ectp","totp","emer","hel","tlsh","mimb","glla","lic","emd","erd","ccd","ttd","gld","lad","ald","tld","shd","mid","mbd","ocd","MASL","WeightNE","Wing","Head","SternL","SternLCorL","TotalFat","LDBM","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","L.combination","BCI...4","gut.length","weight","ind.gut.length.body.weight","Diet.Simpson","Diet.Shannon","Diet.Richness","Diet.Centroid_Distance","BCI...12","TarsMT","PC1","BC.index","Standardized.BC.index","Clostridia.UCG.014.Relative.Abundance","Shuttleworthia.Relative.Abundance","Actinomyces.Relative.Abundance","Colidextribacter.Relative.Abundance","Shannon.Diversity.Index"
"1","06-012",0.574464268957295,"female","juvenile","2006",437,-2.21,-21.42,6.11,4.03,6.11,NA,1.29,0.87,6.53,291,0,0,0,9,9,0,0,0,7,1,0,3,6,543,2256.5,2799.5,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,291,0,18,0,8,8,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,180,437,184,51.58,81.82,103.31,13.1,101.78,NA,NA,NA,NA,NA,71.22349823,-3.088775635,NA,437,NA,0.708661126,1.361366983,6,0.477141226,-3.088775635,60,-2.42994,-3.088776,-0.110993,NA,NA,NA,NA,NA
"2","06-014",3.9980945663855,"female","juvenile","2006",448,-1.21,-26.84,6.11,4.03,6.11,NA,1.29,0.87,6.53,755,0,0,0,5,0,4,0,0,2,0,0,0,4,600,1085,1685,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,755,0,5,4,2,2,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,180,448,181,54.78,79.07,103.31,5.94,104.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,-0.37564,-31.900665,-1.354567,NA,NA,NA,NA,NA
"3","06-016",0.343111997821641,"male","juvenile","2006",392,-2.14,-67.59,6.11,4.03,6.11,NA,1.29,0.87,6.53,850,0,1,0,8,0,1,2,0,9,0,0,1,7,1071.5,2379.5,3451,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,850,1,8,3,9,9,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,180,392,182,50.04,82.99,106.06,5.16,84.11,NA,NA,NA,NA,NA,0,-38.1862793,NA,392,NA,0.50074278,0.817160371,3,0.566619427,-38.1862793,61,-2.94091,-38.186279,-1.625865,NA,NA,NA,NA,NA
"4","06-017",2.52531312083725,"female","juvenile","2006",422,-1.35,-50.6,6.11,4.03,6.11,NA,1.29,0.87,6.53,294,2,0,0,5,0,1,0,0,3,0,0,2,6,1093.5,1632.5,2726,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,296,0,5,1,3,3,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,180,422,176,51.69,83.46,104.73,4.92,96.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,-2.31668,-20.283691,-0.853157,NA,NA,NA,NA,NA
"5","06-018",1.70141214030965,"male","juvenile","2006",434,-0.4,-54.14,6.11,4.03,6.11,NA,1.29,0.87,6.53,714,0,2,0,2,2,1,0,0,12,0,0,0,6,1098.5,1624,2722.5,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,714,2,4,1,12,12,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,180,434,184,53.86,84.25,107.02,7.66,93.37,NA,NA,NA,NA,NA,4.938846826,-28.52606201,NA,434,NA,0.5683258,1.085314491,5,0.584176977,-28.52606201,61,-1.27217,-28.526062,-1.208913,NA,NA,NA,NA,NA
"6","06-022",2.35306908573904,"female","juvenile","2006",451,-1.09,-25.87,6.11,4.03,6.11,NA,1.29,0.87,6.53,72,1284,0,0,12,11,79,0,0,1,1,0,0,7,1027,2115.5,3142.5,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1356,0,23,79,2,2,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,240,451,185,52.67,83.79,105.59,4.93,102.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,-1.36591,-9.709534,-0.396757,NA,NA,NA,NA,NA
"7","06-034",1.36759453187435,"male","juvenile","2006",520,1.17,6.02,6.11,4.03,6.11,NA,1.29,0.87,6.53,54,0,0,0,7,3,0,0,0,8,1,0,0,5,375,1613,1988,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,54,0,10,0,9,9,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,141,520,203,53.87,85.58,109.97,7.58,119.88,NA,NA,NA,NA,NA,22.71155176,6.925048828,NA,520,NA,0.72596307,1.427108078,5,0.373742883,6.925048828,64,1.33616,6.925049,0.321222,NA,NA,NA,NA,NA
"8","06-036",7.51883696537075,"male","juvenile","2006",511,3.66,-43.85,6.11,4.03,6.11,NA,1.29,0.87,6.53,214,898,0,0,2,0,0,0,0,2,0,0,1,5,1142.5,870,2012.5,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1112,0,2,0,2,2,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,188,511,194,57.29,90.11,113.53,7.22,119.48,NA,NA,NA,NA,NA,4.092504899,-16.70941162,NA,511,NA,0.669719837,1.268685138,6,0.567763817,-16.70941162,65,2.0913,-16.709412,-0.698885,NA,NA,NA,NA,NA
"9","06-037",6.99349064025012,"female","juvenile","2006",440,-2.01,-21.85,6.11,4.03,6.11,NA,1.29,0.87,6.53,304,0,0,0,14,126,0,0,0,4,1,0,0,5,550,1755.5,2305.5,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,304,0,140,0,5,5,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,188,440,191,52.09,80.58,106,9.69,113.76,NA,NA,NA,NA,NA,1.281572726,-21.95782471,NA,440,NA,0.620642492,1.233376345,6,0.659869925,-21.95782471,61,-1.30149,-21.957825,-0.925416,NA,NA,NA,NA,NA
"10","06-039",18.1149105601227,"female","juvenile","2006",503,0.91,-6.72,6.11,4.03,6.11,NA,1.29,0.87,6.53,124,0,0,0,7,0,0,0,0,6,3,0,0,4,461,1219.5,1680.5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,124,0,7,0,9,9,0.573,0.902,0.861,0.956,0.548,0.649,0.922,0.511,0.824,0.823,0.822,0.642,355,503,193,53.53,84.14,109.02,5.44,126.85,NA,NA,NA,NA,NA,59.2498655,10.66687012,NA,503,NA,0.674983769,1.217355021,4,0.474198889,10.66687012,64,0.26588,10.66687,0.482726,NA,NA,NA,NA,NA
