bird_ID,Year,L combination,BCI,gut length,weight,ind gut length/body weight,Diet Simpson,Diet Shannon,Diet Richness,Diet Centroid_Distance,BCI
LM-06-003,2006,2.172627845,-31.80715942,,460,,0.110318026,0.257204895,4,0.864282959,-31.80715942
LM-06-006,2006,41.51740108,74.24789429,,524,,0.696277634,1.284920749,7,0.251611225,74.24789429
LM-06-009,2006,0.026539278,49.90411377,,566,,0.469950783,0.793578039,5,0.534401016,49.90411377
LM-06-011,2006,31.02050548,-26.79589844,,416,,0.627218323,1.209901631,7,0.290620846,-26.79589844
LM-06-012,2006,71.22349823,-3.088775635,,437,,0.708661126,1.361366983,6,0.477141226,-3.088775635
LM-06-015,2006,92.27163309,2.21673584,,529,,0.249188945,0.509074602,4,0.584966369,2.21673584
LM-06-016,2006,0,-38.1862793,,392,,0.50074278,0.817160371,3,0.566619427,-38.1862793
LM-06-018,2006,4.938846826,-28.52606201,,434,,0.5683258,1.085314491,5,0.584176977,-28.52606201
LM-06-021,2006,75.07055503,-18.39297485,,468,,0.48557222,0.94641386,5,0.513080587,-18.39297485
LM-06-027,2006,31.87898375,15.2779541,,553,,0.651896022,1.208928346,6,0.343195952,15.2779541
LM-06-029,2006,53.00364078,-36.80834961,,513,,0.610877225,1.039098318,4,0.409497081,-36.80834961
LM-06-033,2006,12.32594121,-4.04498291,,520,,0.219840781,0.423787735,3,0.796369459,-4.04498291
LM-06-034,2006,22.71155176,6.925048828,,520,,0.72596307,1.427108078,5,0.373742883,6.925048828
LM-06-036,2006,4.092504899,-16.70941162,,511,,0.669719837,1.268685138,6,0.567763817,-16.70941162
LM-06-037,2006,1.281572726,-21.95782471,,440,,0.620642492,1.233376345,6,0.659869925,-21.95782471
LM-06-038,2006,3.088644334,5.624481201,,476,,0.75717828,1.535340822,6,0.449060458,5.624481201
LM-06-039,2006,59.2498655,10.66687012,,503,,0.674983769,1.217355021,4,0.474198889,10.66687012
LM-06-040,2006,41.499612,11.23944092,,505,,0.582006297,0.993804382,5,0.312094467,11.23944092
LM-06-041,2006,0.783251592,-48.0776062,,461,,0.467313618,0.687179221,4,0.527836966,-48.0776062
LM-06-042,2006,0.008991593,13.80239868,,497,,0.594461167,1.091380551,5,0.455974027,13.80239868
LM-06-046,2006,0.703055094,-13.96707153,,434,,0.648026125,1.069027731,3,0.637117202,-13.96707153
LM-06-048,2006,44.57955217,-39.87237549,,455,,0.654620887,1.230715664,8,0.422482941,-39.87237549
