"","Clostridia UCG-014 Relative Abundance","Shuttleworthia Relative Abundance","Actinomyces Relative Abundance","Colidextribacter Relative Abundance","Weight","Ceca:Weight","Shannon Diversity Index","Bird ID"
"0104-1118",0.393462564746508,0.092214722963428,0.0670616857636164,0.0798540260555643,539.5,8.16,3.37814572380305,"LM-09-046"
"0105-1119",0.0740369878410136,0.123796873403494,0.0898947583529171,0.213732502298968,491.26,8.14,3.31998942377674,"LM-09-090"
"0106-1080",0.301455301455301,0.0889434889434889,0.11956151956152,0.11007371007371,519.98,9.04,3.05897420424408,"LM-09-002"
"0262-1124",0.025122904811675,0.15228583594627,0.0623620949947741,0.258313010490458,508.52,7.28,2.88513779497379,"LM-10-099"
"0263-1085",0.655267266374247,0.0280276559363616,0.0719649096721433,0.0374693331350829,475.94,8.19,2.89289463007012,"LM-10-091"
"0264-1126",0.241336473511219,0.0847848029193302,0.0314449131706307,0.302388778177489,514.37,8.36,2.96878988382075,"LM-10-272"
"0370-1081",0.739424422090467,0.0107920858037439,0.137365931650123,0.0136233428818866,510.49,10.19,1.81031637829587,"LM-11-138"
"0372-1103",0.405154255978194,0.00582331805228596,0.336017841655309,0.0190806591500434,552.18,7.06,2.30449099581485,"LM-11-135"
"0508-1082",0.710763172698294,0.00421901368835552,0.217201075067192,0.0126570410650666,544.1,7.9,2.47783546528185,"LM-12-028"
"0614-1067",0.217514876987299,0.139532818189893,0.1445954347633,0.141620037303491,548.45,7.66,2.91618869488609,"LM-13-075"
"0615-1068",0.145691485467457,0.00529565365936989,0.544720208897674,0.0264782682968495,535.75,8.21,2.08740295184746,"LM-13-055"
"0616-1069",0.191998671978752,0.0812749003984064,0.0428618857901726,0.237217795484728,511.12,8.61,3.32053339880634,"LM-13-115"
"0745-1130",0.145606420440586,0.110637949389894,0.124477929735484,0.246621898288428,414.45,9.77,3.00478145613173,"LM-15-248"
"0746-1131",0.512914469568326,0.00464742157476093,0.274510680132273,0.0861113593708106,440.27,8.29,2.36283851392601,"LM-15-244"
"0749-1132",0.150532506755683,0.0399380066762041,0.257868383404864,0.104434907010014,472.83,9.41,2.85099053623776,"LM-15-251"
"0751-1133",0.0537493242721446,0.168236929492625,0.063595644451309,0.264113058923469,516.12,6.88,3.04680179797658,"LM-15-009"
"0917-1114",0.16895595934709,0.136556821681552,0.0419156144133046,0.214690483523252,523,7.93,3.17306303675257,"LM-17-209"
"0918-1135",0.413671893066926,0.0483326395633874,0.217843763008186,0.0490264095092734,501,6.59,2.91629683786019,"LM-17-212"
"0920-1136",0.167542650353266,0.124633810098225,0.0294675168016543,0.228890229191797,481.02,9.56,3.23422671881807,"LM-17-066"
"0921-1117",0.672598767669445,0.00743022834360275,0.190721275824574,0.0142805364262414,496.07,8.16,2.75803900630163,"LM-17-067"
"0945-1057",0.572957390514552,0.00912214192631205,0.185286103542234,0.0249970382656083,447.25,7.71,2.93268346083514,"LM-17-087"
"1000",0.310874920171517,0.0888605054283368,0.243408448134294,0.132834595383633,556.16,7.91,3.04311064491179,"LM-18-019"
"1001",0.304931351879467,0.107882963953309,0.0733275055278449,0.0847945698565331,500,9.4,3.23073368855645,"LM-18-062"
"1002",0.44501736293802,0.0451085622084254,0.0700480550001754,0.0954435441439545,507.84,8.66,2.95157405897545,"LM-18-021"
"1003",0.73765631737818,0.0041235446313066,0.155697498921949,0.014365028029323,476.94,9.12,2.62471054740048,"LM-18-013"
"100",0.143774960930717,0.117555131099149,0.0652891126931759,0.156913816056028,543.8,8.28,3.37085507252653,"LM-09-099"
"1010",0.498686284813452,0.0593142406726222,0.0229243300052549,0.076326852338413,503.3,9.84,3.6169369800427,"LM-18-026"
"101",0.380588532457691,0.00555695882798687,0.15868906289467,0.00435716089921697,512.47,9.17,2.69111203076501,"LM-09-175"
"102",0.57954109431356,0.019568720742844,0.169749059934004,0.0118179725270509,560.38,8.39,2.91336318453539,"LM-09-174"
"103",0.548953607493048,0.0287575003658715,0.163617737450607,0.00739060441972779,561.39,8.37,2.83148595468174,"LM-09-055"
"107",0.217005577759234,0.0860380341692652,0.0324564100311827,0.168430761122579,490.28,8.57,3.28534289895094,"LM-09-140"
"109",0.454856983005805,0.00580460172040003,0.352682005734667,0.0224491223162459,504.45,8.52,2.41355457360677,"LM-09-117"
"10",0.145103578154426,0.116854990583804,0.0413370998116761,0.119679849340866,522.8,6.89,3.36773202741518,"LM-08-055"
"110",0.0337935174069628,0.109423769507803,0.0480792316926771,0.345918367346939,486.23,7.82,3.06476670489651,"LM-09-032"
"111",0.586572282799859,0.00659514597256419,0.0884628913119944,0.00809004572634541,529.75,9.44,2.67694518942435,"LM-09-118"
"112",0.687256564175411,0.00119140356504605,0.184805022224259,0.00146634284928745,532.69,8.26,2.31918573208202,"LM-09-173"
"113",0.295968325599217,0.110902975861041,0.0739495082804717,0.215888288134872,516.82,7.93,3.26515413073137,"LM-09-044"
"116",0.259032095446144,0.0916652663417913,0.121744244664762,0.0942698706099815,495.09,9.29,3.23404434744415,"LM-09-172"
"117",0.0569694388244063,0.142583324459589,0.0462677031200085,0.35219891385369,512.6,8.78,2.85540497032373,"LM-09-058"
"118",0.281889763779528,0.152657480314961,0.0630905511811024,0.165354330708661,460.14,9.78,3.13387040881902,"LM-09-047"
"119",0.167913063799953,0.132157046038794,0.0658448235569058,0.142147698060294,552.38,7.97,3.33627122967603,"LM-09-056"
"120",0.257337588149549,0.0994366308159004,0.0806051294173266,0.125832249931056,532.19,8.08,3.22864389742137,"LM-09-069"
"123",0.316983726793491,0.0598212239284896,0.167698067079227,0.0692948277179311,504,8.33,3.00464949895449,"LM-10-291"
"124",0.380250253635441,0.0311802502536354,0.149881636794048,0.0604666892120392,496,7.66,3.21243362148238,"LM-10-218"
