id,sex,age,year,bm,bs,bci,dens,densmin1,densmin2,densa,densj,mort,juvex,brood,emi,eri,cci,tti,tli,shi,mii,mbi,mli,gli,lai,ali,oci,parrich,endr,ectr,totr,emp,erp,ccp,ttp,tlp,shp,mip,mbp,mlp,glp,lap,alp,ocp,cocp,help,licp,mitp,endp,ectp,totp,emer,hel,tlsh,mimb,glla,lic,emd,erd,ccd,ttd,gld,lad,ald,tld,shd,mid,mbd,ocd
LM-06-005,m,a,2006,493,1.36,-24.13,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,5,2,0,4,0,0,0,0,0,1,0,0,0,4,1360.5,201.5,1562,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,7,4,0,0,1,1,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-008,m,a,2006,474,-0.74,-8.53,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,22,0,0,4,1,0,0,0,1,0,0,0,0,4,915.5,716,1631.5,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,22,4,1,0,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-019,f,a,2006,441,-1.64,-26.87,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,6,0,5,0,18,0,4,0,0,13,0,0,0,5,743.5,1558.5,2302,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,6,5,18,4,13,13,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-027,m,a,2006,553,3.33,3.6,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,534,0,0,8,5,1,0,1,0,0,0,0,0,5,1212.5,1230,2442.5,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,534,8,6,1,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-031,m,a,2006,546,2.06,17.46,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,20,0,0,0,0,0,0,0,0,0,0,0,0,1,284.5,0,284.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,20,0,0,0,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-032,f,a,2006,464,-0.01,-30.65,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,22,0,0,2,6,0,0,0,0,0,0,0,0,3,910,299.5,1209.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,22,2,6,0,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-033,m,a,2006,520,2.61,-17.61,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,2,0,0,0,2,0,0,0,0,0,0,0,0,2,154.5,158.5,313,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,2,0,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-038,f,a,2006,476,-2.01,14.29,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,88,28,0,0,1,0,0,0,0,0,2,0,4,5,1008,1162.5,2170.5,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,116,0,1,0,2,2,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-055,m,a,2006,499,0.82,-9.18,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,126,0,0,0,1,2,0,0,0,3,0,0,0,4,462,849.5,1311.5,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,126,0,3,0,3,3,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-067,f,a,2006,501,0.03,5.79,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,10,0,0,2,7,77,0,1,0,5,2,0,0,7,853,2302,3155,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,10,2,84,1,7,7,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-070,f,a,2006,458,-0.94,-21.35,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,84,0,4,0,15,0,0,0,0,7,0,0,3,5,956.5,1476.5,2433,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,84,4,15,0,7,7,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-080,f,a,2006,495,-0.21,3.67,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,44,0,74,0,6,0,0,0,1,3,4,4,0,7,981,2321,3302,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,44,74,6,0,7,11,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-089,f,a,2006,526,1.33,9.4,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,2,2,0,0,4,0,1,0,0,0,0,0,0,4,703,745.5,1448.5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,4,0,4,1,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-097,m,a,2006,552,2.11,22.57,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,108,0,0,0,1,1,0,0,0,0,0,0,2,4,449.5,1059.5,1509,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,108,0,2,0,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-098,f,a,2006,511,1.17,-2.97,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,88,0,0,2,86,0,6,0,0,0,0,0,0,4,1042,1183,2225,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,88,2,86,6,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-101,f,a,2006,492,-0.27,1.6,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,0,0,22,0,10,62,0,0,0,0,1,0,2,5,592.5,1886.5,2479,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,22,72,0,1,1,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
LM-06-109,m,a,2006,512,0.64,6.7,6.11,8.12,4.28,2.66,,1.29,0.87,6.53,142,0,1,2,32,56,0,0,0,0,0,0,0,5,1558.5,1138,2696.5,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,142,3,88,0,0,0,0.871,0.934,0.883,0.75,0.712,0.821,0.938,0.679,0.87,0.903,0.875,0.783
