BirdID,Latitude,Longitude,MASL,CollYear,CollMonth,CollDay,DatePrec,CollHour,CollMinute,Sex,Age,WeightNE,Wing,Head,SternL,SternLCorL,TotalFat,LDBM
LM-06-011,66.02227,-17.30472,180,2006,10,3,e,8,50,F,J,416,186,50.75,82.82,107.03,5.01,99.12
LM-06-012,66.02227,-17.30472,180,2006,10,3,e,8,50,F,J,437,184,51.58,81.82,103.31,13.10,101.78
LM-06-014,66.02227,-17.30472,180,2006,10,3,e,8,50,F,J,448,181,54.78,79.07,103.31,5.94,104.34
LM-06-015,66.02227,-17.30472,180,2006,10,3,e,8,50,M,J,529,201,54.06,85.88,110.90,13.94,122.33
LM-06-016,66.02227,-17.30472,180,2006,10,3,e,8,50,M,J,392,182,50.04,82.99,106.06,5.16,84.11
LM-06-017,66.02227,-17.30472,180,2006,10,3,e,8,50,F,J,422,176,51.69,83.46,104.73,4.92,96.34
LM-06-018,66.02129,-17.30248,180,2006,10,3,e,9,58,M,J,434,184,53.86,84.25,107.02,7.66,93.37
LM-06-019,66.02129,-17.30248,180,2006,10,3,e,9,58,F,A,441,185,50.55,82.84,104.09,8.46,105.50
LM-06-021,66.02129,-17.30248,180,2006,10,3,e,9,58,F,J,468,189,55.12,88.55,111.77,8.91,108.54
LM-06-022,66.01401,-17.29996,240,2006,10,3,e,11,4,F,J,451,185,52.67,83.79,105.59,4.93,102.13
LM-06-027,65.58129,-16.76038,360,2006,10,4,e,10,33,M,A,553,205,55.96,88.66,112.44,13.56,135.74
LM-06-029,66.05466,-17.31021,209,2006,10,3,e,16,30,M,J,513,202,55.47,86.68,110.56,6.65,106.63
LM-06-030,66.05466,-17.31021,209,2006,10,3,e,16,30,M,J,553,204,54.52,90.14,116.20,8.39,129.45
LM-06-031,66.06128,-17.33980,88,2006,10,3,e,9,40,M,A,546,206,53.88,88.96,112.80,7.55,126.71
LM-06-032,66.05834,-17.33066,141,2006,10,3,e,10,10,F,A,464,187,52.55,85.87,110.66,7.16,111.23
LM-06-033,66.05834,-17.33066,141,2006,10,3,e,10,10,M,A,520,203,55.33,88.98,112.22,5.71,127.98
LM-06-034,66.05834,-17.33066,141,2006,10,3,e,10,15,M,J,520,203,53.87,85.58,109.97,7.58,119.88
LM-06-035,66.05527,-17.31420,178,2006,10,3,e,10,50,F,J,459,192,51.90,81.38,104.02,10.31,110.82
LM-06-036,66.05665,-17.30951,188,2006,10,3,e,11,10,M,J,511,194,57.29,90.11,113.53,7.22,119.48
LM-06-037,66.05665,-17.30951,188,2006,10,3,e,11,10,F,J,440,191,52.09,80.58,106.00,9.69,113.76
LM-06-038,66.05665,-17.30951,188,2006,10,3,e,11,10,F,A,476,190,52.04,81.39,105.59,6.93,113.33
LM-06-039,66.04967,-17.30680,355,2006,10,3,e,11,55,F,J,503,193,53.53,84.14,109.02,5.44,126.85
LM-06-040,66.05594,-17.31236,169,2006,10,3,e,12,10,M,J,505,196,53.70,85.06,108.00,9.95,121.71
LM-09-084,65.80379,-16.99010,394,2009,10,2,e,17,22,M,J,534,203,55.17,84.18,109.30,5.81,122.98
LM-09-085,65.58876,-16.76758,377,2009,10,3,e,11,45,F,J,475,191,52.88,82.01,108.83,6.84,104.39
LM-09-087,65.77107,-17.20605,327,2009,10,3,e,17,30,F,J,480,192,51.66,80.96,105.76,5.47,113.00
LM-06-001,66.05210,-17.29026,246,2006,10,3,e,8,20,M,J,508,198,50.94,87.92,111.70,1.46,128.39
LM-06-002,66.05210,-17.29026,246,2006,10,3,e,8,30,M,J,523,192,55.17,88.51,111.78,9.40,128.13
LM-06-003,66.05210,-17.29026,246,2006,10,3,e,8,40,M,J,460,193,53.46,88.03,113.80,6.38,102.29
LM-06-005,66.06048,-17.33663,105,2006,10,3,e,9,10,M,A,493,206,54.29,88.55,113.34,5.26,120.45
LM-06-006,66.06128,-17.33980,88,2006,10,3,e,9,20,F,J,524,196,52.08,82.08,106.00,11.38,121.85
LM-06-007,66.06128,-17.33980,88,2006,10,3,e,9,20,F,J,458,190,51.07,82.72,108.04,7.08,112.82
LM-06-008,66.06128,-17.33980,88,2006,10,3,e,9,20,M,A,474,203,52.00,85.13,108.54,1.28,122.48
LM-06-009,66.06128,-17.33980,88,2006,10,3,e,9,20,M,J,566,204,54.03,89.88,113.56,3.66,140.74
LM-06-010,66.06128,-17.33980,88,2006,10,3,e,9,20,F,J,411,182,51.59,79.30,101.07,5.50,94.52
LM-12-066,65.78994,-16.95803,420,2012,10,4,e,,,F,J,494,185,51.15,82.50,107.03,8.10,112.76
LM-12-067,65.78405,-16.96860,406,2012,10,4,e,16,40,M,A,602,204,56.09,91.67,115.73,14.81,152.00
LM-12-068,65.78518,-16.97643,420,2012,10,4,e,16,33,M,A,562,202,54.33,88.49,112.48,12.18,140.62
LM-12-069,65.78560,-16.99563,416,2012,10,5,e,8,30,F,A,454,185,52.25,81.84,106.22,7.09,115.53
LM-12-070,65.88018,-17.01750,356,2012,10,5,e,9,56,F,J,462,183,50.45,79.47,104.34,8.11,107.50
LM-12-071,65.67221,-16.57054,367,2012,10,1,e,13,23,M,A,531,203,54.93,90.85,116.79,6.19,133.55
LM-12-072,65.67221,-16.57054,367,2012,10,1,e,13,23,M,A,571,204,56.00,88.59,114.84,9.20,139.40
LM-12-075,65.70825,-16.77544,516,2012,10,2,e,10,56,M,A,572,211,56.79,89.63,117.17,10.36,134.98
LM-12-079,65.70333,-16.77811,497,2012,10,2,e,13,14,F,J,516,195,52.72,83.85,108.27,14.95,125.68
LM-12-082,65.70463,-16.78256,493,2012,10,2,e,13,40,M,J,497,195,53.66,86.25,109.98,13.58,127.25
LM-12-083,65.70668,-16.78475,493,2012,10,2,e,14,31,F,J,459,187,52.30,83.72,107.45,6.60,109.85
LM-12-086,65.70671,-16.78475,493,2012,10,2,e,14,31,M,J,520,203,56.03,89.32,115.20,5.89,123.31
LM-12-087,65.79868,-16.87843,465,2012,10,4,e,14,0,F,J,516,193,52.66,84.79,110.57,7.17,127.01
LM-12-088,65.79868,-16.87844,465,2012,10,4,e,14,0,F,J,481,192,53.01,84.38,109.10,10.00,117.52
LM-12-089,65.87740,-17.02575,343,2012,10,5,e,9,55,M,A,486,200,52.24,82.24,107.56,7.80,121.24
LM-12-090,65.87858,-17.03038,343,2012,10,5,e,10,17,M,A,545,203,53.59,89.87,114.76,9.06,132.18
LM-12-091,65.87858,-17.03039,343,2012,10,5,e,10,17,F,J,463,189,53.35,79.83,103.86,7.95,116.02
LM-12-092,65.98793,-17.04211,397,2012,10,5,e,15,14,F,A,455,186,51.29,82.29,106.49,8.50,117.16
LM-14-223,65.97273,-16.97884,254,2014,10,5,e,11,30,M,A,552,209,55.16,92.88,117.33,5.62,129.86
LM-14-225,65.99258,-16.77136,161,2014,10,5,e,15,41,M,A,457,195,54.18,81.25,105.91,3.22,112.12
LM-14-226,66.01343,-16.76289,131,2014,10,5,e,17,10,F,A,460,184,52.14,83.78,107.26,5.31,120.39
LM-14-230,65.92889,-16.79889,631,2014,10,4,e,10,20,F,J,475,192,51.80,83.44,106.07,3.72,111.72
LM-14-236,65.82306,-16.96306,630,2014,10,4,e,13,50,F,J,505,194,54.07,83.11,109.60,4.77,119.89
LM-14-240,66.00190,-17.26938,464,2014,10,5,e,9,10,M,J,467,193,55.22,89.20,114.21,1.44,104.18
LM-14-242,65.94976,-16.98762,291,2014,10,5,e,13,5,M,J,496,195,52.11,84.49,108.89,5.99,116.92
LM-14-243,65.94976,-16.98762,291,2014,10,5,e,13,5,M,J,519,199,53.50,87.27,112.92,6.24,123.84
LM-15-001,65.98456,-17.04462,360,2015,9,30,e,11,2,M,A,541,204,54.64,90.70,116.56,1.63,127.58
LM-15-003,65.95686,-16.98884,262,2015,9,30,e,16,44,F,A,466,186,52.18,78.67,102.00,5.57,109.65
LM-15-006,66.05080,-17.30909,343,2015,10,1,e,9,49,M,J,490,195,54.06,88.84,113.66,3.23,118.09
LM-15-009,66.01983,-17.33619,131,2015,10,1,e,14,41,M,A,516,208,55.64,90.60,114.93,2.21,128.86
LM-16-363,65.87016,-16.70340,415,2016,10,3,e,10,50,F,A,490,184,53.03,81.87,105.85,4.65,118.52
LM-16-366,65.87018,-16.70342,247,2016,10,3,e,17,51,F,A,468,194,51.26,80.89,106.54,3.44,110.55
LM-16-372,65.79570,-16.73616,491,2016,10,3,e,10,55,M,J,511,198,53.48,87.26,112.36,5.05,123.64
LM-16-373,66.04711,-16.96052,114,2016,10,3,e,16,10,M,A,514,203,53.46,85.70,110.56,7.69,127.30
LM-16-374,65.92316,-16.96824,296,2016,10,4,e,8,45,M,J,511,198,54.02,87.93,113.76,5.73,121.84
LM-16-375,65.96193,-16.93331,268,2016,10,4,e,12,50,M,J,540,195,51.46,89.76,109.89,5.82,122.75
LM-17-001,65.96687,16.97930,278,2017,9,30,e,10,32,F,A,444,190,52.13,82.97,105.49,5.16,109.66
LM-17-003,65.96961,16.98027,272,2017,9,30,e,10,55,F,A,462,190,50.25,83.31,107.30,6.23,115.58
LM-17-016,65.73566,16.69620,670,2017,10,1,e,16,54,M,J,492,196,53.79,89.08,113.63,2.54,121.59
LM-17-018,65.79904,16.73824,495,2017,10,2,e,0,24,M,J,560,205,55.74,89.92,115.45,4.76,129.98
LM-06-041,66.05594,-17.31236,169,2006,10,3,e,12,10,M,J,461,196,53.62,85.67,108.27,8.16,102.03
LM-06-042,66.06019,-17.33536,101,2006,10,3,e,12,40,M,J,497,189,51.87,86.67,110.04,6.78,113.19
LM-06-044,66.05210,-17.29026,246,2006,10,2,e,18,30,M,J,508,198,53.50,89.04,109.97,6.98,111.63
LM-06-046,66.05561,-17.31061,203,2006,10,3,e,16,50,M,J,434,187,50.49,81.45,105.70,7.55,104.37
LM-06-047,66.05561,-17.31061,203,2006,10,3,e,16,50,F,J,470,193,53.42,85.48,109.25,4.38,105.91
LM-06-048,66.05941,-17.33215,138,2006,10,3,e,18,50,F,J,455,192,54.11,83.58,108.67,3.73,104.89
LM-06-049,66.05556,-17.31040,205,2006,10,3,e,19,15,M,J,448,191,52.84,84.95,107.87,8.05,108.01
LM-06-051,65.74896,-16.95101,453,2006,10,4,e,9,15,M,J,510,196,54.31,87.24,112.78,6.51,126.00
LM-06-055,65.75273,-16.94172,424,2006,10,4,e,10,25,M,A,499,203,53.23,85.02,110.85,2.19,130.49
LM-06-059,65.75273,-16.94172,424,2006,10,4,e,,,F,J,492,196,53.16,86.56,110.40,5.37,128.96
LM-06-067,65.57967,-16.74889,371,2006,10,4,e,12,20,F,A,501,186,53.46,84.54,108.74,18.36,119.63
LM-06-070,65.57967,-16.74889,371,2006,10,4,e,12,20,F,A,458,192,51.28,84.06,107.11,11.35,108.40
LM-06-071,66.01329,-17.13598,706,2006,10,2,e,,,F,J,444,187,51.62,84.02,106.60,8.35,112.78
LM-06-072,66.01329,-17.13598,706,2006,10,2,e,,,M,J,466,195,52.99,85.11,109.41,4.45,115.16
LM-06-073,66.01329,-17.13598,706,2006,10,2,e,,,F,J,463,188,53.81,82.23,105.93,12.14,106.02
