id,Sex,Age,Latitude,Longitude,CoordPrec,CollYear,CollMonth,CollDay,WeightNE,Wing,Head,TarsMT,PC1,BC-index,Standardized BC-index,avg,,,,,,,,,,,,,
LM-06-019,F,A,66.02129,-17.30248,e,2006,10,3,441,185,50.55,61,-2.46164,1.525574,0.088171,,,,,,,,,,,,,,
LM-06-032,F,A,66.05834,-17.33066,e,2006,10,3,464,187,52.55,,-0.89007,-5.931030,-0.233670,,,,,,,,,,,,,,
LM-06-038,F,A,66.05665,-17.30951,e,2006,10,3,476,190,52.04,63,-0.86714,5.624481,0.265087,,,,,,,,,,,,,,
LM-06-067,F,A,65.57967,-16.74889,e,2006,10,4,501,186,53.46,63,-0.69198,27.229889,1.197616,,,,,,,,,,,,,,
LM-06-070,F,A,65.57967,-16.74889,e,2006,10,4,458,192,51.28,63,-0.97410,-10.302521,-0.422351,,,,,,,,,,,,,,
LM-06-080,F,A,66.03652,-17.27024,e,2006,10,2,495,187,54.3,64,0.00134,7.793610,0.358711,,,,,,,,,,,,,,
LM-06-089,F,A,66.0521,-17.29026,n,2006,10,2,526,196,53.55,67,1.37655,12.142334,0.546410,,,,,,,,,,,,,,
LM-06-098,F,A,65.99499,-17.29774,e,2006,10,2,511,191,55.2,64,0.72566,9.756409,0.443429,,,,,,,,,,,,,,
LM-06-101,F,A,65.58242,-16.75868,e,2006,10,4,492,197,54.49,62,0.46588,-4.209076,-0.159347,,,,,,,,,,,,,,
LM-06-142,F,A,65.75472,-16.94403,e,2006,10,5,471,196,53.36,65,0.75530,-30.817993,-1.307837,,,,,,,,,,,,,,
LM-06-184,F,A,65.58404,-16.74208,e,2006,10,5,547,192,,66,0.51097,49.917145,2.176839,,,,,,,,,,,,,,
LM-06-195,F,A,65.58028,-16.75815,e,2006,10,5,468,192,52.38,64,-0.27383,-13.873657,-0.576488,,,,,,,,,,,,,,
LM-06-199,F,A,65.5796,-16.76542,e,2006,10,5,430,185,50.42,64,-1.69066,-24.415771,-1.031505,,,,,,,,,,,,,,
LM-06-005,M,A,66.06048,-17.33663,e,2006,10,3,493,206,54.29,64,1.78054,-28.686829,-1.215852,,,,,,,,,,,,,,
LM-06-008,M,A,66.06128,-17.3398,e,2006,10,3,474,203,52,63,0.33735,-19.718292,-0.828753,,,,,,,,,,,,,,
LM-06-027,M,A,65.58129,-16.76038,e,2006,10,4,553,205,55.96,65,2.60796,15.277954,0.681749,,,,,,,,,,,,,,
LM-06-031,M,A,66.06128,-17.3398,e,2006,10,3,546,206,53.88,64,1.62158,27.393738,1.204688,,,,,,,,,,,,,,
LM-06-033,M,A,66.05834,-17.33066,e,2006,10,3,520,203,55.33,64,1.90221,-4.044983,-0.152265,,,,,,,,,,,,,,
LM-06-055,M,A,65.75273,-16.94172,e,2006,10,4,499,203,53.23,62,0.54044,1.345917,0.080416,,,,,,,,,,,,,,
LM-06-097,M,A,65.99082,-17.30008,e,2006,10,2,552,200,53.65,63,0.69553,51.340240,2.238263,,,,,,,,,,,,,,
LM-06-109,M,A,65.57869,-16.77511,e,2006,10,5,512,203,53.95,62,0.81959,8.936035,0.408020,,,,,,,,,,,,,,
LM-06-110,M,A,65.57748,-16.74169,e,2006,10,5,518,198,54.45,62,0.54422,20.272766,0.897334,,,,,,,,,,,,,,
LM-06-111,M,A,65.58006,-16.72707,e,2006,10,5,525,204,53.43,64,1.25941,13.412354,0.601226,,,,,,,,,,,,,,
LM-06-131,M,A,65.7481,-16.95479,e,2006,10,5,479,198,54.53,63,0.84902,-24.634369,-1.040940,,,,,,,,,,,,,,
LM-06-135,M,A,65.75916,-16.95191,e,2006,10,5,540,207,55.09,68,3.27972,-10.740723,-0.441265,,,,,,,,,,,,,,
LM-06-136,M,A,65.75916,-16.95191,e,2006,10,5,498,202,55.24,65,2.04727,-28.856079,-1.223157,,,,,,,,,,,,,,
LM-06-158,M,A,65.62604,-17.17445,e,2006,10,5,627,214,54.44,65,2.86325,84.330322,3.662175,,,,,,,,,,,,,,
LM-06-159,M,A,65.61842,-17.17497,e,2006,10,5,491,203,55.01,63,1.50436,-25.334534,-1.071161,,,,,,,,,,,,,,
LM-06-180,M,A,65.58346,-16.73825,e,2006,10,5,503,204,56.62,65,2.77000,-37.862427,-1.611887,,,,,,,,,,,,,,
LM-06-182,M,A,65.58375,-16.73989,e,2006,10,5,518,206,53.74,62,1.01971,11.057770,0.499598,,,,,,,,,,,,,,
LM-06-190,M,A,65.58649,-16.74618,e,2006,10,5,519,201,56.85,66,2.85143,-23.440430,-0.989408,,,,,,,,,,,,,,
LM-06-006,F,J,66.06128,-17.3398,e,2006,10,3,524,196,52.08,57,-1.93131,74.247894,3.226999,,,,,,,,,,,,,,
LM-06-007,F,J,66.06128,-17.3398,e,2006,10,3,458,190,51.07,64,-0.96942,-10.393250,-0.426267,,,,,,,,,,,,,,
LM-06-010,F,J,66.06128,-17.3398,e,2006,10,3,411,182,51.59,62,-2.06617,-36.138580,-1.537483,,,,,,,,,,,,,,
LM-06-011,F,J,66.02227,-17.30472,e,2006,10,3,416,186,50.75,61,-2.29025,-26.795898,-1.134236,,,,,,,,,,,,,,
LM-06-012,F,J,66.02227,-17.30472,e,2006,10,3,437,184,51.58,60,-2.42994,-3.088776,-0.110993,,,,,,,,,,,,,,
LM-06-014,F,J,66.02227,-17.30472,e,2006,10,3,448,181,54.78,64,-0.37564,-31.900665,-1.354567,,,,,,,,,,,,,,
LM-06-017,F,J,66.02227,-17.30472,e,2006,10,3,422,176,51.69,63,-2.31668,-20.283691,-0.853157,,,,,,,,,,,,,,
LM-06-021,F,J,66.02129,-17.30248,e,2006,10,3,468,189,55.12,62,-0.04063,-18.392975,-0.771550,,,,,,,,,,,,,,
LM-06-022,F,J,66.01401,-17.29996,e,2006,10,3,451,185,52.67,62,-1.36591,-9.709534,-0.396757,,,,,,,,,,,,,,
LM-06-024,F,J,65.57912,-16.77613,e,2006,10,4,475,186,53.53,61,-1.21242,11.316010,0.510744,,,,,,,,,,,,,,
