06-184,06-213,06-038,06-089,06-163
06-195,06-214,06-067,06-097,06-166
06-199,06-019,06-070,06-101,06-168
06-210,06-032,06-080,06-142,06-169
08-014,08-037,08-062,08-078,08-100
08-026,08-039,08-064,08-080,08-101
08-029,08-040,08-065,08-086,08-111
08-035,08-049,08-072,08-096,08-115
09-032,09-114,09-120,09-157,09-165
09-044,09-115,09-081,09-158,09-169
09-105,09-116,09-155,09-159,09-170
09-109,09-119,09-156,09-160,09-171
15-020,15-086,15-152,15-210,15-249
15-025,15-113,15-190,15-212,15-240
08-116,07-155,07-163,07-170,07-012
07-050,07-156,07-164,07-171,07-025
07-151,07-158,07-166,07-172,07-041
07-152,07-160,07-167,07-173,07-042
07-153,10-078,10-198,10-258,14-120
07-154,10-085,10-208,11-132,14-130
10-013,10-099,10-274,11-190,14-139
10-032,10-143,10-295,11-191,15-028
10-040,11-157,11-175,11-202,15-084
10-061,11-165,11-101,13-176,16-109
11-011,11-169,11-120,13-182,16-134
11-031,11-171,11-126,13-193,16-157
11-088,12-109,12-403,14-208,16-187
11-155,12-196,13-136,14-220,17-104
12-014,12-197,13-153,14-226,17-149
12-019,12-397,13-168,15-194,17-194
12-069,13-081,13-174,15-201,17-212
12-092,13-084,14-152,16-304,18-014
13-006,13-100,14-186,16-347,18-055
13-007,13-105,14-197,16-363,18-061
13-029,14-113,14-207,16-366,18-064
13-037,16-264,15-118,17-001,16-296
14-013,16-014,15-133,17-003,16-299
14-035,16-046,16-223,17-034,17-349
14-068,16-077,16-248,17-096,17-348
14-112,15-003,15-018,17-344,
