06-006,06-187,06-021,06-039,06-071,06-081,06-088
06-007,06-012,06-022,06-047,06-073,06-084,06-094
06-010,06-014,06-035,06-048,06-075,06-086,06-100
06-011,06-017,06-037,06-059,06-076,06-087,06-178
08-002,08-011,08-042,08-057,08-073,08-087,08-114
08-004,08-012,08-044,08-063,08-081,08-098,08-117
08-006,08-022,08-047,08-066,08-083,08-099,08-124
08-010,08-034,08-054,08-068,08-084,08-112,08-136
09-001,09-016,09-045,09-054,09-102,09-134,09-092
09-004,09-017,09-047,09-055,09-104,09-137,09-138
09-005,09-034,09-049,09-058,09-122,09-085,09-139
09-014,09-043,09-051,09-071,09-128,09-087,09-140
10-012,10-034,10-065,10-094,10-191,10-220,10-289
10-018,10-053,10-067,10-102,10-199,10-226,10-304
10-027,10-054,10-071,10-107,10-211,10-229,10-306
10-031,10-059,10-074,10-137,10-215,10-288,10-324
11-004,11-035,11-084,11-152,11-091,11-119,11-205
11-012,11-042,11-086,11-161,11-092,11-128,11-206
11-014,11-043,11-134,11-172,11-100,11-201,11-213
11-030,11-083,11-143,11-089,11-112,11-204,11-221
12-001,12-008,12-022,12-050,12-070,12-088,12-199
12-002,12-010,12-031,12-053,12-079,12-091,12-200
12-003,12-018,12-032,12-055,12-083,12-105,12-221
12-004,12-021,12-043,12-066,12-087,12-193,12-222
13-001,13-039,13-069,13-092,13-122,13-146,13-183
13-010,13-051,13-077,13-108,13-123,13-154,13-201
13-011,13-057,13-083,13-109,13-128,13-160,13-232
13-021,13-063,13-086,13-110,13-134,13-163,13-233
14-016,14-042,14-051,14-076,14-122,14-150,14-165
14-030,14-043,14-056,14-102,14-131,14-154,14-184
14-032,14-048,14-058,14-104,14-138,14-160,14-185
14-037,14-049,14-065,14-116,14-143,14-161,14-211
15-015,15-061,15-098,15-121,15-185,15-220,15-243
15-032,15-073,15-106,15-138,15-189,15-221,15-244
15-047,15-077,15-107,15-155,15-214,15-222,15-247
15-048,15-097,15-120,15-178,15-219,15-226,15-248
16-013,16-051,16-158,16-215,16-278,16-307,16-322
16-022,16-078,16-159,16-234,16-294,16-313,16-323
16-041,16-092,16-179,16-262,16-295,16-314,16-327
16-045,16-151,16-189,16-275,16-297,16-321,16-328
17-020,17-070,17-086,17-152,17-202,17-221,17-228
17-050,17-074,17-087,17-169,17-207,17-223,17-241
17-061,17-075,17-097,17-196,17-210,17-224,17-323
17-066,17-077,17-099,17-201,17-211,17-225,17-326
06-179,09-144,11-255,13-234,14-230,16-346,07-109
06-181,09-154,11-256,13-242,14-236,16-351,07-111
08-137,10-251,12-410,14-212,15-252,17-342,18-096
08-140,10-257,12-170,14-219,15-258,17-343,18-097
07-003,07-121,07-008,07-023,07-034,07-047,07-073
07-004,07-142,07-010,07-024,07-040,07-051,07-087
07-005,07-001,07-011,07-027,07-043,07-056,07-094
07-006,07-002,07-014,07-028,07-046,07-066,07-099
18-002,18-033,18-063,18-086,18-100,18-046,18-067
18-013,18-042,18-066,18-092,18-022,18-052,18-081
18-018,,,,,,
