06-005,06-027,06-098,06-131,06-159
06-008,06-031,06-109,06-135,06-167
06-190,06-033,06-110,06-136,06-180
06-233,06-055,06-111,06-158,06-182
08-009,08-025,08-036,08-058,08-102
08-019,08-027,08-038,08-071,08-103
08-020,08-028,08-041,08-074,08-113
08-023,08-030,08-055,08-085,08-138
09-022,09-056,09-117,09-078,09-172
09-026,09-069,09-118,09-088,09-173
09-036,09-103,09-127,09-166,09-174
09-039,09-108,09-077,09-168,09-175
10-045,10-119,10-139,10-200,10-225
10-051,10-124,10-140,10-207,10-284
10-066,10-131,10-141,10-218,10-285
10-069,10-136,10-142,10-222,10-291
11-003,11-027,11-133,11-148,11-117
11-009,11-033,11-135,11-156,11-130
11-016,11-034,11-145,11-177,11-131
11-026,11-048,11-147,11-104,11-203
12-016,12-040,12-068,12-089,12-144
12-028,12-058,12-071,12-090,12-146
12-035,12-060,12-072,12-141,12-162
12-036,12-067,12-075,12-142,12-167
13-008,13-018,13-036,13-070,13-135
13-009,13-022,13-054,13-091,13-145
13-016,13-025,13-055,13-121,13-148
13-017,13-031,13-064,13-132,13-151
14-011,14-040,14-079,14-105,14-142
14-015,14-045,14-081,14-110,14-149
14-034,14-073,14-083,14-114,14-151
14-036,14-075,14-100,14-140,14-163
15-001,15-030,15-063,15-110,15-125
15-009,15-033,15-067,15-111,15-135
15-019,15-036,15-080,15-112,15-144
15-024,15-043,15-081,15-119,15-150
16-010,16-047,16-148,16-211,16-251
16-023,16-083,16-161,16-216,16-260
16-028,16-133,16-165,16-235,16-284
16-031,16-140,16-191,16-250,16-286
17-057,17-090,17-170,17-187,17-218
17-063,17-134,17-175,17-191,17-226
17-071,17-141,17-181,17-195,17-227
17-089,17-157,17-183,17-215,17-230
18-001,18-021,18-039,18-059,18-088
18-009,18-025,18-040,18-068,18-091
18-010,18-030,18-056,18-075,18-094
18-019,18-031,18-057,18-083,18-095
11-209,07-115,07-169,07-033,07-062
13-185,07-119,07-013,07-035,07-070
14-225,07-015,07-036,07-089,11-210
15-021,07-016,07-060,07-103,12-375
07-125,07-161,10-272,12-398,12-383
07-146,07-162,10-271,17-237,12-394
07-157,07-165,10-265,12-172,16-324
07-159,07-168,10-243,12-173,16-325
10-292,11-260,13-157,12-176,16-330
10-293,11-261,13-158,12-374,16-373
10-307,11-263,13-164,13-155,17-324
12-192,15-180,15-205,14-203,17-325
12-213,17-238,17-242,14-204,17-329
12-217,14-196,17-302,14-209,17-347
13-166,14-223,17-351,,
