year, density/km2
1981, 3.821367538156318
1982, 6.021764324579151
1983, 8.374727454870456
1984, 9.10114125203795
1985, 9.739162034217918
1986, 12.519534856312244
1987, 10.81060323322006
1988, 9.23809149659196
1989, 8.162584218900392
1990, 6.608045728653087
1991, 4.556443850792592
1992, 3.8444086507297346
1993, 3.2611326091653754
1994, 2.93278202282504
1995, 4.610481447288299
1996, 5.57219745035259
1997, 5.84845508652694
1998, 8.174605668938694
1999, 5.025516116993066
2000, 3.527431298984464
2001, 3.3157005637510055
2002, 2.458170461018681
2003, 2.453102594826063
2004, 4.224027185762832
2005, 8.100296607672513
2006, 6.113457345459546
2007, 4.007700013750025
2009, 7.3233220059321535
2010, 7.916969494588384
2011, 4.251841521145574
2012, 3.4116364493508025
2013, 4.146005617867175
2014, 5.480504429472196
2015, 6.469740124535937
2016, 4.5502563397434646
2017, 6.350704197686068
2018, 9.922135575242098
2019, 8.286746940619537
