"","year","density/km2"
"1",1981,3.82136753815632
"2",1982,6.02176432457915
"3",1983,8.37472745487046
"4",1984,9.10114125203795
"5",1985,9.73916203421792
"6",1986,12.5195348563122
"7",1987,10.8106032332201
"8",1988,9.23809149659196
"9",1989,8.16258421890039
"10",1990,6.60804572865309
"11",1991,4.55644385079259
"12",1992,3.84440865072973
"13",1993,3.26113260916538
"14",1994,2.93278202282504
"15",1995,4.6104814472883
"16",1996,5.57219745035259
"17",1997,5.84845508652694
"18",1998,8.17460566893869
"19",1999,5.02551611699307
"20",2000,3.52743129898446
"21",2001,3.31570056375101
"22",2002,2.45817046101868
"23",2003,2.45310259482606
"24",2004,4.22402718576283
"25",2005,8.10029660767251
"26",2006,6.11345734545955
"27",2007,4.00770001375002
"28",2009,7.32332200593215
"29",2010,7.91696949458838
"30",2011,4.25184152114557
"31",2012,3.4116364493508
"32",2013,4.14600561786717
"33",2014,5.4805044294722
"34",2015,6.46974012453594
"35",2016,4.55025633974346
"36",2017,6.35070419768607
"37",2018,9.9221355752421
"38",2019,8.28674694061954
