Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A7	09-022	TELO	21.96	0.10	-	Positive	Unchecked	Unknown	-	22.03	-	-	A7	SYBR Green I	 	2.55	6.23	None			7
255;0;0;255	A8	09-022	TELO	22.10	0.10	-	Positive	Unchecked	Unknown	-	22.03	-	-	A7	SYBR Green I	 	2.67	6.33	None			8
255;0;0;255	B7	09-026	TELO	19.49	0.54	-	Positive	Unchecked	Unknown	-	19.88	-	-	B7	SYBR Green I	 	2.50	6.33	None			19
255;0;0;255	B8	09-026	TELO	20.26	0.54	-	Positive	Unchecked	Unknown	-	19.88	-	-	B7	SYBR Green I	 	2.52	6.28	None			20
255;0;0;255	E7	09-032	TELO	20.19	0.01	-	Positive	Unchecked	Unknown	-	20.19	-	-	E7	SYBR Green I	 	2.63	6.27	None			55
255;0;0;255	E8	09-032	TELO	20.18	0.01	-	Positive	Unchecked	Unknown	-	20.19	-	-	E7	SYBR Green I	 	2.58	6.26	None			56
255;0;0;255	C7	09-036	TELO	21.84	0.10	-	Positive	Unchecked	Unknown	-	21.91	-	-	C7	SYBR Green I	 	2.62	6.29	None			31
255;0;0;255	C8	09-036	TELO	21.98	0.10	-	Positive	Unchecked	Unknown	-	21.91	-	-	C7	SYBR Green I	 	2.59	6.26	None			32
255;0;0;255	D7	09-039	TELO	21.12	0.07	-	Positive	Unchecked	Unknown	-	21.07	-	-	D7	SYBR Green I	 	2.60	6.23	None			43
255;0;0;255	D8	09-039	TELO	21.02	0.07	-	Positive	Unchecked	Unknown	-	21.07	-	-	D7	SYBR Green I	 	2.56	6.22	None			44
255;0;0;255	F7	09-044	TELO	19.79	0.05	-	Positive	Unchecked	Unknown	-	19.76	-	-	F7	SYBR Green I	 	2.62	6.28	None			67
