Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	E12	12-086	TELO	19.05	2.41	-	Positive	Unchecked	Unknown	-	20.76	-	-	E11	SYBR Green I	 	1.01	4.13	None			60
255;0;0;255	E11	12-086	TELO	22.46	2.41	-	Positive	Unchecked	Unknown	-	20.76	-	-	E11	SYBR Green I	 	0.71	3.23	None			59
255;0;0;255	A4	12-005	TELO	14.95	2.18	-	Positive	Unchecked	Unknown	-	16.49	-	-	A3	SYBR Green I	 	0.95	4.21	None			4
255;0;0;255	A3	12-005	TELO	18.03	2.18	-	Positive	Unchecked	Unknown	-	16.49	-	-	A3	SYBR Green I	 	0.72	3.68	None			3
255;0;0;255	D8	12-032	TELO	9.38	0.24	-	Positive	Unchecked	Unknown	-	9.21	-	-	D7	SYBR Green I	 	1.87	4.37	None			44
255;0;0;255	D7	12-032	TELO	9.04	0.24	-	Positive	Unchecked	Unknown	-	9.21	-	-	D7	SYBR Green I	 	1.75	4.26	None			43
255;0;0;255	D2	11-104	TELO	19.90	0.23	-	Positive	Unchecked	Unknown	-	19.74	-	-	D1	SYBR Green I	 	2.13	5.86	None			38
255;0;0;255	D1	11-104	TELO	19.58	0.23	-	Positive	Unchecked	Unknown	-	19.74	-	-	D1	SYBR Green I	 	2.25	6.01	None			37
255;0;0;0	H2	Negative	TELO	29.35	0.20	-	Positive	Unchecked	Negative control	-	29.21	-	-	H1	SYBR Green I	 	1.61	2.12	Neg Ctrl is positive			86
255;0;0;0	H1	Negative	TELO	29.07	0.20	-	Positive	Unchecked	Negative control	-	29.21	-	-	H1	SYBR Green I	 	1.99	2.51	Neg Ctrl is positive			85
255;0;255;0	G2	GB	TELO	14.88	0.19	-	Positive	Unchecked	Positive control	-	14.65	-	-	F1	SYBR Green I	 	2.17	4.97	None			74
255;0;255;0	G1	GB	TELO	14.66	0.19	-	Positive	Unchecked	Positive control	-	14.65	-	-	F1	SYBR Green I	 	2.27	5.02	None			73
255;0;255;0	F2	GB	TELO	14.65	0.19	-	Positive	Unchecked	Positive control	-	14.65	-	-	F1	SYBR Green I	 	2.26	5.00	None			62
255;0;255;0	F1	GB	TELO	14.41	0.19	-	Positive	Unchecked	Positive control	-	14.65	-	-	F1	SYBR Green I	 	2.20	4.94	None			61
255;0;0;255	G8	12-056	TELO	8.87	0.19	-	Positive	Unchecked	Unknown	-	8.74	-	-	G7	SYBR Green I	 	1.40	3.98	None			80
255;0;0;255	G7	12-056	TELO	8.60	0.19	-	Positive	Unchecked	Unknown	-	8.74	-	-	G7	SYBR Green I	 	1.37	3.93	None			79
255;0;0;255	H10	12-064	TELO	7.59	0.18	-	Positive	Unchecked	Unknown	-	7.72	-	-	H9	SYBR Green I	 	0.65	2.48	None			94
255;0;0;255	H9	12-064	TELO	7.85	0.18	-	Positive	Unchecked	Unknown	-	7.72	-	-	H9	SYBR Green I	 	0.73	2.56	None			93
255;0;0;255	F4	12-002	TELO	9.09	0.18	-	Positive	Unchecked	Unknown	-	8.97	-	-	F3	SYBR Green I	 	1.16	3.70	None			64
255;0;0;255	F3	12-002	TELO	8.84	0.18	-	Positive	Unchecked	Unknown	-	8.97	-	-	F3	SYBR Green I	 	1.09	3.57	None			63
255;0;0;255	B6	12-008	TELO	15.49	0.13	-	Positive	Unchecked	Unknown	-	15.40	-	-	B5	SYBR Green I	 	0.84	3.89	None			18
255;0;0;255	B5	12-008	TELO	15.30	0.13	-	Positive	Unchecked	Unknown	-	15.40	-	-	B5	SYBR Green I	 	0.85	3.92	None			17
255;0;0;255	H8	12-057	TELO	8.66	0.13	-	Positive	Unchecked	Unknown	-	8.57	-	-	H7	SYBR Green I	 	1.51	3.94	None			92
255;0;0;255	H7	12-057	TELO	8.47	0.13	-	Positive	Unchecked	Unknown	-	8.57	-	-	H7	SYBR Green I	 	1.36	3.79	None			91
255;0;0;255	E8	12-043	TELO	8.18	0.12	-	Positive	Unchecked	Unknown	-	8.10	-	-	E7	SYBR Green I	 	1.07	3.25	None			56
255;0;0;255	E7	12-043	TELO	8.01	0.12	-	Positive	Unchecked	Unknown	-	8.10	-	-	E7	SYBR Green I	 	0.97	3.09	None			55
255;0;0;255	F10	12-061	TELO	7.61	0.12	-	Positive	Unchecked	Unknown	-	7.70	-	-	F9	SYBR Green I	 	0.50	2.11	None			70
255;0;0;255	F9	12-061	TELO	7.78	0.12	-	Positive	Unchecked	Unknown	-	7.70	-	-	F9	SYBR Green I	 	0.47	2.01	None			69
255;0;0;255	F8	12-054	TELO	8.53	0.11	-	Positive	Unchecked	Unknown	-	8.46	-	-	F7	SYBR Green I	 	1.56	4.02	None			68
255;0;0;255	F7	12-054	TELO	8.38	0.11	-	Positive	Unchecked	Unknown	-	8.46	-	-	F7	SYBR Green I	 	1.50	3.98	None			67
255;0;0;255	B2	11-156	TELO	15.66	0.09	-	Positive	Unchecked	Unknown	-	15.60	-	-	B1	SYBR Green I	 	2.00	4.77	None			14
255;0;0;255	B1	11-156	TELO	15.53	0.09	-	Positive	Unchecked	Unknown	-	15.60	-	-	B1	SYBR Green I	 	2.14	4.84	None			13
255;0;0;255	G12	12-193	TELO	9.53	0.09	-	Positive	Unchecked	Unknown	-	9.60	-	-	G11	SYBR Green I	 	1.89	4.49	None			84
255;0;0;255	G11	12-193	TELO	9.66	0.09	-	Positive	Unchecked	Unknown	-	9.60	-	-	G11	SYBR Green I	 	1.78	4.36	None			83
255;0;0;255	G4	12-003	TELO	9.47	0.08	-	Positive	Unchecked	Unknown	-	9.41	-	-	G3	SYBR Green I	 	1.24	3.77	None			76
255;0;0;255	G3	12-003	TELO	9.35	0.08	-	Positive	Unchecked	Unknown	-	9.41	-	-	G3	SYBR Green I	 	1.17	3.73	None			75
255;0;0;255	A2	11-148	TELO	19.13	0.08	-	Positive	Unchecked	Unknown	-	19.19	-	-	A1	SYBR Green I	 	2.13	5.85	None			2
255;0;0;255	A1	11-148	TELO	19.25	0.08	-	Positive	Unchecked	Unknown	-	19.19	-	-	A1	SYBR Green I	 	1.84	5.75	None			1
255;0;0;255	A12	12-070	TELO	8.10	0.06	-	Positive	Unchecked	Unknown	-	8.15	-	-	A11	SYBR Green I	 	1.47	3.90	None			12
