Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	B4	13-010	TELO	12.11	0.30	-	Positive	Unchecked	Unknown	-	12.32	-	-	B3	SYBR Green I	 	1.97	4.59	None			16
255;0;0;255	B3	13-010	TELO	12.53	0.30	-	Positive	Unchecked	Unknown	-	12.32	-	-	B3	SYBR Green I	 	1.92	4.65	None			15
255;0;0;255	B6	13-075	TELO	15.94	0.26	-	Positive	Unchecked	Unknown	-	16.13	-	-	B5	SYBR Green I	 	2.00	4.74	None			18
255;0;0;255	B5	13-075	TELO	16.31	0.26	-	Positive	Unchecked	Unknown	-	16.13	-	-	B5	SYBR Green I	 	2.07	4.85	None			17
255;0;0;0	H2	Negative	TELO	29.71	0.21	-	Positive	Unchecked	Negative control	-	29.86	-	-	H1	SYBR Green I	 	1.58	2.06	Neg Ctrl is positive			86
255;0;0;0	H1	Negative	TELO	30.00	0.21	-	Positive	Unchecked	Negative control	-	29.86	-	-	H1	SYBR Green I	 	1.54	2.00	Neg Ctrl is positive			85
255;0;0;255	C2	11-131	TELO	13.22	0.20	-	Positive	Unchecked	Unknown	-	13.08	-	-	C1	SYBR Green I	 	2.07	4.84	None			26
255;0;0;255	C1	11-131	TELO	12.94	0.20	-	Positive	Unchecked	Unknown	-	13.08	-	-	C1	SYBR Green I	 	2.12	4.83	None			25
255;0;0;255	A10	13-147	TELO	15.22	0.19	-	Positive	Unchecked	Unknown	-	15.09	-	-	A9	SYBR Green I	 	1.95	4.75	None			10
255;0;0;255	A9	13-147	TELO	14.95	0.19	-	Positive	Unchecked	Unknown	-	15.09	-	-	A9	SYBR Green I	 	2.02	4.73	None			9
255;0;0;255	D2	11-203	TELO	16.03	0.18	-	Positive	Unchecked	Unknown	-	15.91	-	-	D1	SYBR Green I	 	2.12	4.80	None			38
255;0;0;255	D1	11-203	TELO	15.78	0.18	-	Positive	Unchecked	Unknown	-	15.91	-	-	D1	SYBR Green I	 	2.19	4.83	None			37
255;0;0;255	H6	13-111	TELO	11.34	0.17	-	Positive	Unchecked	Unknown	-	11.46	-	-	H5	SYBR Green I	 	2.09	4.78	None			90
255;0;0;255	H5	13-111	TELO	11.58	0.17	-	Positive	Unchecked	Unknown	-	11.46	-	-	H5	SYBR Green I	 	2.22	4.93	None			89
255;0;0;255	G8	13-108	TELO	13.72	0.17	-	Positive	Unchecked	Unknown	-	13.84	-	-	G7	SYBR Green I	 	1.89	4.67	None			80
255;0;0;255	G7	13-108	TELO	13.96	0.17	-	Positive	Unchecked	Unknown	-	13.84	-	-	G7	SYBR Green I	 	1.94	4.69	None			79
255;0;255;0	G2	GB	TELO	14.38	0.16	-	Positive	Unchecked	Positive control	-	14.34	-	-	F1	SYBR Green I	 	2.24	4.95	None			74
255;0;255;0	G1	GB	TELO	14.44	0.16	-	Positive	Unchecked	Positive control	-	14.34	-	-	F1	SYBR Green I	 	2.34	4.96	None			73
255;0;255;0	F2	GB	TELO	14.42	0.16	-	Positive	Unchecked	Positive control	-	14.34	-	-	F1	SYBR Green I	 	2.20	4.97	None			62
255;0;255;0	F1	GB	TELO	14.10	0.16	-	Positive	Unchecked	Positive control	-	14.34	-	-	F1	SYBR Green I	 	2.26	4.94	None			61
255;0;0;255	F8	13-142	TELO	12.08	0.16	-	Positive	Unchecked	Unknown	-	11.97	-	-	F7	SYBR Green I	 	1.90	4.61	None			68
255;0;0;255	F7	13-142	TELO	11.86	0.16	-	Positive	Unchecked	Unknown	-	11.97	-	-	F7	SYBR Green I	 	1.88	4.49	None			67
255;0;0;255	H12	13-191	TELO	12.01	0.13	-	Positive	Unchecked	Unknown	-	11.92	-	-	H11	SYBR Green I	 	1.86	4.50	None			96
255;0;0;255	H11	13-191	TELO	11.83	0.13	-	Positive	Unchecked	Unknown	-	11.92	-	-	H11	SYBR Green I	 	1.96	4.68	None			95
255;0;0;255	F6	13-099	TELO	11.01	0.12	-	Positive	Unchecked	Unknown	-	11.10	-	-	F5	SYBR Green I	 	1.97	4.61	None			66
255;0;0;255	F5	13-099	TELO	11.18	0.12	-	Positive	Unchecked	Unknown	-	11.10	-	-	F5	SYBR Green I	 	1.99	4.72	None			65
255;0;0;255	C8	13-083	TELO	14.05	0.11	-	Positive	Unchecked	Unknown	-	14.13	-	-	C7	SYBR Green I	 	1.95	4.63	None			32
255;0;0;255	C7	13-083	TELO	14.21	0.11	-	Positive	Unchecked	Unknown	-	14.13	-	-	C7	SYBR Green I	 	1.98	4.70	None			31
255;0;0;255	A6	13-040	TELO	11.36	0.11	-	Positive	Unchecked	Unknown	-	11.28	-	-	A5	SYBR Green I	 	1.86	4.54	None			6
255;0;0;255	A5	13-040	TELO	11.20	0.11	-	Positive	Unchecked	Unknown	-	11.28	-	-	A5	SYBR Green I	 	1.94	4.64	None			5
255;0;0;255	D6	13-039	TELO	12.56	0.11	-	Positive	Unchecked	Unknown	-	12.64	-	-	D5	SYBR Green I	 	2.03	4.60	None			42
255;0;0;255	D5	13-039	TELO	12.71	0.11	-	Positive	Unchecked	Unknown	-	12.64	-	-	D5	SYBR Green I	 	2.11	4.69	None			41
255;0;0;255	B10	13-162	TELO	11.73	0.11	-	Positive	Unchecked	Unknown	-	11.66	-	-	B9	SYBR Green I	 	1.87	4.60	None			22
255;0;0;255	B9	13-162	TELO	11.58	0.11	-	Positive	Unchecked	Unknown	-	11.66	-	-	B9	SYBR Green I	 	1.87	4.45	None			21
255;0;0;255	E12	13-163	TELO	12.84	0.10	-	Positive	Unchecked	Unknown	-	12.91	-	-	E11	SYBR Green I	 	2.14	4.74	None			60
255;0;0;255	E11	13-163	TELO	12.98	0.10	-	Positive	Unchecked	Unknown	-	12.91	-	-	E11	SYBR Green I	 	1.99	4.60	None			59
255;0;0;255	A2	11-117	TELO	16.93	0.10	-	Positive	Unchecked	Unknown	-	17.00	-	-	A1	SYBR Green I	 	2.08	5.11	None			2
255;0;0;255	A1	11-117	TELO	17.07	0.10	-	Positive	Unchecked	Unknown	-	17.00	-	-	A1	SYBR Green I	 	1.86	4.96	None			1
255;0;0;255	H8	13-109	TELO	13.10	0.09	-	Positive	Unchecked	Unknown	-	13.17	-	-	H7	SYBR Green I	 	2.11	4.77	None			92
255;0;0;255	H7	13-109	TELO	13.23	0.09	-	Positive	Unchecked	Unknown	-	13.17	-	-	H7	SYBR Green I	 	2.03	4.75	None			91
255;0;0;255	E10	13-128	TELO	12.29	0.09	-	Positive	Unchecked	Unknown	-	12.23	-	-	E9	SYBR Green I	 	1.96	4.54	None			58
255;0;0;255	E9	13-128	TELO	12.16	0.09	-	Positive	Unchecked	Unknown	-	12.23	-	-	E9	SYBR Green I	 	1.86	4.46	None			57
255;0;0;255	D12	13-160	TELO	11.26	0.08	-	Positive	Unchecked	Unknown	-	11.32	-	-	D11	SYBR Green I	 	2.01	4.59	None			48
