Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A12	15-194	TELO	12.49	1.75	-	Positive	Unchecked	Unknown	-	11.25	-	-	A11	SYBR Green I	 	1.68	4.53	None			12
255;0;0;255	A11	15-194	TELO	10.01	1.75	-	Positive	Unchecked	Unknown	-	11.25	-	-	A11	SYBR Green I	 	1.37	4.18	None			11
255;0;0;255	A8	15-028	TELO	13.58	0.71	-	Positive	Unchecked	Unknown	-	13.08	-	-	A7	SYBR Green I	 	1.92	4.77	None			8
255;0;0;255	A7	15-028	TELO	12.57	0.71	-	Positive	Unchecked	Unknown	-	13.08	-	-	A7	SYBR Green I	 	1.77	4.75	None			7
255;0;0;255	C4	15-247	TELO	12.32	0.66	-	Positive	Unchecked	Unknown	-	11.85	-	-	C3	SYBR Green I	 	1.86	4.66	None			28
255;0;0;255	C3	15-247	TELO	11.38	0.66	-	Positive	Unchecked	Unknown	-	11.85	-	-	C3	SYBR Green I	 	1.76	4.71	None			27
255;0;0;255	B4	15-244	TELO	14.18	0.66	-	Positive	Unchecked	Unknown	-	13.72	-	-	B3	SYBR Green I	 	2.00	4.92	None			16
255;0;0;255	B3	15-244	TELO	13.25	0.66	-	Positive	Unchecked	Unknown	-	13.72	-	-	B3	SYBR Green I	 	1.90	4.77	None			15
255;0;0;255	B8	15-084	TELO	14.15	0.41	-	Positive	Unchecked	Unknown	-	13.86	-	-	B7	SYBR Green I	 	1.92	4.89	None			20
255;0;0;255	B7	15-084	TELO	13.57	0.41	-	Positive	Unchecked	Unknown	-	13.86	-	-	B7	SYBR Green I	 	1.86	4.73	None			19
255;0;0;255	B6	15-018	TELO	14.28	0.38	-	Positive	Unchecked	Unknown	-	14.01	-	-	B5	SYBR Green I	 	1.99	4.93	None			18
255;0;0;255	B5	15-018	TELO	13.74	0.38	-	Positive	Unchecked	Unknown	-	14.01	-	-	B5	SYBR Green I	 	1.94	4.79	None			17
255;0;0;255	B10	15-133	TELO	14.89	0.34	-	Positive	Unchecked	Unknown	-	14.65	-	-	B9	SYBR Green I	 	1.89	4.83	None			22
255;0;0;255	B9	15-133	TELO	14.41	0.34	-	Positive	Unchecked	Unknown	-	14.65	-	-	B9	SYBR Green I	 	1.87	4.83	None			21
255;0;0;255	E4	15-001	TELO	15.08	0.32	-	Positive	Unchecked	Unknown	-	14.86	-	-	E3	SYBR Green I	 	1.92	4.85	None			52
255;0;0;255	E3	15-001	TELO	14.63	0.32	-	Positive	Unchecked	Unknown	-	14.86	-	-	E3	SYBR Green I	 	1.89	4.88	None			51
255;0;0;255	A10	15-118	TELO	15.26	0.28	-	Positive	Unchecked	Unknown	-	15.07	-	-	A9	SYBR Green I	 	1.79	4.79	None			10
255;0;0;255	A9	15-118	TELO	14.87	0.28	-	Positive	Unchecked	Unknown	-	15.07	-	-	A9	SYBR Green I	 	1.86	4.86	None			9
255;0;0;255	A2	15-015	TELO	13.67	0.26	-	Positive	Unchecked	Unknown	-	13.49	-	-	A1	SYBR Green I	 	1.96	4.82	None			2
255;0;0;255	A1	15-015	TELO	13.30	0.26	-	Positive	Unchecked	Unknown	-	13.49	-	-	A1	SYBR Green I	 	1.79	4.60	None			1
255;0;0;255	B2	15-032	TELO	13.71	0.24	-	Positive	Unchecked	Unknown	-	13.88	-	-	B1	SYBR Green I	 	1.81	4.78	None			14
255;0;0;255	B1	15-032	TELO	14.05	0.24	-	Positive	Unchecked	Unknown	-	13.88	-	-	B1	SYBR Green I	 	1.93	4.84	None			13
255;0;0;255	A6	15-003	TELO	12.40	0.23	-	Positive	Unchecked	Unknown	-	12.24	-	-	A5	SYBR Green I	 	1.81	4.58	None			6
255;0;0;255	A5	15-003	TELO	12.07	0.23	-	Positive	Unchecked	Unknown	-	12.24	-	-	A5	SYBR Green I	 	1.84	4.70	None			5
255;0;0;255	H12	15-150	TELO	15.19	0.19	-	Positive	Unchecked	Unknown	-	15.06	-	-	H11	SYBR Green I	 	1.74	4.61	None			96
255;0;0;255	H11	15-150	TELO	14.92	0.19	-	Positive	Unchecked	Unknown	-	15.06	-	-	H11	SYBR Green I	 	1.82	4.74	None			95
255;0;0;255	F12	15-135	TELO	16.59	0.15	-	Positive	Unchecked	Unknown	-	16.70	-	-	F11	SYBR Green I	 	1.95	4.94	None			72
255;0;0;255	F11	15-135	TELO	16.80	0.15	-	Positive	Unchecked	Unknown	-	16.70	-	-	F11	SYBR Green I	 	1.78	4.70	None			71
255;0;0;255	F10	15-111	TELO	16.91	0.13	-	Positive	Unchecked	Unknown	-	16.82	-	-	F9	SYBR Green I	 	1.98	5.02	None			70
255;0;0;255	F9	15-111	TELO	16.72	0.13	-	Positive	Unchecked	Unknown	-	16.82	-	-	F9	SYBR Green I	 	1.92	4.93	None			69
255;0;0;255	B12	15-201	TELO	14.89	0.13	-	Positive	Unchecked	Unknown	-	14.80	-	-	B11	SYBR Green I	 	1.95	4.84	None			24
255;0;0;255	B11	15-201	TELO	14.70	0.13	-	Positive	Unchecked	Unknown	-	14.80	-	-	B11	SYBR Green I	 	1.82	4.80	None			23
255;0;0;255	G10	15-112	TELO	15.73	0.13	-	Positive	Unchecked	Unknown	-	15.64	-	-	G9	SYBR Green I	 	1.88	4.88	None			82
