Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A10	17-088	TELO	14.14	1.39	-	Positive	Unchecked	Unknown	-	15.13	-	-	A9	SYBR Green I	 	1.47	4.76	None			10
255;0;0;255	A9	17-088	TELO	16.11	1.39	-	Positive	Unchecked	Unknown	-	15.13	-	-	A9	SYBR Green I	 	2.08	5.23	None			9
255;0;0;255	B2	16-314	TELO	10.55	1.32	-	Positive	Unchecked	Unknown	-	11.49	-	-	B1	SYBR Green I	 	1.15	4.12	None			14
255;0;0;255	B1	16-314	TELO	12.42	1.32	-	Positive	Unchecked	Unknown	-	11.49	-	-	B1	SYBR Green I	 	1.84	4.74	None			13
255;0;0;255	E10	17-099	TELO	13.31	1.20	-	Positive	Unchecked	Unknown	-	14.16	-	-	E9	SYBR Green I	 	1.54	4.56	None			58
255;0;0;255	E9	17-099	TELO	15.01	1.20	-	Positive	Unchecked	Unknown	-	14.16	-	-	E9	SYBR Green I	 	1.98	4.91	None			57
255;0;0;255	C10	17-087	TELO	13.97	1.00	-	Positive	Unchecked	Unknown	-	14.68	-	-	C9	SYBR Green I	 	1.62	4.63	None			34
255;0;0;255	C9	17-087	TELO	15.39	1.00	-	Positive	Unchecked	Unknown	-	14.68	-	-	C9	SYBR Green I	 	2.10	4.96	None			33
255;0;0;255	G10	17-098	TELO	14.33	0.99	-	Positive	Unchecked	Unknown	-	15.03	-	-	G9	SYBR Green I	 	1.46	4.48	None			82
255;0;0;255	G9	17-098	TELO	15.73	0.99	-	Positive	Unchecked	Unknown	-	15.03	-	-	G9	SYBR Green I	 	1.95	5.06	None			81
255;0;0;255	D10	17-097	TELO	13.51	0.98	-	Positive	Unchecked	Unknown	-	14.21	-	-	D9	SYBR Green I	 	1.57	4.65	None			46
255;0;0;255	D9	17-097	TELO	14.90	0.98	-	Positive	Unchecked	Unknown	-	14.21	-	-	D9	SYBR Green I	 	2.02	4.96	None			45
255;0;0;255	F10	17-095	TELO	14.72	0.94	-	Positive	Unchecked	Unknown	-	15.39	-	-	F9	SYBR Green I	 	1.54	4.60	None			70
255;0;0;255	F9	17-095	TELO	16.05	0.94	-	Positive	Unchecked	Unknown	-	15.39	-	-	F9	SYBR Green I	 	2.02	5.15	None			69
255;0;0;255	H10	17-103	TELO	15.32	0.90	-	Positive	Unchecked	Unknown	-	15.96	-	-	H9	SYBR Green I	 	1.62	4.64	None			94
255;0;0;255	H9	17-103	TELO	16.59	0.90	-	Positive	Unchecked	Unknown	-	15.96	-	-	H9	SYBR Green I	 	2.10	5.39	None			93
255;0;0;255	B10	17-086	TELO	13.74	0.88	-	Positive	Unchecked	Unknown	-	14.37	-	-	B9	SYBR Green I	 	1.67	4.79	None			22
255;0;0;255	B9	17-086	TELO	14.99	0.88	-	Positive	Unchecked	Unknown	-	14.37	-	-	B9	SYBR Green I	 	2.11	5.09	None			21
255;0;0;255	A2	16-313	TELO	14.30	0.84	-	Positive	Unchecked	Unknown	-	14.90	-	-	A1	SYBR Green I	 	1.54	4.64	None			2
255;0;0;255	A1	16-313	TELO	15.49	0.84	-	Positive	Unchecked	Unknown	-	14.90	-	-	A1	SYBR Green I	 	2.00	4.98	None			1
255;0;0;255	C2	16-321	TELO	15.97	0.65	-	Positive	Unchecked	Unknown	-	16.43	-	-	C1	SYBR Green I	 	1.58	4.71	None			26
255;0;0;255	C1	16-321	TELO	16.89	0.65	-	Positive	Unchecked	Unknown	-	16.43	-	-	C1	SYBR Green I	 	2.12	5.19	None			25
255;0;0;255	D2	16-326	TELO	15.18	0.34	-	Positive	Unchecked	Unknown	-	15.42	-	-	D1	SYBR Green I	 	1.65	4.72	None			38
255;0;0;255	D1	16-326	TELO	15.66	0.34	-	Positive	Unchecked	Unknown	-	15.42	-	-	D1	SYBR Green I	 	2.12	5.12	None			37
255;0;0;255	F8	17-072	TELO	15.31	0.28	-	Positive	Unchecked	Unknown	-	15.51	-	-	F7	SYBR Green I	 	2.06	4.96	None			68
255;0;0;255	F7	17-072	TELO	15.71	0.28	-	Positive	Unchecked	Unknown	-	15.51	-	-	F7	SYBR Green I	 	2.03	5.16	None			67
255;0;255;0	G1	GB	TELO	19.87	0.25	-	Positive	Unchecked	Positive control	-	19.60	-	-	F1	SYBR Green I	 	2.31	6.22	None			73
255;0;255;0	F2	GB	TELO	19.55	0.25	-	Positive	Unchecked	Positive control	-	19.60	-	-	F1	SYBR Green I	 	2.23	6.14	None			62
255;0;255;0	F1	GB	TELO	19.37	0.25	-	Positive	Unchecked	Positive control	-	19.60	-	-	F1	SYBR Green I	 	2.34	6.18	None			61
255;0;0;255	B8	17-065	TELO	17.95	0.23	-	Positive	Unchecked	Unknown	-	17.79	-	-	B7	SYBR Green I	 	1.96	5.83	None			20
255;0;0;255	B7	17-065	TELO	17.62	0.23	-	Positive	Unchecked	Unknown	-	17.79	-	-	B7	SYBR Green I	 	2.06	5.99	None			19
255;0;0;255	A6	17-016	TELO	15.32	0.21	-	Positive	Unchecked	Unknown	-	15.18	-	-	A5	SYBR Green I	 	1.92	4.93	None			6
255;0;0;255	A5	17-016	TELO	15.03	0.21	-	Positive	Unchecked	Unknown	-	15.18	-	-	A5	SYBR Green I	 	1.98	4.89	None			5
255;0;0;255	G6	17-066	TELO	14.47	0.19	-	Positive	Unchecked	Unknown	-	14.34	-	-	G5	SYBR Green I	 	2.13	5.12	None			78
255;0;0;255	G5	17-066	TELO	14.20	0.19	-	Positive	Unchecked	Unknown	-	14.34	-	-	G5	SYBR Green I	 	1.99	5.05	None			77
255;0;0;255	H12	17-142	TELO	16.63	0.17	-	Positive	Unchecked	Unknown	-	16.51	-	-	H11	SYBR Green I	 	1.84	5.17	None			96
255;0;0;255	H11	17-142	TELO	16.39	0.17	-	Positive	Unchecked	Unknown	-	16.51	-	-	H11	SYBR Green I	 	1.97	5.16	None			95
255;0;0;255	E12	17-201	TELO	16.73	0.13	-	Positive	Unchecked	Unknown	-	16.83	-	-	E11	SYBR Green I	 	2.17	5.44	None			60
255;0;0;255	E11	17-201	TELO	16.92	0.13	-	Positive	Unchecked	Unknown	-	16.83	-	-	E11	SYBR Green I	 	2.04	5.33	None			59
255;0;0;255	C6	17-053	TELO	15.71	0.13	-	Positive	Unchecked	Unknown	-	15.62	-	-	C5	SYBR Green I	 	1.98	5.12	None			30
