Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A4	09-146	TELO	11.90	1.43	-	Positive	Unchecked	Unknown	-	12.91	-	-	A3	SYBR Green I	 	1.19	3.89	None			4
255;0;0;255	A3	09-146	TELO	13.92	1.43	-	Positive	Unchecked	Unknown	-	12.91	-	-	A3	SYBR Green I	 	1.89	4.70	None			3
255;0;0;255	B4	09-147	TELO	13.85	0.52	-	Positive	Unchecked	Unknown	-	13.49	-	-	B3	SYBR Green I	 	1.93	4.85	None			16
255;0;0;255	B3	09-147	TELO	13.12	0.52	-	Positive	Unchecked	Unknown	-	13.49	-	-	B3	SYBR Green I	 	1.57	4.45	None			15
255;0;0;255	C4	09-144	TELO	14.56	0.51	-	Positive	Unchecked	Unknown	-	14.20	-	-	C3	SYBR Green I	 	2.03	4.94	None			28
255;0;0;255	C3	09-144	TELO	13.84	0.51	-	Positive	Unchecked	Unknown	-	14.20	-	-	C3	SYBR Green I	 	1.76	4.68	None			27
255;0;0;255	G12	08-116	TELO	13.96	0.30	-	Positive	Unchecked	Unknown	-	14.18	-	-	G11	SYBR Green I	 	1.89	4.74	None			84
255;0;0;255	G11	08-116	TELO	14.39	0.30	-	Positive	Unchecked	Unknown	-	14.18	-	-	G11	SYBR Green I	 	1.96	4.80	None			83
255;0;0;255	B2	18-051	TELO	14.35	0.28	-	Positive	Unchecked	Unknown	-	14.15	-	-	B1	SYBR Green I	 	2.00	4.95	None			14
255;0;0;255	B1	18-051	TELO	13.95	0.28	-	Positive	Unchecked	Unknown	-	14.15	-	-	B1	SYBR Green I	 	2.17	5.08	None			13
255;0;0;255	H12	07-050	TELO	15.04	0.23	-	Positive	Unchecked	Unknown	-	14.88	-	-	H11	SYBR Green I	 	1.82	4.63	None			96
255;0;0;255	H11	07-050	TELO	14.71	0.23	-	Positive	Unchecked	Unknown	-	14.88	-	-	H11	SYBR Green I	 	1.96	4.78	None			95
255;0;0;255	F4	12-410	TELO	13.11	0.23	-	Positive	Unchecked	Unknown	-	13.27	-	-	F3	SYBR Green I	 	1.70	4.55	None			64
255;0;0;255	F3	12-410	TELO	13.43	0.23	-	Positive	Unchecked	Unknown	-	13.27	-	-	F3	SYBR Green I	 	1.67	4.56	None			63
255;0;0;255	G4	12-170	TELO	13.34	0.21	-	Positive	Unchecked	Unknown	-	13.19	-	-	G3	SYBR Green I	 	1.91	4.87	None			76
255;0;0;255	G3	12-170	TELO	13.04	0.21	-	Positive	Unchecked	Unknown	-	13.19	-	-	G3	SYBR Green I	 	1.83	4.68	None			75
255;0;0;255	H8	17-340	TELO	12.16	0.18	-	Positive	Unchecked	Unknown	-	12.29	-	-	H7	SYBR Green I	 	1.84	4.63	None			92
255;0;0;255	H7	17-340	TELO	12.41	0.18	-	Positive	Unchecked	Unknown	-	12.29	-	-	H7	SYBR Green I	 	1.74	4.67	None			91
255;0;255;0	G2	GB	TELO	18.32	0.17	-	Positive	Unchecked	Positive control	-	18.34	-	-	F1	SYBR Green I	 	2.36	6.12	None			74
255;0;255;0	G1	GB	TELO	18.52	0.17	-	Positive	Unchecked	Positive control	-	18.34	-	-	F1	SYBR Green I	 	2.46	6.23	None			73
255;0;255;0	F2	GB	TELO	18.19	0.17	-	Positive	Unchecked	Positive control	-	18.34	-	-	F1	SYBR Green I	 	2.23	6.02	None			62
255;0;0;255	F6	14-212	TELO	13.20	0.15	-	Positive	Unchecked	Unknown	-	13.31	-	-	F5	SYBR Green I	 	1.96	4.91	None			66
255;0;0;255	F5	14-212	TELO	13.41	0.15	-	Positive	Unchecked	Unknown	-	13.31	-	-	F5	SYBR Green I	 	2.05	4.95	None			65
255;0;0;255	G6	14-219	TELO	13.56	0.15	-	Positive	Unchecked	Unknown	-	13.67	-	-	G5	SYBR Green I	 	2.02	4.91	None			78
255;0;0;255	G5	14-219	TELO	13.77	0.15	-	Positive	Unchecked	Unknown	-	13.67	-	-	G5	SYBR Green I	 	2.08	4.91	None			77
255;0;0;255	A10	17-301	TELO	13.45	0.14	-	Positive	Unchecked	Unknown	-	13.35	-	-	A9	SYBR Green I	 	1.79	4.74	None			10
255;0;0;255	A9	17-301	TELO	13.25	0.14	-	Positive	Unchecked	Unknown	-	13.35	-	-	A9	SYBR Green I	 	1.84	4.77	None			9
255;0;0;255	C12	11-209	TELO	13.02	0.13	-	Positive	Unchecked	Unknown	-	13.11	-	-	C11	SYBR Green I	 	1.87	4.62	None			36
255;0;0;255	C11	11-209	TELO	13.20	0.13	-	Positive	Unchecked	Unknown	-	13.11	-	-	C11	SYBR Green I	 	1.88	4.76	None			35
255;0;0;255	H4	13-231	TELO	13.93	0.12	-	Positive	Unchecked	Unknown	-	14.02	-	-	H3	SYBR Green I	 	2.03	4.99	None			88
255;0;0;255	H3	13-231	TELO	14.10	0.12	-	Positive	Unchecked	Unknown	-	14.02	-	-	H3	SYBR Green I	 	2.01	4.99	None			87
