Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	F6	18-030	TELO	13.96	0.80	-	Positive	Unchecked	Unknown	-	14.53	-	-	F5	SYBR Green I	 	1.98	5.00	None			66
255;0;0;255	F5	18-030	TELO	15.09	0.80	-	Positive	Unchecked	Unknown	-	14.53	-	-	F5	SYBR Green I	 	2.13	5.10	None			65
255;0;0;255	F12	06-181	TELO	13.69	0.70	-	Positive	Unchecked	Unknown	-	14.19	-	-	F11	SYBR Green I	 	1.83	4.65	None			72
255;0;0;255	F11	06-181	TELO	14.68	0.70	-	Positive	Unchecked	Unknown	-	14.19	-	-	F11	SYBR Green I	 	2.04	4.95	None			71
255;0;0;255	E6	18-025	TELO	12.26	0.70	-	Positive	Unchecked	Unknown	-	11.77	-	-	E5	SYBR Green I	 	1.77	4.65	None			54
255;0;0;255	E5	18-025	TELO	11.27	0.70	-	Positive	Unchecked	Unknown	-	11.77	-	-	E5	SYBR Green I	 	1.77	4.63	None			53
255;0;0;255	G12	08-137	TELO	16.00	0.68	-	Positive	Unchecked	Unknown	-	16.48	-	-	G11	SYBR Green I	 	1.76	4.65	None			84
255;0;0;255	G11	08-137	TELO	16.96	0.68	-	Positive	Unchecked	Unknown	-	16.48	-	-	G11	SYBR Green I	 	2.18	5.11	None			83
255;0;0;255	E10	18-091	TELO	13.01	0.67	-	Positive	Unchecked	Unknown	-	13.49	-	-	E9	SYBR Green I	 	1.85	4.69	None			58
255;0;0;255	E9	18-091	TELO	13.96	0.67	-	Positive	Unchecked	Unknown	-	13.49	-	-	E9	SYBR Green I	 	1.87	4.80	None			57
255;0;0;255	A6	18-090	TELO	14.53	0.45	-	Positive	Unchecked	Unknown	-	14.21	-	-	A5	SYBR Green I	 	2.01	4.82	None			6
255;0;0;255	A5	18-090	TELO	13.89	0.45	-	Positive	Unchecked	Unknown	-	14.21	-	-	A5	SYBR Green I	 	1.81	4.77	None			5
255;0;0;255	E12	06-179	TELO	13.61	0.34	-	Positive	Unchecked	Unknown	-	13.85	-	-	E11	SYBR Green I	 	2.01	4.80	None			60
255;0;0;255	E11	06-179	TELO	14.09	0.34	-	Positive	Unchecked	Unknown	-	13.85	-	-	E11	SYBR Green I	 	1.98	4.73	None			59
255;0;0;255	A8	18-055	TELO	13.97	0.33	-	Positive	Unchecked	Unknown	-	14.20	-	-	A7	SYBR Green I	 	1.85	4.84	None			8
255;0;0;255	A7	18-055	TELO	14.43	0.33	-	Positive	Unchecked	Unknown	-	14.20	-	-	A7	SYBR Green I	 	2.04	5.02	None			7
255;0;0;255	D8	18-039	TELO	14.57	0.31	-	Positive	Unchecked	Unknown	-	14.35	-	-	D7	SYBR Green I	 	1.91	4.81	None			44
255;0;0;255	D7	18-039	TELO	14.13	0.31	-	Positive	Unchecked	Unknown	-	14.35	-	-	D7	SYBR Green I	 	1.86	4.71	None			43
255;0;0;255	G4	18-010	TELO	14.70	0.28	-	Positive	Unchecked	Unknown	-	14.50	-	-	G3	SYBR Green I	 	2.08	5.06	None			76
255;0;0;255	G3	18-010	TELO	14.30	0.28	-	Positive	Unchecked	Unknown	-	14.50	-	-	G3	SYBR Green I	 	1.93	5.05	None			75
255;0;0;255	A4	18-085	TELO	15.79	0.25	-	Positive	Unchecked	Unknown	-	15.61	-	-	A3	SYBR Green I	 	2.18	5.00	None			4
255;0;0;255	A3	18-085	TELO	15.43	0.25	-	Positive	Unchecked	Unknown	-	15.61	-	-	A3	SYBR Green I	 	2.03	4.97	None			3
255;0;0;255	G8	18-057	TELO	14.79	0.24	-	Positive	Unchecked	Unknown	-	14.62	-	-	G7	SYBR Green I	 	1.95	4.97	None			80
255;0;0;255	G7	18-057	TELO	14.45	0.24	-	Positive	Unchecked	Unknown	-	14.62	-	-	G7	SYBR Green I	 	1.89	4.92	None			79
255;0;0;255	C10	18-083	TELO	14.50	0.24	-	Positive	Unchecked	Unknown	-	14.33	-	-	C9	SYBR Green I	 	1.95	4.94	None			34
255;0;0;255	C9	18-083	TELO	14.16	0.24	-	Positive	Unchecked	Unknown	-	14.33	-	-	C9	SYBR Green I	 	1.86	4.81	None			33
255;0;0;255	F8	18-056	TELO	15.16	0.20	-	Positive	Unchecked	Unknown	-	15.02	-	-	F7	SYBR Green I	 	2.02	4.94	None			68
255;0;0;255	F7	18-056	TELO	14.88	0.20	-	Positive	Unchecked	Unknown	-	15.02	-	-	F7	SYBR Green I	 	1.94	4.94	None			67
255;0;0;255	B8	18-061	TELO	14.69	0.18	-	Positive	Unchecked	Unknown	-	14.57	-	-	B7	SYBR Green I	 	2.07	4.96	None			20
255;0;0;255	B7	18-061	TELO	14.44	0.18	-	Positive	Unchecked	Unknown	-	14.57	-	-	B7	SYBR Green I	 	2.02	4.96	None			19
255;0;0;255	B2	18-071	TELO	14.98	0.17	-	Positive	Unchecked	Unknown	-	14.86	-	-	B1	SYBR Green I	 	2.07	4.96	None			14
255;0;0;255	B1	18-071	TELO	14.74	0.17	-	Positive	Unchecked	Unknown	-	14.86	-	-	B1	SYBR Green I	 	2.24	5.08	None			13
255;0;0;255	B10	18-075	TELO	14.61	0.16	-	Positive	Unchecked	Unknown	-	14.50	-	-	B9	SYBR Green I	 	2.02	4.94	None			22
255;0;0;255	B9	18-075	TELO	14.38	0.16	-	Positive	Unchecked	Unknown	-	14.50	-	-	B9	SYBR Green I	 	1.98	4.96	None			21
255;0;0;255	E4	18-001	TELO	13.19	0.15	-	Positive	Unchecked	Unknown	-	13.09	-	-	E3	SYBR Green I	 	1.91	4.76	None			52
255;0;0;255	E3	18-001	TELO	12.98	0.15	-	Positive	Unchecked	Unknown	-	13.09	-	-	E3	SYBR Green I	 	1.92	4.81	None			51
255;0;0;255	H8	18-059	TELO	15.05	0.14	-	Positive	Unchecked	Unknown	-	14.95	-	-	H7	SYBR Green I	 	2.03	5.05	None			92
255;0;0;255	H7	18-059	TELO	14.85	0.14	-	Positive	Unchecked	Unknown	-	14.95	-	-	H7	SYBR Green I	 	1.90	4.96	None			91
255;0;0;255	F4	18-009	TELO	15.06	0.14	-	Positive	Unchecked	Unknown	-	14.96	-	-	F3	SYBR Green I	 	2.06	5.06	None			64
255;0;0;255	F3	18-009	TELO	14.86	0.14	-	Positive	Unchecked	Unknown	-	14.96	-	-	F3	SYBR Green I	 	2.03	5.10	None			63
255;0;0;255	A12	06-096	TELO	15.37	0.13	-	Positive	Unchecked	Unknown	-	15.47	-	-	A11	SYBR Green I	 	1.99	4.84	None			12
255;0;0;255	A11	06-096	TELO	15.56	0.13	-	Positive	Unchecked	Unknown	-	15.47	-	-	A11	SYBR Green I	 	2.03	4.94	None			11
255;0;0;255	A10	18-068	TELO	12.11	0.13	-	Positive	Unchecked	Unknown	-	12.21	-	-	A9	SYBR Green I	 	1.51	4.47	None			10
255;0;0;255	A9	18-068	TELO	12.30	0.13	-	Positive	Unchecked	Unknown	-	12.21	-	-	A9	SYBR Green I	 	1.63	4.63	None			9
