Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G8	08-057	TELO	14.88	0.57	-	Positive	Unchecked	Unknown	-	14.48	-	-	G7	SYBR Green I	 	1.75	4.70	None			80
255;0;0;255	G7	08-057	TELO	14.08	0.57	-	Positive	Unchecked	Unknown	-	14.48	-	-	G7	SYBR Green I	 	1.47	4.43	None			79
255;0;0;255	E4	08-011	TELO	12.04	0.35	-	Positive	Unchecked	Unknown	-	12.29	-	-	E3	SYBR Green I	 	1.50	4.22	None			52
255;0;0;255	E3	08-011	TELO	12.54	0.35	-	Positive	Unchecked	Unknown	-	12.29	-	-	E3	SYBR Green I	 	1.50	4.35	None			51
255;0;0;255	F6	08-035	TELO	13.58	0.30	-	Positive	Unchecked	Unknown	-	13.80	-	-	F5	SYBR Green I	 	1.57	4.35	None			66
255;0;0;255	F5	08-035	TELO	14.01	0.30	-	Positive	Unchecked	Unknown	-	13.80	-	-	F5	SYBR Green I	 	1.55	4.49	None			65
255;0;0;255	E8	08-053	TELO	15.11	0.27	-	Positive	Unchecked	Unknown	-	15.30	-	-	E7	SYBR Green I	 	1.46	4.51	None			56
255;0;0;255	E7	08-053	TELO	15.49	0.27	-	Positive	Unchecked	Unknown	-	15.30	-	-	E7	SYBR Green I	 	1.38	4.60	None			55
255;0;0;255	C6	08-027	TELO	11.38	0.25	-	Positive	Unchecked	Unknown	-	11.56	-	-	C5	SYBR Green I	 	1.44	4.26	None			30
255;0;0;255	C5	08-027	TELO	11.73	0.25	-	Positive	Unchecked	Unknown	-	11.56	-	-	C5	SYBR Green I	 	1.42	4.37	None			29
255;0;0;255	F8	08-054	TELO	14.19	0.21	-	Positive	Unchecked	Unknown	-	14.34	-	-	F7	SYBR Green I	 	1.51	4.37	None			68
255;0;0;255	F7	08-054	TELO	14.48	0.21	-	Positive	Unchecked	Unknown	-	14.34	-	-	F7	SYBR Green I	 	1.49	4.30	None			67
255;0;0;255	F4	08-018	TELO	14.69	0.20	-	Positive	Unchecked	Unknown	-	14.83	-	-	F3	SYBR Green I	 	1.55	4.49	None			64
255;0;0;255	F3	08-018	TELO	14.97	0.20	-	Positive	Unchecked	Unknown	-	14.83	-	-	F3	SYBR Green I	 	1.51	4.57	None			63
255;0;0;255	D4	08-009	TELO	12.41	0.18	-	Positive	Unchecked	Unknown	-	12.28	-	-	D3	SYBR Green I	 	1.54	4.45	None			40
255;0;0;255	D3	08-009	TELO	12.15	0.18	-	Positive	Unchecked	Unknown	-	12.28	-	-	D3	SYBR Green I	 	1.54	4.53	None			39
255;0;0;255	D6	08-031	TELO	13.90	0.18	-	Positive	Unchecked	Unknown	-	13.78	-	-	D5	SYBR Green I	 	1.56	4.41	None			42
255;0;0;255	D5	08-031	TELO	13.65	0.18	-	Positive	Unchecked	Unknown	-	13.78	-	-	D5	SYBR Green I	 	1.53	4.30	None			41
255;0;0;255	G12	08-102	TELO	12.80	0.15	-	Positive	Unchecked	Unknown	-	12.91	-	-	G11	SYBR Green I	 	1.50	4.33	None			84
255;0;0;255	G11	08-102	TELO	13.01	0.15	-	Positive	Unchecked	Unknown	-	12.91	-	-	G11	SYBR Green I	 	1.44	4.44	None			83
255;0;255;0	G2	GB	TELO	19.45	0.13	-	Positive	Unchecked	Positive control	-	19.40	-	-	F1	SYBR Green I	 	1.73	5.46	None			74
255;0;255;0	G1	GB	TELO	19.49	0.13	-	Positive	Unchecked	Positive control	-	19.40	-	-	F1	SYBR Green I	 	1.81	5.52	None			73
255;0;255;0	F2	GB	TELO	19.20	0.13	-	Positive	Unchecked	Positive control	-	19.40	-	-	F1	SYBR Green I	 	1.55	5.26	None			62
255;0;255;0	F1	GB	TELO	19.45	0.13	-	Positive	Unchecked	Positive control	-	19.40	-	-	F1	SYBR Green I	 	1.71	5.38	None			61
255;0;0;255	A4	08-136	TELO	12.96	0.13	-	Positive	Unchecked	Unknown	-	12.87	-	-	A3	SYBR Green I	 	1.56	4.32	None			4
