Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G4	06-218	TELO	20.11	0.50	-	Positive	Unchecked	Unknown	-	20.47	-	-	G3	SYBR Green I	 	1.54	5.64	None			76
255;0;0;255	G3	06-218	TELO	20.82	0.50	-	Positive	Unchecked	Unknown	-	20.47	-	-	G3	SYBR Green I	 	1.65	5.69	None			75
255;0;0;255	E4	06-215	TELO	14.09	0.35	-	Positive	Unchecked	Unknown	-	13.85	-	-	E3	SYBR Green I	 	1.57	4.75	None			52
255;0;0;255	E3	06-215	TELO	13.60	0.35	-	Positive	Unchecked	Unknown	-	13.85	-	-	E3	SYBR Green I	 	1.59	4.64	None			51
255;0;0;255	A4	06-207	TELO	14.24	0.35	-	Positive	Unchecked	Unknown	-	14.49	-	-	A3	SYBR Green I	 	1.59	4.45	None			4
255;0;0;255	A3	06-207	TELO	14.73	0.35	-	Positive	Unchecked	Unknown	-	14.49	-	-	A3	SYBR Green I	 	1.52	4.58	None			3
255;0;0;255	H4	06-216	TELO	14.69	0.15	-	Positive	Unchecked	Unknown	-	14.80	-	-	H3	SYBR Green I	 	1.59	4.84	None			88
255;0;0;255	H3	06-216	TELO	14.90	0.15	-	Positive	Unchecked	Unknown	-	14.80	-	-	H3	SYBR Green I	 	1.56	5.02	None			87
255;0;0;255	B2	06-203	TELO	14.25	0.15	-	Positive	Unchecked	Unknown	-	14.15	-	-	B1	SYBR Green I	 	1.61	4.55	None			14
255;0;0;255	B1	06-203	TELO	14.04	0.15	-	Positive	Unchecked	Unknown	-	14.15	-	-	B1	SYBR Green I	 	1.73	4.57	None			13
255;0;0;255	D2	06-206	TELO	13.70	0.15	-	Positive	Unchecked	Unknown	-	13.60	-	-	D1	SYBR Green I	 	1.60	4.66	None			38
255;0;0;255	D1	06-206	TELO	13.49	0.15	-	Positive	Unchecked	Unknown	-	13.60	-	-	D1	SYBR Green I	 	1.68	4.63	None			37
255;0;0;255	A10	10-226	TELO	14.27	0.14	-	Positive	Unchecked	Unknown	-	14.17	-	-	A9	SYBR Green I	 	1.40	4.52	None			10
255;0;0;255	A9	10-226	TELO	14.07	0.14	-	Positive	Unchecked	Unknown	-	14.17	-	-	A9	SYBR Green I	 	1.51	4.52	None			9
255;0;0;255	G6	06-227	TELO	13.58	0.13	-	Positive	Unchecked	Unknown	-	13.49	-	-	G5	SYBR Green I	 	1.59	4.66	None			78
255;0;0;255	G5	06-227	TELO	13.39	0.13	-	Positive	Unchecked	Unknown	-	13.49	-	-	G5	SYBR Green I	 	1.60	4.54	None			77
255;0;0;255	F6	06-226	TELO	13.00	0.13	-	Positive	Unchecked	Unknown	-	13.10	-	-	F5	SYBR Green I	 	1.51	4.63	None			66
255;0;0;255	F5	06-226	TELO	13.19	0.13	-	Positive	Unchecked	Unknown	-	13.10	-	-	F5	SYBR Green I	 	1.54	4.62	None			65
255;0;0;255	G12	12-082	TELO	18.32	0.13	-	Positive	Unchecked	Unknown	-	18.41	-	-	G11	SYBR Green I	 	1.52	5.37	None			84
255;0;0;255	G11	12-082	TELO	18.50	0.13	-	Positive	Unchecked	Unknown	-	18.41	-	-	G11	SYBR Green I	 	1.48	5.37	None			83
255;0;0;255	E10	12-011	TELO	14.77	0.13	-	Positive	Unchecked	Unknown	-	14.86	-	-	E9	SYBR Green I	 	1.48	4.50	None			58
255;0;0;255	E9	12-011	TELO	14.95	0.13	-	Positive	Unchecked	Unknown	-	14.86	-	-	E9	SYBR Green I	 	1.55	4.48	None			57
255;0;0;255	D12	12-029	TELO	15.84	0.13	-	Positive	Unchecked	Unknown	-	15.93	-	-	D11	SYBR Green I	 	1.62	4.65	None			48
255;0;0;255	D11	12-029	TELO	16.02	0.13	-	Positive	Unchecked	Unknown	-	15.93	-	-	D11	SYBR Green I	 	1.58	4.63	None			47
255;0;0;255	A12	10-223	TELO	15.28	0.12	-	Positive	Unchecked	Unknown	-	15.20	-	-	A11	SYBR Green I	 	1.48	4.40	None			12
255;0;0;255	A11	10-223	TELO	15.11	0.12	-	Positive	Unchecked	Unknown	-	15.20	-	-	A11	SYBR Green I	 	1.45	4.53	None			11
255;0;0;255	C6	06-222	TELO	14.45	0.11	-	Positive	Unchecked	Unknown	-	14.37	-	-	C5	SYBR Green I	 	1.70	4.57	None			30
255;0;0;255	C5	06-222	TELO	14.29	0.11	-	Positive	Unchecked	Unknown	-	14.37	-	-	C5	SYBR Green I	 	1.68	4.64	None			29
255;0;0;255	B4	06-208	TELO	14.57	0.10	-	Positive	Unchecked	Unknown	-	14.64	-	-	B3	SYBR Green I	 	1.56	4.55	None			16
255;0;0;255	B3	06-208	TELO	14.71	0.10	-	Positive	Unchecked	Unknown	-	14.64	-	-	B3	SYBR Green I	 	1.51	4.65	None			15
255;0;0;255	F12	12-032	TELO	15.46	0.09	-	Positive	Unchecked	Unknown	-	15.40	-	-	F11	SYBR Green I	 	1.62	4.68	None			72
255;0;0;255	F11	12-032	TELO	15.33	0.09	-	Positive	Unchecked	Unknown	-	15.40	-	-	F11	SYBR Green I	 	1.61	4.76	None			71
255;0;0;255	B10	10-291	TELO	15.04	0.09	-	Positive	Unchecked	Unknown	-	15.11	-	-	B9	SYBR Green I	 	1.47	4.61	None			22
255;0;0;255	B9	10-291	TELO	15.17	0.09	-	Positive	Unchecked	Unknown	-	15.11	-	-	B9	SYBR Green I	 	1.49	4.59	None			21
255;0;0;255	F4	06-217	TELO	13.70	0.08	-	Positive	Unchecked	Unknown	-	13.76	-	-	F3	SYBR Green I	 	1.60	4.63	None			64
255;0;0;255	F3	06-217	TELO	13.82	0.08	-	Positive	Unchecked	Unknown	-	13.76	-	-	F3	SYBR Green I	 	1.59	4.68	None			63
255;0;0;255	H6	06-228	TELO	13.79	0.08	-	Positive	Unchecked	Unknown	-	13.85	-	-	H5	SYBR Green I	 	1.34	5.74	None			90
255;0;0;255	H5	06-228	TELO	13.90	0.08	-	Positive	Unchecked	Unknown	-	13.85	-	-	H5	SYBR Green I	 	1.41	5.79	None			89
255;0;0;255	D10	12-009	TELO	14.27	0.08	-	Positive	Unchecked	Unknown	-	14.33	-	-	D9	SYBR Green I	 	1.46	4.43	None			46
255;0;0;255	D9	12-009	TELO	14.38	0.08	-	Positive	Unchecked	Unknown	-	14.33	-	-	D9	SYBR Green I	 	1.47	4.40	None			45
255;0;0;255	D8	06-234	TELO	12.62	0.08	-	Positive	Unchecked	Unknown	-	12.57	-	-	D7	SYBR Green I	 	1.53	4.43	None			44
255;0;0;255	D7	06-234	TELO	12.51	0.08	-	Positive	Unchecked	Unknown	-	12.57	-	-	D7	SYBR Green I	 	1.54	4.49	None			43
255;0;0;255	C4	06-211	TELO	12.49	0.07	-	Positive	Unchecked	Unknown	-	12.54	-	-	C3	SYBR Green I	 	1.59	4.55	None			28
255;0;0;255	C3	06-211	TELO	12.59	0.07	-	Positive	Unchecked	Unknown	-	12.54	-	-	C3	SYBR Green I	 	1.59	4.57	None			27
255;0;0;255	B12	10-085	TELO	15.06	0.07	-	Positive	Unchecked	Unknown	-	15.01	-	-	B11	SYBR Green I	 	1.60	4.56	None			24
255;0;0;255	B11	10-085	TELO	14.96	0.07	-	Positive	Unchecked	Unknown	-	15.01	-	-	B11	SYBR Green I	 	1.52	4.60	None			23
255;0;0;255	H12	12-079	TELO	15.35	0.06	-	Positive	Unchecked	Unknown	-	15.31	-	-	H11	SYBR Green I	 	1.35	4.39	None			96
255;0;0;255	H11	12-079	TELO	15.26	0.06	-	Positive	Unchecked	Unknown	-	15.31	-	-	H11	SYBR Green I	 	1.40	4.70	None			95
255;0;0;255	G8	06-237	TELO	13.46	0.06	-	Positive	Unchecked	Unknown	-	13.51	-	-	G7	SYBR Green I	 	1.45	4.49	None			80
255;0;0;255	G7	06-237	TELO	13.55	0.06	-	Positive	Unchecked	Unknown	-	13.51	-	-	G7	SYBR Green I	 	1.46	4.56	None			79
255;0;0;255	A2	06-202	TELO	15.06	0.06	-	Positive	Unchecked	Unknown	-	15.10	-	-	A1	SYBR Green I	 	1.56	4.82	None			2
255;0;0;255	A1	06-202	TELO	15.14	0.06	-	Positive	Unchecked	Unknown	-	15.10	-	-	A1	SYBR Green I	 	1.51	4.66	None			1
255;0;0;255	C8	06-232	TELO	12.18	0.06	-	Positive	Unchecked	Unknown	-	12.14	-	-	C7	SYBR Green I	 	1.54	4.38	None			32
255;0;0;255	C7	06-232	TELO	12.10	0.06	-	Positive	Unchecked	Unknown	-	12.14	-	-	C7	SYBR Green I	 	1.53	4.41	None			31
