Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A4	11-204	TELO	14.73	0.86	-	Positive	Unchecked	Unknown	-	14.12	-	-	A3	SYBR Green I	 	1.97	5.24	None			4
255;0;0;255	A3	11-204	TELO	13.51	0.86	-	Positive	Unchecked	Unknown	-	14.12	-	-	A3	SYBR Green I	 	1.85	5.01	None			3
255;0;0;255	C4	11-191	TELO	13.89	0.37	-	Positive	Unchecked	Unknown	-	14.15	-	-	C3	SYBR Green I	 	1.77	5.10	None			28
255;0;0;255	C3	11-191	TELO	14.41	0.37	-	Positive	Unchecked	Unknown	-	14.15	-	-	C3	SYBR Green I	 	1.88	5.12	None			27
255;0;0;255	D4	15-185	TELO	14.75	0.25	-	Positive	Unchecked	Unknown	-	14.93	-	-	D3	SYBR Green I	 	1.84	5.08	None			40
255;0;0;255	D3	15-185	TELO	15.11	0.25	-	Positive	Unchecked	Unknown	-	14.93	-	-	D3	SYBR Green I	 	1.89	5.19	None			39
255;0;0;255	B4	11-190	TELO	14.84	0.25	-	Positive	Unchecked	Unknown	-	15.02	-	-	B3	SYBR Green I	 	1.82	5.03	None			16
255;0;0;255	B3	11-190	TELO	15.20	0.25	-	Positive	Unchecked	Unknown	-	15.02	-	-	B3	SYBR Green I	 	1.80	4.96	None			15
255;0;0;255	D2	08-005	TELO	17.05	0.13	-	Positive	Unchecked	Unknown	-	16.96	-	-	D1	SYBR Green I	 	1.76	5.94	None			38
255;0;0;255	D1	08-005	TELO	16.86	0.13	-	Positive	Unchecked	Unknown	-	16.96	-	-	D1	SYBR Green I	 	1.84	6.02	None			37
255;0;0;255	E4	15-189	TELO	14.15	0.10	-	Positive	Unchecked	Unknown	-	14.22	-	-	E3	SYBR Green I	 	1.78	5.04	None			52
255;0;0;255	E3	15-189	TELO	14.29	0.10	-	Positive	Unchecked	Unknown	-	14.22	-	-	E3	SYBR Green I	 	1.86	5.05	None			51
255;0;0;255	F4	11-258	TELO	17.30	0.08	-	Positive	Unchecked	Unknown	-	17.36	-	-	F3	SYBR Green I	 	2.00	6.04	None			64
255;0;0;255	F3	11-258	TELO	17.42	0.08	-	Positive	Unchecked	Unknown	-	17.36	-	-	F3	SYBR Green I	 	2.07	6.06	None			63
255;0;0;255	G4	16-045	TELO	14.97	0.07	-	Positive	Unchecked	Unknown	-	15.02	-	-	G3	SYBR Green I	 	1.98	5.16	None			76
255;0;0;255	G3	16-045	TELO	15.07	0.07	-	Positive	Unchecked	Unknown	-	15.02	-	-	G3	SYBR Green I	 	1.94	5.12	None			75
255;0;255;0	G2	GB	TELO	20.28	0.04	-	Positive	Unchecked	Positive control	-	20.34	-	-	F1	SYBR Green I	 	2.29	6.22	None			74
255;0;255;0	G1	GB	TELO	20.38	0.04	-	Positive	Unchecked	Positive control	-	20.34	-	-	F1	SYBR Green I	 	2.40	6.23	None			73
255;0;255;0	F2	GB	TELO	20.33	0.04	-	Positive	Unchecked	Positive control	-	20.34	-	-	F1	SYBR Green I	 	2.35	6.25	None			62
255;0;255;0	F1	GB	TELO	20.35	0.04	-	Positive	Unchecked	Positive control	-	20.34	-	-	F1	SYBR Green I	 	2.50	6.33	None			61
255;255;0;0	E2	13-054	TELO	19.12	0.04	-	Positive	Unchecked	Unknown	-	19.15	-	-	E1	SYBR Green I	 	2.28	6.15	None			50
255;255;0;0	E1	13-054	TELO	19.17	0.04	-	Positive	Unchecked	Unknown	-	19.15	-	-	E1	SYBR Green I	 	2.40	6.23	None			49
255;0;0;255	B2	11-202	TELO	16.48	0.04	-	Positive	Unchecked	Unknown	-	16.51	-	-	B1	SYBR Green I	 	2.00	5.67	None			14
255;0;0;255	B1	11-202	TELO	16.53	0.04	-	Positive	Unchecked	Unknown	-	16.51	-	-	B1	SYBR Green I	 	2.25	5.67	None			13
255;0;0;255	A2	12-374	TELO	15.71	0.04	-	Positive	Unchecked	Unknown	-	15.74	-	-	A1	SYBR Green I	 	1.55	5.16	None			2
255;0;0;255	A1	12-374	TELO	15.76	0.04	-	Positive	Unchecked	Unknown	-	15.74	-	-	A1	SYBR Green I	 	1.63	5.12	None			1
255;0;0;255	H4	18-028	TELO	16.18	0.02	-	Positive	Unchecked	Unknown	-	16.17	-	-	H3	SYBR Green I	 	1.66	6.02	None			88
255;0;0;255	H3	18-028	TELO	16.15	0.02	-	Positive	Unchecked	Unknown	-	16.17	-	-	H3	SYBR Green I	 	1.64	5.97	None			87
255;0;0;255	C2	07-032	TELO	16.27	0.02	-	Positive	Unchecked	Unknown	-	16.29	-	-	C1	SYBR Green I	 	1.57	5.86	None			26
255;0;0;255	C1	07-032	TELO	16.30	0.02	-	Positive	Unchecked	Unknown	-	16.29	-	-	C1	SYBR Green I	 	1.62	5.88	None			25
255;0;0;255	H12		TELO	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.02	0.34	None			96
255;0;0;255	H11		TELO	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.55	None			95
255;0;0;255	H10		TELO	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.51	None			94
255;0;0;255	H9		TELO	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.51	None			93
255;0;0;255	H8		TELO	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.01	0.23	None			92
255;0;0;255	H7		TELO	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.51	None			91
