Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	B6	10-079	TELO	15.60	0.49	-	Positive	Unchecked	Unknown	-	15.26	-	-	B5	SYBR Green I	 	1.67	5.06	None			18
255;0;0;255	B5	10-079	TELO	14.91	0.49	-	Positive	Unchecked	Unknown	-	15.26	-	-	B5	SYBR Green I	 	1.63	4.78	None			17
255;0;0;255	F6	10-288	TELO	13.02	0.42	-	Positive	Unchecked	Unknown	-	12.72	-	-	F5	SYBR Green I	 	1.58	4.75	None			66
255;0;0;255	F5	10-288	TELO	12.42	0.42	-	Positive	Unchecked	Unknown	-	12.72	-	-	F5	SYBR Green I	 	1.50	4.67	None			65
255;0;0;255	C8	10-200	TELO	13.68	0.35	-	Positive	Unchecked	Unknown	-	13.43	-	-	C7	SYBR Green I	 	1.58	4.64	None			32
255;0;0;255	C7	10-200	TELO	13.18	0.35	-	Positive	Unchecked	Unknown	-	13.43	-	-	C7	SYBR Green I	 	1.48	4.59	None			31
255;0;0;255	G8	10-243	TELO	14.28	0.34	-	Positive	Unchecked	Unknown	-	14.04	-	-	G7	SYBR Green I	 	1.62	4.83	None			80
255;0;0;255	G7	10-243	TELO	13.80	0.34	-	Positive	Unchecked	Unknown	-	14.04	-	-	G7	SYBR Green I	 	1.61	4.85	None			79
255;0;0;255	A4	11-255	TELO	14.86	0.33	-	Positive	Unchecked	Unknown	-	14.63	-	-	A3	SYBR Green I	 	1.68	5.01	None			4
255;0;0;255	A3	11-255	TELO	14.39	0.33	-	Positive	Unchecked	Unknown	-	14.63	-	-	A3	SYBR Green I	 	1.42	4.69	None			3
255;0;0;255	E10	12-020	TELO	14.23	0.31	-	Positive	Unchecked	Unknown	-	14.45	-	-	E9	SYBR Green I	 	1.51	4.71	None			58
255;0;0;255	E9	12-020	TELO	14.67	0.31	-	Positive	Unchecked	Unknown	-	14.45	-	-	E9	SYBR Green I	 	1.57	4.67	None			57
255;0;0;255	A10	11-201	TELO	13.74	0.28	-	Positive	Unchecked	Unknown	-	13.94	-	-	A9	SYBR Green I	 	1.42	4.83	None			10
255;0;0;255	A9	11-201	TELO	14.13	0.28	-	Positive	Unchecked	Unknown	-	13.94	-	-	A9	SYBR Green I	 	1.57	4.89	None			9
255;0;0;255	G6	10-289	TELO	13.54	0.25	-	Positive	Unchecked	Unknown	-	13.36	-	-	G5	SYBR Green I	 	1.60	4.83	None			78
255;0;0;255	G5	10-289	TELO	13.18	0.25	-	Positive	Unchecked	Unknown	-	13.36	-	-	G5	SYBR Green I	 	1.58	4.82	None			77
255;0;0;255	A12	12-010	TELO	15.31	0.22	-	Positive	Unchecked	Unknown	-	15.16	-	-	A11	SYBR Green I	 	1.69	4.83	None			12
