Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	B12	12-075	TELO	17.34	7.24	-	Positive	Unchecked	Unknown	-	22.46	-	-	B11	SYBR Green I	 	1.38	5.44	None			24
255;0;0;255	B11	12-075	TELO	27.58	7.24	-	Positive	Unchecked	Unknown	-	22.46	-	-	B11	SYBR Green I	 	0.51	1.79	None			23
255;0;0;255	E4	12-374	TELO	13.05	0.48	-	Positive	Unchecked	Unknown	-	13.39	-	-	E3	SYBR Green I	 	1.56	4.68	None			52
255;0;0;255	E3	12-374	TELO	13.73	0.48	-	Positive	Unchecked	Unknown	-	13.39	-	-	E3	SYBR Green I	 	1.36	4.78	None			51
255;0;255;0	G2	GB	TELO	18.21	0.34	-	Positive	Unchecked	Positive control	-	18.20	-	-	F1	SYBR Green I	 	2.28	6.14	None			74
255;0;255;0	G1	GB	TELO	17.78	0.34	-	Positive	Unchecked	Positive control	-	18.20	-	-	F1	SYBR Green I	 	2.33	6.22	None			73
255;0;255;0	F2	GB	TELO	18.20	0.34	-	Positive	Unchecked	Positive control	-	18.20	-	-	F1	SYBR Green I	 	2.26	6.14	None			62
255;0;255;0	F1	GB	TELO	18.62	0.34	-	Positive	Unchecked	Positive control	-	18.20	-	-	F1	SYBR Green I	 	2.32	6.19	None			61
255;0;0;255	D6	10-038	TELO	12.52	0.33	-	Positive	Unchecked	Unknown	-	12.75	-	-	D5	SYBR Green I	 	1.77	4.80	None			42
255;0;0;255	D5	10-038	TELO	12.98	0.33	-	Positive	Unchecked	Unknown	-	12.75	-	-	D5	SYBR Green I	 	1.87	4.85	None			41
255;0;0;255	A10	12-045	TELO	12.48	0.22	-	Positive	Unchecked	Unknown	-	12.64	-	-	A9	SYBR Green I	 	1.41	4.63	None			10
255;0;0;255	A9	12-045	TELO	12.79	0.22	-	Positive	Unchecked	Unknown	-	12.64	-	-	A9	SYBR Green I	 	1.58	4.56	None			9
255;0;0;255	G6	10-068	TELO	15.57	0.17	-	Positive	Unchecked	Unknown	-	15.69	-	-	G5	SYBR Green I	 	1.90	5.01	None			78
255;0;0;255	G5	10-068	TELO	15.81	0.17	-	Positive	Unchecked	Unknown	-	15.69	-	-	G5	SYBR Green I	 	1.92	5.07	None			77
