Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	D6	18-036	TELO	14.92	1.41	-	Positive	Unchecked	Unknown	-	13.93	-	-	D5	SYBR Green I	 	1.96	4.97	None			42
255;0;0;255	D5	18-036	TELO	12.93	1.41	-	Positive	Unchecked	Unknown	-	13.93	-	-	D5	SYBR Green I	 	1.77	4.83	None			41
255;0;0;255	A8	08-023	TELO	14.42	0.37	-	Positive	Unchecked	Unknown	-	14.69	-	-	A7	SYBR Green I	 	1.94	4.93	None			8
255;0;0;255	A7	08-023	TELO	14.95	0.37	-	Positive	Unchecked	Unknown	-	14.69	-	-	A7	SYBR Green I	 	1.94	5.08	None			7
255;0;0;255	H4	17-302	TELO	13.35	0.33	-	Positive	Unchecked	Unknown	-	13.12	-	-	H3	SYBR Green I	 	1.97	5.03	None			88
255;0;0;255	H3	17-302	TELO	12.89	0.33	-	Positive	Unchecked	Unknown	-	13.12	-	-	H3	SYBR Green I	 	1.91	4.85	None			87
255;0;0;255	A4	17-089	TELO	14.37	0.31	-	Positive	Unchecked	Unknown	-	14.15	-	-	A3	SYBR Green I	 	1.96	4.91	None			4
255;0;0;255	A3	17-089	TELO	13.93	0.31	-	Positive	Unchecked	Unknown	-	14.15	-	-	A3	SYBR Green I	 	1.86	4.88	None			3
255;0;0;255	F6	18-099	TELO	12.77	0.28	-	Positive	Unchecked	Unknown	-	12.97	-	-	F5	SYBR Green I	 	1.82	4.87	None			66
255;0;0;255	F5	18-099	TELO	13.16	0.28	-	Positive	Unchecked	Unknown	-	12.97	-	-	F5	SYBR Green I	 	1.88	4.97	None			65
255;0;0;255	E4	17-170	TELO	14.06	0.18	-	Positive	Unchecked	Unknown	-	13.93	-	-	E3	SYBR Green I	 	1.92	4.94	None			52
255;0;0;255	E3	17-170	TELO	13.80	0.18	-	Positive	Unchecked	Unknown	-	13.93	-	-	E3	SYBR Green I	 	1.92	4.88	None			51
255;0;0;255	B4	17-090	TELO	13.19	0.18	-	Positive	Unchecked	Unknown	-	13.06	-	-	B3	SYBR Green I	 	1.96	4.95	None			16
255;0;0;255	B3	17-090	TELO	12.93	0.18	-	Positive	Unchecked	Unknown	-	13.06	-	-	B3	SYBR Green I	 	1.82	4.84	None			15
255;0;0;255	A6	17-329	TELO	13.89	0.12	-	Positive	Unchecked	Unknown	-	13.81	-	-	A5	SYBR Green I	 	1.79	4.73	None			6
255;0;0;255	A5	17-329	TELO	13.72	0.12	-	Positive	Unchecked	Unknown	-	13.81	-	-	A5	SYBR Green I	 	1.87	4.84	None			5
255;0;0;255	D4	17-212	TELO	13.44	0.12	-	Positive	Unchecked	Unknown	-	13.36	-	-	D3	SYBR Green I	 	1.96	4.94	None			40
