Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	D4	13-086	TELO	14.29	1.11	-	Positive	Unchecked	Unknown	-	15.08	-	-	D3	SYBR Green I	 	2.04	5.18	None			40
255;0;0;255	D3	13-086	TELO	15.86	1.11	-	Positive	Unchecked	Unknown	-	15.08	-	-	D3	SYBR Green I	 	0.69	2.90	None			39
255;0;0;255	A2	09-165	TELO	13.88	0.20	-	Positive	Unchecked	Unknown	-	14.02	-	-	A1	SYBR Green I	 	2.13	5.17	None			2
255;0;0;255	A1	09-165	TELO	14.16	0.20	-	Positive	Unchecked	Unknown	-	14.02	-	-	A1	SYBR Green I	 	2.23	5.11	None			1
255;0;0;255	A6	13-161	TELO	16.31	0.17	-	Positive	Unchecked	Unknown	-	16.43	-	-	A5	SYBR Green I	 	2.01	5.22	None			6
255;0;0;255	A5	13-161	TELO	16.55	0.17	-	Positive	Unchecked	Unknown	-	16.43	-	-	A5	SYBR Green I	 	2.20	5.31	None			5
255;0;0;255	G12	17-057	TELO	13.51	0.15	-	Positive	Unchecked	Unknown	-	13.62	-	-	G11	SYBR Green I	 	1.94	5.14	None			84
255;0;0;255	G11	17-057	TELO	13.72	0.15	-	Positive	Unchecked	Unknown	-	13.62	-	-	G11	SYBR Green I	 	1.90	5.05	None			83
255;0;0;255	A12	17-077	TELO	13.61	0.13	-	Positive	Unchecked	Unknown	-	13.70	-	-	A11	SYBR Green I	 	1.94	4.89	None			12
255;0;0;255	A11	17-077	TELO	13.79	0.13	-	Positive	Unchecked	Unknown	-	13.70	-	-	A11	SYBR Green I	 	2.05	5.07	None			11
255;0;0;255	E4	13-138	TELO	16.89	0.11	-	Positive	Unchecked	Unknown	-	16.82	-	-	E3	SYBR Green I	 	2.16	5.41	None			52
255;0;0;255	E3	13-138	TELO	16.74	0.11	-	Positive	Unchecked	Unknown	-	16.82	-	-	E3	SYBR Green I	 	2.12	5.34	None			51
255;0;0;255	B2	16-338	TELO	15.82	0.08	-	Positive	Unchecked	Unknown	-	15.76	-	-	B1	SYBR Green I	 	2.21	5.17	None			14
255;0;0;255	B1	16-338	TELO	15.70	0.08	-	Positive	Unchecked	Unknown	-	15.76	-	-	B1	SYBR Green I	 	2.31	5.24	None			13
255;0;0;255	H6	13-018	TELO	15.32	0.08	-	Positive	Unchecked	Unknown	-	15.27	-	-	H5	SYBR Green I	 	2.04	5.31	None			90
255;0;0;255	H5	13-018	TELO	15.21	0.08	-	Positive	Unchecked	Unknown	-	15.27	-	-	H5	SYBR Green I	 	2.04	5.26	None			89
255;0;0;255	E6	13-009	TELO	14.84	0.07	-	Positive	Unchecked	Unknown	-	14.79	-	-	E5	SYBR Green I	 	2.06	5.12	None			54
255;0;0;255	E5	13-009	TELO	14.74	0.07	-	Positive	Unchecked	Unknown	-	14.79	-	-	E5	SYBR Green I	 	2.04	5.10	None			53
255;0;0;255	F8	13-148	TELO	15.53	0.07	-	Positive	Unchecked	Unknown	-	15.48	-	-	F7	SYBR Green I	 	2.01	5.11	None			68
255;0;0;255	F7	13-148	TELO	15.43	0.07	-	Positive	Unchecked	Unknown	-	15.48	-	-	F7	SYBR Green I	 	2.04	5.09	None			67
255;0;0;255	C4	13-077	TELO	15.14	0.06	-	Positive	Unchecked	Unknown	-	15.10	-	-	C3	SYBR Green I	 	2.08	5.22	None			28
255;0;0;255	C3	13-077	TELO	15.05	0.06	-	Positive	Unchecked	Unknown	-	15.10	-	-	C3	SYBR Green I	 	2.07	5.28	None			27
255;0;0;255	E8	13-132	TELO	16.31	0.06	-	Positive	Unchecked	Unknown	-	16.36	-	-	E7	SYBR Green I	 	2.08	5.20	None			56
255;0;0;255	E7	13-132	TELO	16.40	0.06	-	Positive	Unchecked	Unknown	-	16.36	-	-	E7	SYBR Green I	 	2.14	5.20	None			55
255;0;0;255	G4	13-110	TELO	15.17	0.06	-	Positive	Unchecked	Unknown	-	15.21	-	-	G3	SYBR Green I	 	2.13	5.22	None			76
255;0;0;255	G3	13-110	TELO	15.25	0.06	-	Positive	Unchecked	Unknown	-	15.21	-	-	G3	SYBR Green I	 	2.15	5.21	None			75
255;0;0;255	C6	13-183	TELO	15.28	0.06	-	Positive	Unchecked	Unknown	-	15.24	-	-	C5	SYBR Green I	 	1.96	5.08	None			30
255;0;0;255	C5	13-183	TELO	15.20	0.06	-	Positive	Unchecked	Unknown	-	15.24	-	-	C5	SYBR Green I	 	1.96	5.08	None			29
