Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;34;176;146	D12	08-066	TELO	12.68	0.47	-	Positive	Unchecked	Unknown	-	12.35	-	-	D11	SYBR Green I	 	1.43	4.83	None			48
255;205;18;55	D11	08-066	TELO	12.01	0.47	-	Positive	Unchecked	Unknown	-	12.35	-	-	D11	SYBR Green I	 	1.42	4.61	None			47
255;250;215;15	A4	06-236	TELO	20.10	0.41	-	Positive	Unchecked	Unknown	-	20.39	-	-	A3	SYBR Green I	 	1.73	5.88	None			4
255;242;138;21	A3	06-236	TELO	20.68	0.41	-	Positive	Unchecked	Unknown	-	20.39	-	-	A3	SYBR Green I	 	1.50	5.51	None			3
255;242;138;21	F8	08-114	TELO	12.92	0.37	-	Positive	Unchecked	Unknown	-	13.18	-	-	F7	SYBR Green I	 	1.36	4.81	None			68
255;103;103;103	F7	08-114	TELO	13.44	0.37	-	Positive	Unchecked	Unknown	-	13.18	-	-	F7	SYBR Green I	 	1.38	5.02	None			67
255;234;79;79	H6	06-232	TELO	13.22	0.33	-	Positive	Unchecked	Unknown	-	13.45	-	-	H5	SYBR Green I	 	1.42	4.83	None			90
255;47;73;113	H5	06-232	TELO	13.68	0.33	-	Positive	Unchecked	Unknown	-	13.45	-	-	H5	SYBR Green I	 	1.49	4.88	None			89
255;47;73;113	A10	08-027	TELO	13.00	0.29	-	Positive	Unchecked	Unknown	-	13.21	-	-	A9	SYBR Green I	 	1.23	4.62	None			10
255;34;176;146	A9	08-027	TELO	13.41	0.29	-	Positive	Unchecked	Unknown	-	13.21	-	-	A9	SYBR Green I	 	1.32	4.89	None			9
255;234;79;79	B12	08-036	TELO	13.49	0.26	-	Positive	Unchecked	Unknown	-	13.68	-	-	B11	SYBR Green I	 	1.39	4.43	None			24
255;47;73;113	B11	08-036	TELO	13.86	0.26	-	Positive	Unchecked	Unknown	-	13.68	-	-	B11	SYBR Green I	 	1.34	4.63	None			23
