Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;34;176;146	H4	06-155	TELO	16.90	0.43	-	Positive	Unchecked	Unknown	-	17.21	-	-	H3	SYBR Green I	 	1.56	5.63	None			88
255;205;18;55	H3	06-155	TELO	17.51	0.43	-	Positive	Unchecked	Unknown	-	17.21	-	-	H3	SYBR Green I	 	1.51	5.63	None			87
255;242;138;21	H10	08-117	TELO	14.09	0.30	-	Positive	Unchecked	Unknown	-	14.31	-	-	H9	SYBR Green I	 	1.33	4.89	None			94
255;103;103;103	H9	08-117	TELO	14.52	0.30	-	Positive	Unchecked	Unknown	-	14.31	-	-	H9	SYBR Green I	 	1.41	5.01	None			93
255;66;41;24	G6	06-230	TELO	14.43	0.30	-	Positive	Unchecked	Unknown	-	14.22	-	-	G5	SYBR Green I	 	1.52	4.92	None			78
255;234;79;79	G5	06-230	TELO	14.00	0.30	-	Positive	Unchecked	Unknown	-	14.22	-	-	G5	SYBR Green I	 	1.54	4.73	None			77
255;205;18;55	E12	08-098	TELO	12.79	0.29	-	Positive	Unchecked	Unknown	-	13.00	-	-	E11	SYBR Green I	 	1.31	4.64	None			60
255;95;103;174	E11	08-098	TELO	13.20	0.29	-	Positive	Unchecked	Unknown	-	13.00	-	-	E11	SYBR Green I	 	1.28	4.65	None			59
255;132;197;238	H8	08-001	TELO	15.96	0.28	-	Positive	Unchecked	Unknown	-	16.16	-	-	H7	SYBR Green I	 	1.34	5.69	None			92
255;66;41;24	H7	08-001	TELO	16.35	0.28	-	Positive	Unchecked	Unknown	-	16.16	-	-	H7	SYBR Green I	 	1.33	5.68	None			91
255;234;79;79	F4	06-151	TELO	17.72	0.27	-	Positive	Unchecked	Unknown	-	17.91	-	-	F3	SYBR Green I	 	1.52	5.68	None			64
255;47;73;113	F3	06-151	TELO	18.10	0.27	-	Positive	Unchecked	Unknown	-	17.91	-	-	F3	SYBR Green I	 	1.48	5.65	None			63
255;180;73;149	E10	08-102	TELO	14.87	0.25	-	Positive	Unchecked	Unknown	-	15.05	-	-	E9	SYBR Green I	 	1.38	4.73	None			58
255;103;154;47	E9	08-102	TELO	15.23	0.25	-	Positive	Unchecked	Unknown	-	15.05	-	-	E9	SYBR Green I	 	1.31	4.77	None			57
255;234;79;79	H6	06-232	TELO	13.76	0.25	-	Positive	Unchecked	Unknown	-	13.94	-	-	H5	SYBR Green I	 	1.47	4.85	None			90
255;47;73;113	H5	06-232	TELO	14.11	0.25	-	Positive	Unchecked	Unknown	-	13.94	-	-	H5	SYBR Green I	 	1.51	5.05	None			89
255;132;197;238	B2	08-124	TELO	12.85	0.25	-	Positive	Unchecked	Unknown	-	12.68	-	-	B1	SYBR Green I	 	1.20	4.38	None			14
255;66;41;24	B1	08-124	TELO	12.50	0.25	-	Positive	Unchecked	Unknown	-	12.68	-	-	B1	SYBR Green I	 	1.33	4.20	None			13
255;250;215;15	E8	08-095	TELO	13.90	0.22	-	Positive	Unchecked	Unknown	-	14.06	-	-	E7	SYBR Green I	 	1.23	4.97	None			56
255;242;138;21	E7	08-095	TELO	14.21	0.22	-	Positive	Unchecked	Unknown	-	14.06	-	-	E7	SYBR Green I	 	1.23	5.15	None			55
255;103;103;103	E6	06-226	TELO	15.17	0.21	-	Positive	Unchecked	Unknown	-	15.03	-	-	E5	SYBR Green I	 	1.36	4.90	None			54
255;132;197;238	E5	06-226	TELO	14.88	0.21	-	Positive	Unchecked	Unknown	-	15.03	-	-	E5	SYBR Green I	 	1.49	4.93	None			53
255;103;154;47	D8	08-086	TELO	14.99	0.16	-	Positive	Unchecked	Unknown	-	14.88	-	-	D7	SYBR Green I	 	1.21	4.87	None			44
255;250;215;15	D7	08-086	TELO	14.76	0.16	-	Positive	Unchecked	Unknown	-	14.88	-	-	D7	SYBR Green I	 	1.30	4.99	None			43
255;242;138;21	F8	08-114	TELO	13.24	0.16	-	Positive	Unchecked	Unknown	-	13.35	-	-	F7	SYBR Green I	 	1.43	4.80	None			68
255;103;103;103	F7	08-114	TELO	13.46	0.16	-	Positive	Unchecked	Unknown	-	13.35	-	-	F7	SYBR Green I	 	1.40	4.95	None			67
255;66;41;24	E4	06-149	TELO	12.63	0.15	-	Positive	Unchecked	Unknown	-	12.53	-	-	E3	SYBR Green I	 	1.13	3.97	None			52
255;234;79;79	E3	06-149	TELO	12.42	0.15	-	Positive	Unchecked	Unknown	-	12.53	-	-	E3	SYBR Green I	 	1.12	4.01	None			51
255;34;176;146	D12	08-066	TELO	12.57	0.15	-	Positive	Unchecked	Unknown	-	12.47	-	-	D11	SYBR Green I	 	1.60	4.42	None			48
255;205;18;55	D11	08-066	TELO	12.36	0.15	-	Positive	Unchecked	Unknown	-	12.47	-	-	D11	SYBR Green I	 	1.47	4.27	None			47
255;95;103;174	B8	08-005	TELO	14.94	0.13	-	Positive	Unchecked	Unknown	-	14.85	-	-	B7	SYBR Green I	 	1.15	4.89	None			20
255;180;73;149	B7	08-005	TELO	14.75	0.13	-	Positive	Unchecked	Unknown	-	14.85	-	-	B7	SYBR Green I	 	1.27	5.00	None			19
255;103;103;103	A2	08-120	TELO	13.65	0.11	-	Positive	Unchecked	Unknown	-	13.73	-	-	A1	SYBR Green I	 	1.50	4.51	None			2
255;132;197;238	A1	08-120	TELO	13.80	0.11	-	Positive	Unchecked	Unknown	-	13.73	-	-	A1	SYBR Green I	 	1.52	4.41	None			1
255;103;103;103	C4	06-143	TELO	15.61	0.11	-	Positive	Unchecked	Unknown	-	15.54	-	-	C3	SYBR Green I	 	1.24	4.92	None			28
255;132;197;238	C3	06-143	TELO	15.46	0.11	-	Positive	Unchecked	Unknown	-	15.54	-	-	C3	SYBR Green I	 	1.26	4.98	None			27
255;250;215;15	A4	12-146	TELO	17.90	0.09	-	Positive	Unchecked	Unknown	-	17.84	-	-	A3	SYBR Green I	 	1.60	5.47	None			4
255;242;138;21	A3	12-146	TELO	17.77	0.09	-	Positive	Unchecked	Unknown	-	17.84	-	-	A3	SYBR Green I	 	1.48	5.36	None			3
255;34;176;146	B10	08-033	TELO	16.60	0.08	-	Positive	Unchecked	Unknown	-	16.66	-	-	B9	SYBR Green I	 	1.40	5.64	None			22
255;205;18;55	B9	08-033	TELO	16.72	0.08	-	Positive	Unchecked	Unknown	-	16.66	-	-	B9	SYBR Green I	 	1.37	5.55	None			21
255;66;41;24	A12	08-029	TELO	13.33	0.07	-	Positive	Unchecked	Unknown	-	13.38	-	-	A11	SYBR Green I	 	1.41	4.28	None			12
255;234;79;79	A11	08-029	TELO	13.43	0.07	-	Positive	Unchecked	Unknown	-	13.38	-	-	A11	SYBR Green I	 	1.41	4.42	None			11
255;242;138;21	B4	06-138	TELO	17.71	0.06	-	Positive	Unchecked	Unknown	-	17.76	-	-	B3	SYBR Green I	 	1.52	5.74	None			16
255;103;103;103	B3	06-138	TELO	17.80	0.06	-	Positive	Unchecked	Unknown	-	17.76	-	-	B3	SYBR Green I	 	1.50	5.71	None			15
255;205;18;55	G2	GB	TELO	20.50	0.06	-	Positive	Unchecked	Positive control	-	20.58	-	-	F1	SYBR Green I	 	1.72	5.54	None			74
