Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;255;0;0	A1	S1	TOX	-	-	-	-	Checked	Standard	-	-	-	-	A1	SYBR Green I	 	-	-				1
255;255;0;0	A2	S1	TOX	-	-	-	-	Checked	Standard	-	-	-	-	A1	SYBR Green I	 	-	-				2
255;0;0;255	A10	10-200	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	A9	SYBR Green I	 	0.01	0.02	Replicate group contains positives and negatives.			10
255;0;0;255	A12	10-225	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	A11	SYBR Green I	 	0.05	0.12	Replicate group contains positives and negatives.			12
255;255;0;0	B1	S2	TOX	-	-	-	-	Checked	Standard	-	-	-	-	B1	SYBR Green I	 	-	-				13
255;255;0;0	B2	S2	TOX	-	-	-	-	Checked	Standard	-	-	-	-	B1	SYBR Green I	 	-	-				14
255;0;0;255	B12	10-284	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	B11	SYBR Green I	 	0.14	0.28	Replicate group contains positives and negatives.			24
255;255;0;0	C1	S3	TOX	-	-	-	-	Checked	Standard	-	-	-	-	C1	SYBR Green I	 	-	-				25
255;255;0;0	C2	S3	TOX	-	-	-	-	Checked	Standard	-	-	-	-	C1	SYBR Green I	 	-	-				26
255;255;0;0	D1	S4	TOX	-	-	-	-	Checked	Standard	-	-	-	-	D1	SYBR Green I	 	-	-				37
255;255;0;0	D2	S4	TOX	-	-	-	-	Checked	Standard	-	-	-	-	D1	SYBR Green I	 	-	-				38
255;0;0;255	D11	10-291	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	D11	SYBR Green I	 	0.00	0.01	None			47
255;0;0;255	D12	10-291	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	D11	SYBR Green I	 	0.01	0.03	None			48
255;255;0;0	E1	S5	TOX	-	-	-	-	Checked	Standard	-	-	-	-	E1	SYBR Green I	 	-	-				49
255;255;0;0	E2	S5	TOX	-	-	-	-	Checked	Standard	-	-	-	-	E1	SYBR Green I	 	-	-				50
255;0;0;255	E7	09-165	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	E7	SYBR Green I	 	0.01	0.03	None			55
255;0;0;255	E8	09-165	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	E7	SYBR Green I	 	0.01	0.02	None			56
255;255;0;0	F1	S6	TOX	-	-	-	-	Checked	Standard	-	-	-	-	F1	SYBR Green I	 	-	-				61
255;255;0;0	F2	S6	TOX	-	-	-	-	Checked	Standard	-	-	-	-	F1	SYBR Green I	 	-	-				62
255;0;0;0	H1	Negative	TOX	-	-	-	Negative	Unchecked	Negative control	-	-	-	-	H1	SYBR Green I	 	0.01	0.02	None			85
255;0;0;0	H2	Negative	TOX	-	-	-	Negative	Unchecked	Negative control	-	-	-	-	H1	SYBR Green I	 	0.00	0.01	None			86
255;0;0;255	H11	10-243	TOX	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	H11	SYBR Green I	 	0.13	0.26	Replicate group contains positives and negatives.			95
255;0;0;255	A5	09-078	TOX	28.25	0.00	-	Positive	Unchecked	Unknown	-	28.25	-	-	A5	SYBR Green I	 	0.81	2.43	None			5
255;0;0;255	A6	09-078	TOX	28.25	0.00	-	Positive	Unchecked	Unknown	-	28.25	-	-	A5	SYBR Green I	 	0.75	2.32	None			6
255;0;0;255	A9	10-200	TOX	33.13	0.00	-	Positive	Unchecked	Unknown	-	33.13	-	-	A9	SYBR Green I	 	0.35	0.61	Replicate group contains positives and negatives.			9
255;0;0;255	A11	10-225	TOX	33.86	0.00	-	Positive	Unchecked	Unknown	-	33.86	-	-	A11	SYBR Green I	 	0.20	0.38	Replicate group contains positives and negatives.			11
255;0;0;255	B11	10-284	TOX	32.97	0.00	-	Positive	Unchecked	Unknown	-	32.97	-	-	B11	SYBR Green I	 	0.41	0.69	Replicate group contains positives and negatives.			23
255;0;0;255	H12	10-243	TOX	33.61	0.00	-	Positive	Unchecked	Unknown	-	33.61	-	-	H11	SYBR Green I	 	0.25	0.45	Replicate group contains positives and negatives.			96
255;0;0;255	C11	10-285	TOX	33.61	0.02	-	Positive	Unchecked	Unknown	-	33.63	-	-	C11	SYBR Green I	 	0.28	0.48	None			35
255;0;0;255	C12	10-285	TOX	33.64	0.02	-	Positive	Unchecked	Unknown	-	33.63	-	-	C11	SYBR Green I	 	0.25	0.45	None			36
255;0;0;255	F11	10-271	TOX	32.79	0.02	-	Positive	Unchecked	Unknown	-	32.81	-	-	F11	SYBR Green I	 	0.50	0.81	None			71
255;0;0;255	F12	10-271	TOX	32.82	0.02	-	Positive	Unchecked	Unknown	-	32.81	-	-	F11	SYBR Green I	 	0.49	0.79	None			72
255;0;0;255	G7	09-170	TOX	28.57	0.02	-	Positive	Unchecked	Unknown	-	28.59	-	-	G7	SYBR Green I	 	0.74	2.46	None			79
255;0;0;255	G8	09-170	TOX	28.60	0.02	-	Positive	Unchecked	Unknown	-	28.59	-	-	G7	SYBR Green I	 	0.79	2.65	None			80
255;0;0;255	H7	09-171	TOX	24.04	0.02	-	Positive	Unchecked	Unknown	-	24.06	-	-	H7	SYBR Green I	 	0.55	2.79	None			91
255;0;0;255	H8	09-171	TOX	24.07	0.02	-	Positive	Unchecked	Unknown	-	24.06	-	-	H7	SYBR Green I	 	0.59	2.86	None			92
255;0;0;255	D3	08-138	TOX	28.36	0.03	-	Positive	Unchecked	Unknown	-	28.34	-	-	D3	SYBR Green I	 	0.79	2.50	None			39
255;0;0;255	D4	08-138	TOX	28.32	0.03	-	Positive	Unchecked	Unknown	-	28.34	-	-	D3	SYBR Green I	 	0.78	2.39	None			40
255;0;0;255	G5	09-159	TOX	27.89	0.03	-	Positive	Unchecked	Unknown	-	27.91	-	-	G5	SYBR Green I	 	0.76	2.38	None			77
255;0;0;255	G6	09-159	TOX	27.93	0.03	-	Positive	Unchecked	Unknown	-	27.91	-	-	G5	SYBR Green I	 	0.78	2.41	None			78
255;0;0;255	C7	09-174	TOX	27.78	0.03	-	Positive	Unchecked	Unknown	-	27.76	-	-	C7	SYBR Green I	 	0.76	2.41	None			31
255;0;0;255	C8	09-174	TOX	27.74	0.03	-	Positive	Unchecked	Unknown	-	27.76	-	-	C7	SYBR Green I	 	0.74	2.39	None			32
255;0;0;255	F9	10-293	TOX	32.15	0.04	-	Positive	Unchecked	Unknown	-	32.13	-	-	F9	SYBR Green I	 	0.70	1.10	None			69
