Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	D9	11-001	TOX	26.04	0.01	-	Positive	Unchecked	Unknown	-	26.03	-	-	D9	SYBR Green I	 	0.60	2.51	None			45
255;0;0;255	D10	11-001	TOX	26.02	0.01	-	Positive	Unchecked	Unknown	-	26.03	-	-	D9	SYBR Green I	 	0.56	2.45	None			46
255;0;0;255	A3	11-002	TOX	25.70	0.03	-	Positive	Unchecked	Unknown	-	25.72	-	-	A3	SYBR Green I	 	0.54	2.66	None			3
255;0;0;255	A4	11-002	TOX	25.74	0.03	-	Positive	Unchecked	Unknown	-	25.72	-	-	A3	SYBR Green I	 	0.73	2.76	None			4
255;0;0;255	E3	11-004	TOX	26.48	0.02	-	Positive	Unchecked	Unknown	-	26.47	-	-	E3	SYBR Green I	 	0.70	2.59	None			51
255;0;0;255	E4	11-004	TOX	26.45	0.02	-	Positive	Unchecked	Unknown	-	26.47	-	-	E3	SYBR Green I	 	0.66	2.53	None			52
255;0;0;255	F3	11-012	TOX	26.74	0.06	-	Positive	Unchecked	Unknown	-	26.79	-	-	F3	SYBR Green I	 	0.71	2.56	None			63
255;0;0;255	F4	11-012	TOX	26.83	0.06	-	Positive	Unchecked	Unknown	-	26.79	-	-	F3	SYBR Green I	 	0.72	2.54	None			64
255;0;0;255	B3	11-013	TOX	27.48	0.11	-	Positive	Unchecked	Unknown	-	27.56	-	-	B3	SYBR Green I	 	0.70	2.37	None			15
255;0;0;255	B4	11-013	TOX	27.63	0.11	-	Positive	Unchecked	Unknown	-	27.56	-	-	B3	SYBR Green I	 	0.72	2.38	None			16
255;0;0;255	G3	11-014	TOX	27.16	0.10	-	Positive	Unchecked	Unknown	-	27.23	-	-	G3	SYBR Green I	 	0.65	2.38	None			75
255;0;0;255	G4	11-014	TOX	27.30	0.10	-	Positive	Unchecked	Unknown	-	27.23	-	-	G3	SYBR Green I	 	0.73	2.47	None			76
255;0;0;255	C3	11-022	TOX	23.58	0.02	-	Positive	Unchecked	Unknown	-	23.57	-	-	C3	SYBR Green I	 	0.56	2.86	None			27
255;0;0;255	C4	11-022	TOX	23.55	0.02	-	Positive	Unchecked	Unknown	-	23.57	-	-	C3	SYBR Green I	 	0.56	2.87	None			28
255;0;0;255	D3	11-025	TOX	27.00	0.04	-	Positive	Unchecked	Unknown	-	26.98	-	-	D3	SYBR Green I	 	0.73	2.54	None			39
255;0;0;255	D4	11-025	TOX	26.95	0.04	-	Positive	Unchecked	Unknown	-	26.98	-	-	D3	SYBR Green I	 	0.70	2.51	None			40
255;0;0;255	H3	11-030	TOX	26.47	0.10	-	Positive	Unchecked	Unknown	-	26.40	-	-	H3	SYBR Green I	 	0.68	2.58	None			87
255;0;0;255	H4	11-030	TOX	26.33	0.10	-	Positive	Unchecked	Unknown	-	26.40	-	-	H3	SYBR Green I	 	0.71	2.64	None			88
255;0;0;255	E5	11-035	TOX	27.52	0.08	-	Positive	Unchecked	Unknown	-	27.47	-	-	E5	SYBR Green I	 	0.74	2.46	None			53
255;0;0;255	E6	11-035	TOX	27.41	0.08	-	Positive	Unchecked	Unknown	-	27.47	-	-	E5	SYBR Green I	 	0.75	2.48	None			54
255;0;0;255	A5	11-038	TOX	27.03	0.12	-	Positive	Unchecked	Unknown	-	27.12	-	-	A5	SYBR Green I	 	0.76	2.57	None			5
