Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A6	13-037	TOX	23.98	0.23	-	Positive	Unchecked	Unknown	-	24.15	-	-	A5	SYBR Green I	 	0.59	2.88	None			6
255;0;0;255	A5	13-037	TOX	24.31	0.23	-	Positive	Unchecked	Unknown	-	24.15	-	-	A5	SYBR Green I	 	0.69	3.00	None			5
255;0;255;0	G2	GB	TOX	26.44	0.22	-	Positive	Unchecked	Positive control	-	26.23	-	-	F1	SYBR Green I	 	0.71	2.57	None			74
255;0;255;0	G1	GB	TOX	26.21	0.22	-	Positive	Unchecked	Positive control	-	26.23	-	-	F1	SYBR Green I	 	0.79	2.72	None			73
255;0;255;0	F2	GB	TOX	26.32	0.22	-	Positive	Unchecked	Positive control	-	26.23	-	-	F1	SYBR Green I	 	0.72	2.60	None			62
255;0;255;0	F1	GB	TOX	25.93	0.22	-	Positive	Unchecked	Positive control	-	26.23	-	-	F1	SYBR Green I	 	0.72	2.66	None			61
255;0;0;255	A12	14-022	TOX	23.57	0.18	-	Positive	Unchecked	Unknown	-	23.44	-	-	A11	SYBR Green I	 	0.58	2.90	None			12
255;0;0;255	A11	14-022	TOX	23.31	0.18	-	Positive	Unchecked	Unknown	-	23.44	-	-	A11	SYBR Green I	 	0.54	2.85	None			11
255;0;0;255	G8	13-121	TOX	24.86	0.18	-	Positive	Unchecked	Unknown	-	24.73	-	-	G7	SYBR Green I	 	0.57	2.80	None			80
255;0;0;255	G7	13-121	TOX	24.60	0.18	-	Positive	Unchecked	Unknown	-	24.73	-	-	G7	SYBR Green I	 	0.55	2.78	None			79
255;0;0;255	H6	13-054	TOX	24.18	0.17	-	Positive	Unchecked	Unknown	-	24.06	-	-	H5	SYBR Green I	 	0.59	2.87	None			90
255;0;0;255	H5	13-054	TOX	23.94	0.17	-	Positive	Unchecked	Unknown	-	24.06	-	-	H5	SYBR Green I	 	0.58	2.89	None			89
255;0;0;255	G4	13-007	TOX	23.72	0.16	-	Positive	Unchecked	Unknown	-	23.61	-	-	G3	SYBR Green I	 	0.54	2.82	None			76
255;0;0;255	G3	13-007	TOX	23.50	0.16	-	Positive	Unchecked	Unknown	-	23.61	-	-	G3	SYBR Green I	 	0.50	2.77	None			75
255;0;0;255	H4	13-029	TOX	23.84	0.13	-	Positive	Unchecked	Unknown	-	23.75	-	-	H3	SYBR Green I	 	0.59	2.91	None			88
255;0;0;255	H3	13-029	TOX	23.66	0.13	-	Positive	Unchecked	Unknown	-	23.75	-	-	H3	SYBR Green I	 	0.54	2.82	None			87
255;0;0;255	G12	14-037	TOX	23.40	0.11	-	Positive	Unchecked	Unknown	-	23.33	-	-	G11	SYBR Green I	 	0.54	2.84	None			84
255;0;0;255	G11	14-037	TOX	23.25	0.11	-	Positive	Unchecked	Unknown	-	23.33	-	-	G11	SYBR Green I	 	0.52	2.79	None			83
255;0;0;255	F6	13-100	TOX	23.83	0.10	-	Positive	Unchecked	Unknown	-	23.76	-	-	F5	SYBR Green I	 	0.60	2.91	None			66
255;0;0;255	F5	13-100	TOX	23.69	0.10	-	Positive	Unchecked	Unknown	-	23.76	-	-	F5	SYBR Green I	 	0.55	2.83	None			65
255;0;0;255	A8	13-055	TOX	24.08	0.09	-	Positive	Unchecked	Unknown	-	24.15	-	-	A7	SYBR Green I	 	0.55	2.80	None			8
255;0;0;255	A7	13-055	TOX	24.21	0.09	-	Positive	Unchecked	Unknown	-	24.15	-	-	A7	SYBR Green I	 	0.58	2.84	None			7
255;0;0;255	C10	13-193	TOX	24.11	0.09	-	Positive	Unchecked	Unknown	-	24.18	-	-	C9	SYBR Green I	 	0.55	2.81	None			34
255;0;0;255	C9	13-193	TOX	24.24	0.09	-	Positive	Unchecked	Unknown	-	24.18	-	-	C9	SYBR Green I	 	0.55	2.79	None			33
255;0;0;255	F10	13-151	TOX	23.89	0.08	-	Positive	Unchecked	Unknown	-	23.95	-	-	F9	SYBR Green I	 	0.52	2.75	None			70
255;0;0;255	F9	13-151	TOX	24.01	0.08	-	Positive	Unchecked	Unknown	-	23.95	-	-	F9	SYBR Green I	 	0.54	2.78	None			69
255;0;0;255	E6	13-084	TOX	24.82	0.07	-	Positive	Unchecked	Unknown	-	24.77	-	-	E5	SYBR Green I	 	0.61	2.87	None			54
255;0;0;255	E5	13-084	TOX	24.72	0.07	-	Positive	Unchecked	Unknown	-	24.77	-	-	E5	SYBR Green I	 	0.54	2.76	None			53
255;0;0;255	D12	14-016	TOX	23.44	0.07	-	Positive	Unchecked	Unknown	-	23.49	-	-	D11	SYBR Green I	 	0.59	2.93	None			48
255;0;0;255	D11	14-016	TOX	23.54	0.07	-	Positive	Unchecked	Unknown	-	23.49	-	-	D11	SYBR Green I	 	0.54	2.83	None			47
