Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	D12	14-165	TOX	23.00	0.18	-	Positive	Unchecked	Unknown	-	23.13	-	-	D11	SYBR Green I	 	0.73	3.36	None			48
255;0;0;255	D11	14-165	TOX	23.26	0.18	-	Positive	Unchecked	Unknown	-	23.13	-	-	D11	SYBR Green I	 	0.71	3.09	None			47
255;0;0;255	F12	14-185	TOX	23.27	0.13	-	Positive	Unchecked	Unknown	-	23.37	-	-	F11	SYBR Green I	 	0.73	3.15	None			72
255;0;0;255	F11	14-185	TOX	23.46	0.13	-	Positive	Unchecked	Unknown	-	23.37	-	-	F11	SYBR Green I	 	0.75	3.14	None			71
255;0;0;255	E6	14-102	TOX	23.36	0.09	-	Positive	Unchecked	Unknown	-	23.30	-	-	E5	SYBR Green I	 	0.73	3.11	None			54
255;0;0;255	E5	14-102	TOX	23.23	0.09	-	Positive	Unchecked	Unknown	-	23.30	-	-	E5	SYBR Green I	 	0.70	3.07	None			53
255;0;0;255	H6	14-127	TOX	23.26	0.08	-	Positive	Unchecked	Unknown	-	23.20	-	-	H5	SYBR Green I	 	0.71	3.08	None			90
255;0;0;255	H5	14-127	TOX	23.14	0.08	-	Positive	Unchecked	Unknown	-	23.20	-	-	H5	SYBR Green I	 	0.73	3.14	None			89
255;0;0;255	E12	14-184	TOX	23.23	0.08	-	Positive	Unchecked	Unknown	-	23.29	-	-	E11	SYBR Green I	 	0.77	3.26	None			60
255;0;0;255	E11	14-184	TOX	23.35	0.08	-	Positive	Unchecked	Unknown	-	23.29	-	-	E11	SYBR Green I	 	0.71	3.07	None			59
255;0;255;0	G2	GB	TOX	25.84	0.08	-	Positive	Unchecked	Positive control	-	25.96	-	-	F1	SYBR Green I	 	0.62	2.75	None			74
255;0;255;0	G1	GB	TOX	25.97	0.08	-	Positive	Unchecked	Positive control	-	25.96	-	-	F1	SYBR Green I	 	0.76	2.93	None			73
255;0;255;0	F2	GB	TOX	26.00	0.08	-	Positive	Unchecked	Positive control	-	25.96	-	-	F1	SYBR Green I	 	0.73	2.84	None			62
255;0;255;0	F1	GB	TOX	26.01	0.08	-	Positive	Unchecked	Positive control	-	25.96	-	-	F1	SYBR Green I	 	0.69	2.85	None			61
255;0;0;255	F8	14-138	TOX	23.05	0.08	-	Positive	Unchecked	Unknown	-	23.00	-	-	F7	SYBR Green I	 	0.65	3.00	None			68
255;0;0;255	F7	14-138	TOX	22.94	0.08	-	Positive	Unchecked	Unknown	-	23.00	-	-	F7	SYBR Green I	 	0.64	3.08	None			67
255;0;0;255	A4	14-091	TOX	23.63	0.08	-	Positive	Unchecked	Unknown	-	23.69	-	-	A3	SYBR Green I	 	0.66	3.00	None			4
255;0;0;255	A3	14-091	TOX	23.74	0.08	-	Positive	Unchecked	Unknown	-	23.69	-	-	A3	SYBR Green I	 	0.70	3.04	None			3
255;0;0;255	D8	14-122	TOX	23.16	0.07	-	Positive	Unchecked	Unknown	-	23.11	-	-	D7	SYBR Green I	 	0.67	3.03	None			44
255;0;0;255	D7	14-122	TOX	23.06	0.07	-	Positive	Unchecked	Unknown	-	23.11	-	-	D7	SYBR Green I	 	0.68	3.11	None			43
255;0;0;255	A10	14-181	TOX	23.12	0.07	-	Positive	Unchecked	Unknown	-	23.17	-	-	A9	SYBR Green I	 	0.63	2.96	None			10
255;0;0;255	A9	14-181	TOX	23.22	0.07	-	Positive	Unchecked	Unknown	-	23.17	-	-	A9	SYBR Green I	 	0.68	3.04	None			9
255;0;0;255	G4	14-065	TOX	23.54	0.06	-	Positive	Unchecked	Unknown	-	23.50	-	-	G3	SYBR Green I	 	0.60	2.89	None			76
255;0;0;255	G3	14-065	TOX	23.45	0.06	-	Positive	Unchecked	Unknown	-	23.50	-	-	G3	SYBR Green I	 	0.65	2.96	None			75
255;0;0;255	C10	14-183	TOX	23.30	0.06	-	Positive	Unchecked	Unknown	-	23.34	-	-	C9	SYBR Green I	 	0.66	3.01	None			34
255;0;0;255	C9	14-183	TOX	23.38	0.06	-	Positive	Unchecked	Unknown	-	23.34	-	-	C9	SYBR Green I	 	0.65	2.98	None			33
255;0;0;255	H4	14-109	TOX	23.41	0.05	-	Positive	Unchecked	Unknown	-	23.45	-	-	H3	SYBR Green I	 	0.68	3.04	None			88
255;0;0;255	H3	14-109	TOX	23.48	0.05	-	Positive	Unchecked	Unknown	-	23.45	-	-	H3	SYBR Green I	 	0.72	3.08	None			87
255;0;0;255	B4	14-092	TOX	23.38	0.05	-	Positive	Unchecked	Unknown	-	23.42	-	-	B3	SYBR Green I	 	0.63	2.95	None			16
255;0;0;255	B3	14-092	TOX	23.45	0.05	-	Positive	Unchecked	Unknown	-	23.42	-	-	B3	SYBR Green I	 	0.67	3.01	None			15
255;0;0;255	A12	14-202	TOX	23.65	0.05	-	Positive	Unchecked	Unknown	-	23.69	-	-	A11	SYBR Green I	 	0.68	3.00	None			12
255;0;0;255	A11	14-202	TOX	23.72	0.05	-	Positive	Unchecked	Unknown	-	23.69	-	-	A11	SYBR Green I	 	0.70	3.03	None			11
255;0;0;255	C2	14-080	TOX	23.54	0.04	-	Positive	Unchecked	Unknown	-	23.57	-	-	C1	SYBR Green I	 	0.68	3.03	None			26
255;0;0;255	C1	14-080	TOX	23.60	0.04	-	Positive	Unchecked	Unknown	-	23.57	-	-	C1	SYBR Green I	 	0.70	3.06	None			25
255;0;0;255	B12	14-217	TOX	23.36	0.04	-	Positive	Unchecked	Unknown	-	23.39	-	-	B11	SYBR Green I	 	0.70	3.06	None			24
255;0;0;255	B11	14-217	TOX	23.42	0.04	-	Positive	Unchecked	Unknown	-	23.39	-	-	B11	SYBR Green I	 	0.65	2.98	None			23
255;0;0;255	G8	14-143	TOX	23.01	0.04	-	Positive	Unchecked	Unknown	-	23.04	-	-	G7	SYBR Green I	 	0.67	3.03	None			80
255;0;0;255	G7	14-143	TOX	23.07	0.04	-	Positive	Unchecked	Unknown	-	23.04	-	-	G7	SYBR Green I	 	0.67	3.04	None			79
255;0;0;255	C6	14-125	TOX	23.41	0.04	-	Positive	Unchecked	Unknown	-	23.39	-	-	C5	SYBR Green I	 	0.67	3.04	None			30
255;0;0;255	C5	14-125	TOX	23.36	0.04	-	Positive	Unchecked	Unknown	-	23.39	-	-	C5	SYBR Green I	 	0.68	3.06	None			29
255;0;0;255	A2	14-077	TOX	23.57	0.04	-	Positive	Unchecked	Unknown	-	23.55	-	-	A1	SYBR Green I	 	0.74	3.12	None			2
255;0;0;255	A1	14-077	TOX	23.52	0.04	-	Positive	Unchecked	Unknown	-	23.55	-	-	A1	SYBR Green I	 	0.67	3.01	None			1
255;0;0;255	H10	14-188	TOX	23.69	0.04	-	Positive	Unchecked	Unknown	-	23.72	-	-	H9	SYBR Green I	 	0.72	3.06	None			94
255;0;0;255	H9	14-188	TOX	23.74	0.04	-	Positive	Unchecked	Unknown	-	23.72	-	-	H9	SYBR Green I	 	0.74	3.08	None			93
