Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G6	15-038	TOX	22.48	0.28	-	Positive	Unchecked	Unknown	-	22.68	-	-	G5	SYBR Green I	 	0.55	3.17	None			78
255;0;0;255	G5	15-038	TOX	22.87	0.28	-	Positive	Unchecked	Unknown	-	22.68	-	-	G5	SYBR Green I	 	0.63	3.24	None			77
255;0;0;255	G8	15-080	TOX	23.23	0.22	-	Positive	Unchecked	Unknown	-	23.08	-	-	G7	SYBR Green I	 	0.66	3.03	None			80
255;0;0;255	G7	15-080	TOX	22.92	0.22	-	Positive	Unchecked	Unknown	-	23.08	-	-	G7	SYBR Green I	 	0.60	2.94	None			79
255;0;0;255	G12	15-144	TOX	23.13	0.13	-	Positive	Unchecked	Unknown	-	23.22	-	-	G11	SYBR Green I	 	0.65	3.06	None			84
255;0;0;255	G11	15-144	TOX	23.31	0.13	-	Positive	Unchecked	Unknown	-	23.22	-	-	G11	SYBR Green I	 	0.65	3.01	None			83
255;0;0;255	B8	15-084	TOX	23.20	0.13	-	Positive	Unchecked	Unknown	-	23.11	-	-	B7	SYBR Green I	 	0.60	2.92	None			20
255;0;0;255	B7	15-084	TOX	23.02	0.13	-	Positive	Unchecked	Unknown	-	23.11	-	-	B7	SYBR Green I	 	0.58	2.90	None			19
255;0;0;255	C10	15-152	TOX	23.13	0.12	-	Positive	Unchecked	Unknown	-	23.22	-	-	C9	SYBR Green I	 	0.58	2.89	None			34
255;0;0;255	C9	15-152	TOX	23.30	0.12	-	Positive	Unchecked	Unknown	-	23.22	-	-	C9	SYBR Green I	 	0.59	2.90	None			33
255;0;0;255	F12	15-135	TOX	22.76	0.12	-	Positive	Unchecked	Unknown	-	22.85	-	-	F11	SYBR Green I	 	0.59	3.00	None			72
255;0;0;255	F11	15-135	TOX	22.93	0.12	-	Positive	Unchecked	Unknown	-	22.85	-	-	F11	SYBR Green I	 	0.59	2.92	None			71
255;0;0;255	E6	15-030	TOX	22.98	0.11	-	Positive	Unchecked	Unknown	-	22.90	-	-	E5	SYBR Green I	 	0.61	2.96	None			54
255;0;0;255	E5	15-030	TOX	22.82	0.11	-	Positive	Unchecked	Unknown	-	22.90	-	-	E5	SYBR Green I	 	0.58	2.91	None			53
255;0;0;255	A10	15-118	TOX	22.88	0.10	-	Positive	Unchecked	Unknown	-	22.95	-	-	A9	SYBR Green I	 	0.54	2.82	None			10
255;0;0;255	A9	15-118	TOX	23.02	0.10	-	Positive	Unchecked	Unknown	-	22.95	-	-	A9	SYBR Green I	 	0.59	2.92	None			9
255;0;0;255	H6	15-043	TOX	24.33	0.09	-	Positive	Unchecked	Unknown	-	24.40	-	-	H5	SYBR Green I	 	0.68	2.98	None			90
255;0;0;255	H5	15-043	TOX	24.46	0.09	-	Positive	Unchecked	Unknown	-	24.40	-	-	H5	SYBR Green I	 	0.81	3.14	None			89
255;0;0;255	C8	15-086	TOX	26.31	0.09	-	Positive	Unchecked	Unknown	-	26.25	-	-	C7	SYBR Green I	 	0.74	2.71	None			32
255;0;0;255	C7	15-086	TOX	26.18	0.09	-	Positive	Unchecked	Unknown	-	26.25	-	-	C7	SYBR Green I	 	0.73	2.71	None			31
255;0;0;255	H12	15-150	TOX	23.17	0.08	-	Positive	Unchecked	Unknown	-	23.11	-	-	H11	SYBR Green I	 	0.55	2.92	None			96
255;0;0;255	H11	15-150	TOX	23.05	0.08	-	Positive	Unchecked	Unknown	-	23.11	-	-	H11	SYBR Green I	 	0.55	2.92	None			95
255;0;0;255	G4	15-019	TOX	22.69	0.08	-	Positive	Unchecked	Unknown	-	22.63	-	-	G3	SYBR Green I	 	0.56	2.94	None			76
255;0;0;255	G3	15-019	TOX	22.57	0.08	-	Positive	Unchecked	Unknown	-	22.63	-	-	G3	SYBR Green I	 	0.53	2.95	None			75
255;0;0;255	F6	15-033	TOX	23.13	0.08	-	Positive	Unchecked	Unknown	-	23.07	-	-	F5	SYBR Green I	 	0.63	2.98	None			66
255;0;0;255	F5	15-033	TOX	23.01	0.08	-	Positive	Unchecked	Unknown	-	23.07	-	-	F5	SYBR Green I	 	0.59	2.92	None			65
255;0;0;255	E12	15-125	TOX	22.98	0.08	-	Positive	Unchecked	Unknown	-	23.04	-	-	E11	SYBR Green I	 	0.63	3.08	None			60
255;0;0;255	E11	15-125	TOX	23.09	0.08	-	Positive	Unchecked	Unknown	-	23.04	-	-	E11	SYBR Green I	 	0.58	2.92	None			59
255;0;0;255	D12	15-212	TOX	23.29	0.08	-	Positive	Unchecked	Unknown	-	23.35	-	-	D11	SYBR Green I	 	0.66	2.99	None			48
255;0;0;255	D11	15-212	TOX	23.40	0.08	-	Positive	Unchecked	Unknown	-	23.35	-	-	D11	SYBR Green I	 	0.58	2.87	None			47
255;0;0;255	H4	15-024	TOX	22.89	0.06	-	Positive	Unchecked	Unknown	-	22.85	-	-	H3	SYBR Green I	 	0.65	3.04	None			88
255;0;0;255	H3	15-024	TOX	22.81	0.06	-	Positive	Unchecked	Unknown	-	22.85	-	-	H3	SYBR Green I	 	0.60	3.00	None			87
255;0;0;255	D10	15-190	TOX	23.22	0.06	-	Positive	Unchecked	Unknown	-	23.26	-	-	D9	SYBR Green I	 	0.59	2.90	None			46
255;0;0;255	D9	15-190	TOX	23.30	0.06	-	Positive	Unchecked	Unknown	-	23.26	-	-	D9	SYBR Green I	 	0.61	2.94	None			45
255;0;0;255	B6	15-018	TOX	23.10	0.06	-	Positive	Unchecked	Unknown	-	23.06	-	-	B5	SYBR Green I	 	0.61	2.96	None			18
255;0;0;255	B5	15-018	TOX	23.02	0.06	-	Positive	Unchecked	Unknown	-	23.06	-	-	B5	SYBR Green I	 	0.58	2.91	None			17
255;0;0;255	A2	15-015	TOX	23.39	0.06	-	Positive	Unchecked	Unknown	-	23.35	-	-	A1	SYBR Green I	 	0.63	2.97	None			2
255;0;0;255	A1	15-015	TOX	23.31	0.06	-	Positive	Unchecked	Unknown	-	23.35	-	-	A1	SYBR Green I	 	0.62	2.99	None			1
255;0;0;255	E10	15-110	TOX	23.13	0.05	-	Positive	Unchecked	Unknown	-	23.17	-	-	E9	SYBR Green I	 	0.59	2.92	None			58
255;0;0;255	E9	15-110	TOX	23.20	0.05	-	Positive	Unchecked	Unknown	-	23.17	-	-	E9	SYBR Green I	 	0.61	2.94	None			57
255;0;0;255	D8	15-113	TOX	23.04	0.05	-	Positive	Unchecked	Unknown	-	23.01	-	-	D7	SYBR Green I	 	0.61	2.95	None			44
255;0;0;255	D7	15-113	TOX	22.97	0.05	-	Positive	Unchecked	Unknown	-	23.01	-	-	D7	SYBR Green I	 	0.61	2.99	None			43
255;0;0;255	A8	15-028	TOX	23.00	0.05	-	Positive	Unchecked	Unknown	-	23.04	-	-	A7	SYBR Green I	 	0.62	3.02	None			8
255;0;0;255	A7	15-028	TOX	23.07	0.05	-	Positive	Unchecked	Unknown	-	23.04	-	-	A7	SYBR Green I	 	0.61	2.97	None			7
255;0;0;255	D4	15-248	TOX	23.06	0.04	-	Positive	Unchecked	Unknown	-	23.09	-	-	D3	SYBR Green I	 	0.60	2.94	None			40
255;0;0;255	D3	15-248	TOX	23.12	0.04	-	Positive	Unchecked	Unknown	-	23.09	-	-	D3	SYBR Green I	 	0.61	2.96	None			39
255;0;0;255	C12	15-210	TOX	23.61	0.04	-	Positive	Unchecked	Unknown	-	23.64	-	-	C11	SYBR Green I	 	0.65	2.98	None			36
255;0;0;255	C11	15-210	TOX	23.67	0.04	-	Positive	Unchecked	Unknown	-	23.64	-	-	C11	SYBR Green I	 	0.60	2.91	None			35
255;0;0;255	B10	15-133	TOX	23.19	0.04	-	Positive	Unchecked	Unknown	-	23.16	-	-	B9	SYBR Green I	 	0.57	2.88	None			22
255;0;0;255	B9	15-133	TOX	23.13	0.04	-	Positive	Unchecked	Unknown	-	23.16	-	-	B9	SYBR Green I	 	0.56	2.85	None			21
255;0;0;255	E4	15-001	TOX	23.24	0.04	-	Positive	Unchecked	Unknown	-	23.21	-	-	E3	SYBR Green I	 	0.60	2.93	None			52
255;0;0;255	E3	15-001	TOX	23.18	0.04	-	Positive	Unchecked	Unknown	-	23.21	-	-	E3	SYBR Green I	 	0.60	2.93	None			51
255;0;0;255	F8	15-067	TOX	23.23	0.04	-	Positive	Unchecked	Unknown	-	23.21	-	-	F7	SYBR Green I	 	0.60	2.93	None			68
255;0;0;255	F7	15-067	TOX	23.18	0.04	-	Positive	Unchecked	Unknown	-	23.21	-	-	F7	SYBR Green I	 	0.61	2.94	None			67
255;0;0;255	A6	15-003	TOX	22.87	0.04	-	Positive	Unchecked	Unknown	-	22.85	-	-	A5	SYBR Green I	 	0.57	2.96	None			6
255;0;0;255	A5	15-003	TOX	22.82	0.04	-	Positive	Unchecked	Unknown	-	22.85	-	-	A5	SYBR Green I	 	0.56	2.92	None			5
255;0;0;255	F4	15-009	TOX	23.39	0.04	-	Positive	Unchecked	Unknown	-	23.37	-	-	F3	SYBR Green I	 	0.61	2.93	None			64
255;0;0;255	F3	15-009	TOX	23.34	0.04	-	Positive	Unchecked	Unknown	-	23.37	-	-	F3	SYBR Green I	 	0.58	2.88	None			63
255;0;0;255	B4	15-244	TOX	23.25	0.04	-	Positive	Unchecked	Unknown	-	23.28	-	-	B3	SYBR Green I	 	0.60	2.94	None			16
255;0;0;255	B3	15-244	TOX	23.30	0.04	-	Positive	Unchecked	Unknown	-	23.28	-	-	B3	SYBR Green I	 	0.59	2.92	None			15
255;0;255;0	G2	GB	TOX	25.36	0.03	-	Positive	Unchecked	Positive control	-	25.40	-	-	F1	SYBR Green I	 	0.57	2.72	None			74
255;0;255;0	G1	GB	TOX	25.43	0.03	-	Positive	Unchecked	Positive control	-	25.40	-	-	F1	SYBR Green I	 	0.67	2.91	None			73
255;0;255;0	F2	GB	TOX	25.41	0.03	-	Positive	Unchecked	Positive control	-	25.40	-	-	F1	SYBR Green I	 	0.61	2.79	None			62
255;0;255;0	F1	GB	TOX	25.39	0.03	-	Positive	Unchecked	Positive control	-	25.40	-	-	F1	SYBR Green I	 	0.60	2.80	None			61
255;0;0;255	H10	15-119	TOX	23.33	0.03	-	Positive	Unchecked	Unknown	-	23.35	-	-	H9	SYBR Green I	 	0.64	2.97	None			94
255;0;0;255	H9	15-119	TOX	23.37	0.03	-	Positive	Unchecked	Unknown	-	23.35	-	-	H9	SYBR Green I	 	0.68	3.04	None			93
255;0;0;255	G10	15-112	TOX	22.76	0.03	-	Positive	Unchecked	Unknown	-	22.74	-	-	G9	SYBR Green I	 	0.57	2.99	None			82
255;0;0;255	G9	15-112	TOX	22.72	0.03	-	Positive	Unchecked	Unknown	-	22.74	-	-	G9	SYBR Green I	 	0.60	3.11	None			81
255;0;0;255	C6	15-020	TOX	22.81	0.03	-	Positive	Unchecked	Unknown	-	22.83	-	-	C5	SYBR Green I	 	0.59	3.02	None			30
255;0;0;255	C5	15-020	TOX	22.85	0.03	-	Positive	Unchecked	Unknown	-	22.83	-	-	C5	SYBR Green I	 	0.58	2.92	None			29
255;0;0;255	D6	15-025	TOX	23.29	0.03	-	Positive	Unchecked	Unknown	-	23.27	-	-	D5	SYBR Green I	 	0.66	3.02	None			42
255;0;0;255	D5	15-025	TOX	23.25	0.03	-	Positive	Unchecked	Unknown	-	23.27	-	-	D5	SYBR Green I	 	0.64	2.98	None			41
255;0;0;255	C2	15-047	TOX	23.41	0.02	-	Positive	Unchecked	Unknown	-	23.43	-	-	C1	SYBR Green I	 	0.63	2.99	None			26
255;0;0;255	C1	15-047	TOX	23.44	0.02	-	Positive	Unchecked	Unknown	-	23.43	-	-	C1	SYBR Green I	 	0.67	3.05	None			25
255;0;0;255	D2	15-048	TOX	24.73	0.01	-	Positive	Unchecked	Unknown	-	24.72	-	-	D1	SYBR Green I	 	0.66	2.92	None			38
255;0;0;255	D1	15-048	TOX	24.71	0.01	-	Positive	Unchecked	Unknown	-	24.72	-	-	D1	SYBR Green I	 	0.71	3.01	None			37
255;0;0;255	H8	15-081	TOX	22.75	0.01	-	Positive	Unchecked	Unknown	-	22.76	-	-	H7	SYBR Green I	 	0.60	3.01	None			92
255;0;0;255	H7	15-081	TOX	22.77	0.01	-	Positive	Unchecked	Unknown	-	22.76	-	-	H7	SYBR Green I	 	0.59	2.93	None			91
255;0;0;255	A12	15-194	TOX	23.25	0.01	-	Positive	Unchecked	Unknown	-	23.24	-	-	A11	SYBR Green I	 	0.57	2.89	None			12
255;0;0;255	A11	15-194	TOX	23.23	0.01	-	Positive	Unchecked	Unknown	-	23.24	-	-	A11	SYBR Green I	 	0.57	2.85	None			11
255;0;0;255	B2	15-032	TOX	23.07	0.01	-	Positive	Unchecked	Unknown	-	23.07	-	-	B1	SYBR Green I	 	0.59	2.92	None			14
255;0;0;255	B1	15-032	TOX	23.06	0.01	-	Positive	Unchecked	Unknown	-	23.07	-	-	B1	SYBR Green I	 	0.64	3.02	None			13
255;0;0;255	A4	15-243	TOX	23.04	0.01	-	Positive	Unchecked	Unknown	-	23.05	-	-	A3	SYBR Green I	 	0.61	2.98	None			4
255;0;0;255	A3	15-243	TOX	23.05	0.01	-	Positive	Unchecked	Unknown	-	23.05	-	-	A3	SYBR Green I	 	0.60	2.95	None			3
255;0;0;255	F10	15-111	TOX	22.84	0.01	-	Positive	Unchecked	Unknown	-	22.85	-	-	F9	SYBR Green I	 	0.57	2.97	None			70
