Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A4	09-146	TOX	23.88	10.66	-	Positive	Unchecked	Unknown	-	16.35	-	-	A3	SYBR Green I	 	0.63	2.97	None			4
255;0;0;255	A3	09-146	TOX	8.81	10.66	-	Positive	Unchecked	Unknown	-	16.35	-	-	A3	SYBR Green I	 	0.16	2.37	None			3
255;0;0;255	C4	09-144	TOX	24.10	3.26	-	Positive	Unchecked	Unknown	-	21.80	-	-	C3	SYBR Green I	 	0.58	2.85	None			28
255;0;0;255	C3	09-144	TOX	19.49	3.26	-	Positive	Unchecked	Unknown	-	21.80	-	-	C3	SYBR Green I	 	0.29	2.48	None			27
255;0;0;255	D4	09-154	TOX	23.36	0.74	-	Positive	Unchecked	Unknown	-	23.88	-	-	D3	SYBR Green I	 	0.58	2.92	None			40
255;0;0;255	D3	09-154	TOX	24.40	0.74	-	Positive	Unchecked	Unknown	-	23.88	-	-	D3	SYBR Green I	 	0.18	1.52	None			39
255;0;0;255	B4	09-147	TOX	23.37	0.59	-	Positive	Unchecked	Unknown	-	22.96	-	-	B3	SYBR Green I	 	0.61	2.96	None			16
255;0;0;255	B3	09-147	TOX	22.54	0.59	-	Positive	Unchecked	Unknown	-	22.96	-	-	B3	SYBR Green I	 	0.30	2.09	None			15
255;0;0;255	F4	12-410	TOX	24.71	0.30	-	Positive	Unchecked	Unknown	-	24.50	-	-	F3	SYBR Green I	 	0.30	2.15	None			64
255;0;0;255	F3	12-410	TOX	24.28	0.30	-	Positive	Unchecked	Unknown	-	24.50	-	-	F3	SYBR Green I	 	0.19	1.67	None			63
255;0;0;255	D2	18-060	TOX	24.14	0.23	-	Positive	Unchecked	Unknown	-	23.98	-	-	D1	SYBR Green I	 	0.46	2.58	None			38
255;0;0;255	D1	18-060	TOX	23.81	0.23	-	Positive	Unchecked	Unknown	-	23.98	-	-	D1	SYBR Green I	 	0.71	3.12	None			37
255;0;0;255	C12	11-209	TOX	22.93	0.18	-	Positive	Unchecked	Unknown	-	22.81	-	-	C11	SYBR Green I	 	0.58	2.95	None			36
255;0;0;255	C11	11-209	TOX	22.68	0.18	-	Positive	Unchecked	Unknown	-	22.81	-	-	C11	SYBR Green I	 	0.55	2.91	None			35
255;0;0;255	D8	14-230	TOX	22.76	0.14	-	Positive	Unchecked	Unknown	-	22.86	-	-	D7	SYBR Green I	 	0.52	2.86	None			44
255;0;0;255	D7	14-230	TOX	22.96	0.14	-	Positive	Unchecked	Unknown	-	22.86	-	-	D7	SYBR Green I	 	0.58	2.95	None			43
255;0;0;255	H12	07-050	TOX	23.11	0.12	-	Positive	Unchecked	Unknown	-	23.03	-	-	H11	SYBR Green I	 	0.56	2.92	None			96
255;0;0;255	H11	07-050	TOX	22.94	0.12	-	Positive	Unchecked	Unknown	-	23.03	-	-	H11	SYBR Green I	 	0.50	2.78	None			95
255;0;0;255	C8	16-375	TOX	22.93	0.11	-	Positive	Unchecked	Unknown	-	22.86	-	-	C7	SYBR Green I	 	0.54	2.85	None			32
255;0;0;255	C7	16-375	TOX	22.78	0.11	-	Positive	Unchecked	Unknown	-	22.86	-	-	C7	SYBR Green I	 	0.55	2.94	None			31
255;0;0;255	B12	07-111	TOX	23.44	0.10	-	Positive	Unchecked	Unknown	-	23.51	-	-	B11	SYBR Green I	 	0.60	2.98	None			24
255;0;0;255	B11	07-111	TOX	23.58	0.10	-	Positive	Unchecked	Unknown	-	23.51	-	-	B11	SYBR Green I	 	0.59	2.93	None			23
255;0;0;255	F8	15-252	TOX	23.18	0.08	-	Positive	Unchecked	Unknown	-	23.24	-	-	F7	SYBR Green I	 	0.56	2.90	None			68
255;0;0;255	F7	15-252	TOX	23.30	0.08	-	Positive	Unchecked	Unknown	-	23.24	-	-	F7	SYBR Green I	 	0.60	2.96	None			67
255;0;0;255	E8	14-236	TOX	23.15	0.08	-	Positive	Unchecked	Unknown	-	23.21	-	-	E7	SYBR Green I	 	0.57	2.91	None			56
255;0;0;255	E7	14-236	TOX	23.27	0.08	-	Positive	Unchecked	Unknown	-	23.21	-	-	E7	SYBR Green I	 	0.59	2.95	None			55
255;0;0;255	A12	07-109	TOX	23.01	0.07	-	Positive	Unchecked	Unknown	-	22.96	-	-	A11	SYBR Green I	 	0.58	2.96	None			12
255;0;0;255	A11	07-109	TOX	22.91	0.07	-	Positive	Unchecked	Unknown	-	22.96	-	-	A11	SYBR Green I	 	0.58	2.96	None			11
255;0;0;255	A2	18-050	TOX	23.21	0.07	-	Positive	Unchecked	Unknown	-	23.26	-	-	A1	SYBR Green I	 	0.60	2.97	None			2
255;0;0;255	A1	18-050	TOX	23.31	0.07	-	Positive	Unchecked	Unknown	-	23.26	-	-	A1	SYBR Green I	 	0.66	3.06	None			1
255;0;255;0	G2	GB	TOX	25.54	0.07	-	Positive	Unchecked	Positive control	-	25.46	-	-	F1	SYBR Green I	 	0.59	2.80	None			74
255;0;255;0	G1	GB	TOX	25.44	0.07	-	Positive	Unchecked	Positive control	-	25.46	-	-	F1	SYBR Green I	 	0.66	2.93	None			73
255;0;255;0	F2	GB	TOX	25.47	0.07	-	Positive	Unchecked	Positive control	-	25.46	-	-	F1	SYBR Green I	 	0.61	2.85	None			62
255;0;255;0	F1	GB	TOX	25.38	0.07	-	Positive	Unchecked	Positive control	-	25.46	-	-	F1	SYBR Green I	 	0.63	2.89	None			61
255;0;0;255	B2	18-051	TOX	23.95	0.06	-	Positive	Unchecked	Unknown	-	23.91	-	-	B1	SYBR Green I	 	0.65	3.01	None			14
255;0;0;255	B1	18-051	TOX	23.86	0.06	-	Positive	Unchecked	Unknown	-	23.91	-	-	B1	SYBR Green I	 	0.70	3.10	None			13
255;0;0;255	H10	07-118	TOX	23.06	0.06	-	Positive	Unchecked	Unknown	-	23.10	-	-	H9	SYBR Green I	 	0.48	2.71	None			94
255;0;0;255	H9	07-118	TOX	23.14	0.06	-	Positive	Unchecked	Unknown	-	23.10	-	-	H9	SYBR Green I	 	0.55	2.86	None			93
255;0;0;255	D12	13-185	TOX	22.96	0.06	-	Positive	Unchecked	Unknown	-	23.00	-	-	D11	SYBR Green I	 	0.60	3.00	None			48
255;0;0;255	D11	13-185	TOX	23.04	0.06	-	Positive	Unchecked	Unknown	-	23.00	-	-	D11	SYBR Green I	 	0.59	2.97	None			47
255;0;0;255	A8	15-300	TOX	23.18	0.06	-	Positive	Unchecked	Unknown	-	23.14	-	-	A7	SYBR Green I	 	0.62	3.01	None			8
