Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G12	08-137	TOX	24.49	0.79	-	Positive	Unchecked	Unknown	-	23.93	-	-	G11	SYBR Green I	 	0.54	2.74	None			84
255;0;0;255	G11	08-137	TOX	23.37	0.79	-	Positive	Unchecked	Unknown	-	23.93	-	-	G11	SYBR Green I	 	0.38	2.27	None			83
255;0;255;0	G2	GB	TOX	25.31	0.20	-	Positive	Unchecked	Positive control	-	25.23	-	-	F1	SYBR Green I	 	0.40	2.41	None			74
255;0;255;0	G1	GB	TOX	25.32	0.20	-	Positive	Unchecked	Positive control	-	25.23	-	-	F1	SYBR Green I	 	0.43	2.49	None			73
255;0;255;0	F2	GB	TOX	25.37	0.20	-	Positive	Unchecked	Positive control	-	25.23	-	-	F1	SYBR Green I	 	0.44	2.52	None			62
255;0;255;0	F1	GB	TOX	24.93	0.20	-	Positive	Unchecked	Positive control	-	25.23	-	-	F1	SYBR Green I	 	0.45	2.56	None			61
255;0;0;255	B12	06-099	TOX	23.01	0.17	-	Positive	Unchecked	Unknown	-	22.89	-	-	B11	SYBR Green I	 	0.48	2.71	None			24
255;0;0;255	B11	06-099	TOX	22.77	0.17	-	Positive	Unchecked	Unknown	-	22.89	-	-	B11	SYBR Green I	 	0.34	2.35	None			23
255;0;0;255	A10	18-068	TOX	22.33	0.16	-	Positive	Unchecked	Unknown	-	22.44	-	-	A9	SYBR Green I	 	0.36	2.46	None			10
255;0;0;255	A9	18-068	TOX	22.55	0.16	-	Positive	Unchecked	Unknown	-	22.44	-	-	A9	SYBR Green I	 	0.47	2.76	None			9
255;0;0;255	G4	18-010	TOX	23.20	0.14	-	Positive	Unchecked	Unknown	-	23.10	-	-	G3	SYBR Green I	 	0.50	2.72	None			76
255;0;0;255	G3	18-010	TOX	23.00	0.14	-	Positive	Unchecked	Unknown	-	23.10	-	-	G3	SYBR Green I	 	0.40	2.50	None			75
255;0;0;255	E12	06-179	TOX	23.74	0.11	-	Positive	Unchecked	Unknown	-	23.82	-	-	E11	SYBR Green I	 	0.53	2.76	None			60
255;0;0;255	E11	06-179	TOX	23.90	0.11	-	Positive	Unchecked	Unknown	-	23.82	-	-	E11	SYBR Green I	 	0.49	2.69	None			59
255;0;0;255	D8	18-039	TOX	23.72	0.11	-	Positive	Unchecked	Unknown	-	23.64	-	-	D7	SYBR Green I	 	0.50	2.70	None			44
255;0;0;255	D7	18-039	TOX	23.56	0.11	-	Positive	Unchecked	Unknown	-	23.64	-	-	D7	SYBR Green I	 	0.50	2.72	None			43
255;0;0;255	F8	18-056	TOX	23.65	0.08	-	Positive	Unchecked	Unknown	-	23.60	-	-	F7	SYBR Green I	 	0.49	2.74	None			68
255;0;0;255	F7	18-056	TOX	23.54	0.08	-	Positive	Unchecked	Unknown	-	23.60	-	-	F7	SYBR Green I	 	0.47	2.66	None			67
255;0;0;255	A8	18-055	TOX	23.68	0.08	-	Positive	Unchecked	Unknown	-	23.63	-	-	A7	SYBR Green I	 	0.51	2.74	None			8
255;0;0;255	A7	18-055	TOX	23.57	0.08	-	Positive	Unchecked	Unknown	-	23.63	-	-	A7	SYBR Green I	 	0.44	2.59	None			7
255;0;0;255	A2	18-072	TOX	23.79	0.07	-	Positive	Unchecked	Unknown	-	23.84	-	-	A1	SYBR Green I	 	0.55	2.84	None			2
255;0;0;255	A1	18-072	TOX	23.89	0.07	-	Positive	Unchecked	Unknown	-	23.84	-	-	A1	SYBR Green I	 	0.59	2.90	None			1
255;0;0;255	H4	18-019	TOX	23.74	0.07	-	Positive	Unchecked	Unknown	-	23.69	-	-	H3	SYBR Green I	 	0.49	2.68	None			88
255;0;0;255	H3	18-019	TOX	23.64	0.07	-	Positive	Unchecked	Unknown	-	23.69	-	-	H3	SYBR Green I	 	0.41	2.52	None			87
255;0;0;255	D12	08-001	TOX	24.55	0.07	-	Positive	Unchecked	Unknown	-	24.60	-	-	D11	SYBR Green I	 	0.59	2.84	None			48
255;0;0;255	D11	08-001	TOX	24.65	0.07	-	Positive	Unchecked	Unknown	-	24.60	-	-	D11	SYBR Green I	 	0.48	2.60	None			47
255;0;0;255	B2	18-071	TOX	24.01	0.07	-	Positive	Unchecked	Unknown	-	24.06	-	-	B1	SYBR Green I	 	0.51	2.74	None			14
255;0;0;255	B1	18-071	TOX	24.11	0.07	-	Positive	Unchecked	Unknown	-	24.06	-	-	B1	SYBR Green I	 	0.44	2.58	None			13
255;0;0;255	B8	18-061	TOX	23.86	0.07	-	Positive	Unchecked	Unknown	-	23.81	-	-	B7	SYBR Green I	 	0.47	2.63	None			20
